카테고리,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2020년05월_계_총인구수,"271,183","16,217","33,345","12,894","17,185","15,679","45,457","17,685","12,707","8,927","8,117","14,379","7,244","13,689","14,664","8,999","14,603","9,392"
2020년05월_계_연령구간인구수,"271,183","16,217","33,345","12,894","17,185","15,679","45,457","17,685","12,707","8,927","8,117","14,379","7,244","13,689","14,664","8,999","14,603","9,392"
2020년05월_계_0~9세,"18,831",598,"2,930","1,077","1,156","1,854","3,612","1,525",547,577,512,771,345,682,881,375,973,416
2020년05월_계_10~19세,"23,760","1,026","3,246",863,"1,513","1,473","5,298","1,849",930,699,765,"1,042",522,958,"1,308",418,"1,240",610
2020년05월_계_20~29세,"35,486","3,566","6,256","1,309","2,611","1,803","5,110","1,716","1,497",963,"1,005","1,631",713,"1,381","1,752","1,283","1,824","1,066"
2020년05월_계_30~39세,"31,536","1,936","4,464","1,881","2,115","2,319","4,435","1,977","1,200","1,129",779,"1,519",726,"1,384","1,493","1,374","1,859",946
2020년05월_계_40~49세,"42,639","2,111","5,695","1,889","2,716","2,707","8,011","2,977","1,675","1,380","1,290","2,098","1,090","1,941","2,297","1,214","2,209","1,339"
2020년05월_계_50~59세,"43,620","2,295","4,693","1,957","2,474","2,251","7,903","2,782","2,275","1,387","1,446","2,451","1,221","2,286","2,611","1,407","2,530","1,651"
2020년05월_계_60~69세,"40,243","2,397","3,362","1,974","2,390","1,811","6,136","2,756","2,459","1,581","1,302","2,615","1,300","2,694","2,257","1,370","2,136","1,703"
2020년05월_계_70~79세,"24,667","1,622","1,841","1,371","1,552","1,042","3,421","1,483","1,554",880,744,"1,610",962,"1,664","1,458","1,025","1,285","1,153"
2020년05월_계_80~89세,"9,136",595,739,514,592,360,"1,323",532,509,280,236,570,338,588,545,470,494,451
2020년05월_계_90~99세,"1,131",60,105,49,60,52,200,79,54,42,36,57,25,101,56,53,51,51
2020년05월_계_100세 이상,134,11,14,10,6,7,8,9,7,9,2,15,2,10,6,10,2,6
2020년05월_남_총인구수,"132,724","8,096","16,226","6,289","8,288","7,532","21,875","8,696","6,181","4,317","4,138","7,330","3,606","6,798","7,156","4,494","7,088","4,614"
2020년05월_남_연령구간인구수,"132,724","8,096","16,226","6,289","8,288","7,532","21,875","8,696","6,181","4,317","4,138","7,330","3,606","6,798","7,156","4,494","7,088","4,614"
2020년05월_남_0~9세,"9,600",290,"1,524",548,599,890,"1,796",797,264,310,271,404,189,384,455,197,482,200
2020년05월_남_10~19세,"12,252",524,"1,641",454,765,764,"2,697",984,475,343,381,578,279,490,670,235,631,341
2020년05월_남_20~29세,"18,806","1,941","3,167",686,"1,311",910,"2,744",940,819,505,594,936,399,779,921,601,966,587
2020년05월_남_30~39세,"16,128","1,065","2,195",970,"1,064","1,105","2,060",992,665,591,413,817,408,746,774,748,981,534
