카테고리,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2020년02월_계_총인구수,"542,787","55,747","17,063","6,743","7,877","3,839","3,295","6,398","10,115","9,758","10,210","75,138","80,783","9,616","41,645","34,683","7,970","56,398","36,975","68,534"
2020년02월_계_연령구간인구수,"542,787","55,747","17,063","6,743","7,877","3,839","3,295","6,398","10,115","9,758","10,210","75,138","80,783","9,616","41,645","34,683","7,970","56,398","36,975","68,534"
2020년02월_계_0~9세,"51,733","6,759","2,605",249,237,86,96,192,590,683,638,"5,150","7,780",572,"2,843","1,773",583,"5,862","3,965","11,070"
2020년02월_계_10~19세,"62,791","5,933","1,220",366,343,127,171,236,754,623,736,"8,472","10,897",740,"4,034","3,433",818,"8,152","5,321","10,415"
2020년02월_계_20~29세,"69,232","5,607","2,111",648,714,329,313,510,"1,352","1,220","1,482","12,551","10,844","1,303","6,369","5,962","1,055","6,723","4,322","5,817"
2020년02월_계_30~39세,"72,256","9,296","3,989",576,636,263,270,486,"1,338","1,298","1,255","8,537","10,000","1,011","4,723","3,234",865,"7,303","5,125","12,051"
2020년02월_계_40~49세,"99,808","10,619","2,619",892,808,376,370,618,"1,469","1,309","1,505","12,612","15,742","1,371","6,836","5,448","1,313","12,160","8,003","15,738"
2020년02월_계_50~59세,"95,291","8,174","2,525","1,546","1,734",872,774,"1,239","2,071","1,867","2,145","16,210","14,326","2,044","8,828","7,762","1,594","8,691","5,653","7,236"
2020년02월_계_60~69세,"53,960","5,503","1,252","1,288","1,751",886,764,"1,677","1,509","1,527","1,471","6,957","6,839","1,508","4,887","4,265","1,054","4,243","2,746","3,833"
2020년02월_계_70~79세,"25,482","2,572",446,743,"1,011",592,365,935,711,855,685,"3,085","2,947",731,"2,188","1,890",477,"2,232","1,303","1,714"
2020년02월_계_80~89세,"10,828","1,125",264,374,572,274,140,431,282,334,257,"1,400","1,258",308,829,827,185,914,478,576
2020년02월_계_90~99세,"1,326",152,31,59,70,33,29,71,34,37,30,154,144,27,97,85,21,112,59,81
2020년02월_계_100세 이상,80,7,1,2,1,1,3,3,5,5,6,10,6,1,11,4,5,6,0,3
2020년02월_남_총인구수,"274,457","28,671","8,710","3,657","4,283","2,021","1,824","3,321","5,189","4,958","5,217","37,389","40,515","5,072","21,173","17,752","4,047","28,113","18,546","33,999"
2020년02월_남_연령구간인구수,"274,457","28,671","8,710","3,657","4,283","2,021","1,824","3,321","5,189","4,958","5,217","37,389","40,515","5,072","21,173","17,752","4,047","28,113","18,546","33,999"
2020년02월_남_0~9세,"26,349","3,453","1,296",147,130,55,57,86,299,354,347,"2,680","4,000",293,"1,454",914,308,"2,942","1,994","5,540"
2020년02월_남_10~19세,"32,823","3,116",623,199,202,66,87,140,390,340,392,"4,453","5,756",396,"2,130","1,808",403,"4,180","2,764","5,378"
2020년02월_남_20~29세,"37,448","3,075","1,065",387,456,196,179,308,758,684,807,"6,701","5,848",721,"3,452","3,346",568,"3,592","2,263","3,042"
2020년02월_남_30~39세,"37,016","4,831","2,077",321,391,154,174,287,770,669,672,"4,428","4,967",578,"2,562","1,783",465,"3,574","2,619","5,694"
2020년02월_남_40~49세,"49,715","5,719","1,379",554,524,229,224,355,770,701,758,"5,843","7,494",749,"3,400","2,655",652,"5,984","3,905","7,820"
