,경기도 군포시,경기도 군포시 군포1동,경기도 군포시 군포2동,경기도 군포시 산본1동,경기도 군포시 산본2동,경기도 군포시 금정동,경기도 군포시 재궁동,경기도 군포시 오금동,경기도 군포시 수리동,경기도 군포시 궁내동,경기도 군포시 대야동,경기도 군포시 광정동,경기도 군포시 송부동
2021년09월_계_총인구수,"269,507","33,501","43,926","15,781","26,834","17,272","18,701","21,590","16,350","20,678","9,333","25,012","20,529"
2021년09월_계_연령구간인구수,"269,507","33,501","43,926","15,781","26,834","17,272","18,701","21,590","16,350","20,678","9,333","25,012","20,529"
2021년09월_계_0~9세,"19,050","1,884","3,493",620,"2,076",761,"1,071","1,742",962,"1,715",602,"1,611","2,513"
2021년09월_계_10~19세,"25,662","2,556","4,903",780,"2,749","1,128","1,361","2,048","1,525","3,027",938,"2,640","2,007"
2021년09월_계_20~29세,"37,159","5,407","6,061","2,450","3,572","2,732","2,654","2,741","1,971","2,490","1,113","3,621","2,347"
2021년09월_계_30~39세,"37,211","4,623","5,748","2,200","3,410","2,333","3,080","3,633","2,084","2,120","1,044","3,195","3,741"
2021년09월_계_40~49세,"42,897","4,855","7,202","1,971","4,324","2,404","2,668","3,617","2,572","3,987","1,532","4,066","3,699"
2021년09월_계_50~59세,"47,505","6,534","7,874","2,929","4,706","3,393","3,088","3,447","2,892","3,618","1,755","4,417","2,852"
2021년09월_계_60~69세,"35,687","4,796","5,482","2,747","3,765","2,894","2,660","2,494","2,225","2,099","1,357","2,982","2,186"
2021년09월_계_70~79세,"15,145","1,908","2,047","1,368","1,392","1,096","1,291","1,112","1,190",910,648,"1,373",810
2021년09월_계_80~89세,"7,923",803,959,611,715,460,721,667,820,632,285,929,321
2021년09월_계_90~99세,"1,221",129,151,99,122,69,104,88,107,77,54,170,51
2021년09월_계_100세 이상,47,6,6,6,3,2,3,1,2,3,5,8,2
2021년09월_남_총인구수,"133,641","17,660","21,834","7,944","12,984","9,002","8,877","10,473","7,771","10,123","4,691","12,138","10,144"
2021년09월_남_연령구간인구수,"133,641","17,660","21,834","7,944","12,984","9,002","8,877","10,473","7,771","10,123","4,691","12,138","10,144"
2021년09월_남_0~9세,"9,717",959,"1,791",323,"1,047",401,552,882,458,916,309,804,"1,275"
2021년09월_남_10~19세,"13,310","1,337","2,547",421,"1,418",588,694,"1,078",785,"1,547",499,"1,381","1,015"
2021년09월_남_20~29세,"19,373","2,963","3,157","1,327","1,831","1,474","1,332","1,413","1,002","1,314",577,"1,820","1,163"
2021년09월_남_30~39세,"19,372","2,643","2,922","1,272","1,668","1,314","1,625","1,802","1,060","1,024",534,"1,618","1,890"
2021년09월_남_40~49세,"21,220","2,615","3,515","1,076","2,032","1,322","1,264","1,736","1,237","1,839",786,"1,903","1,895"
2021년09월_남_50~59세,"23,125","3,404","3,766","1,384","2,182","1,754","1,431","1,620","1,367","1,793",860,"2,234","1,330"
2021년09월_남_60~69세,"17,510","2,496","2,774","1,296","1,877","1,436","1,208","1,182","1,025","1,027",698,"1,441","1,050"
2021년09월_남_70~79세,"6,852",895,976,619,639,540,509,471,500,408,315,583,397
2021년09월_남_80~89세,"2,827",313,345,204,257,161,236,262,298,224,99,309,119
2021년09월_남_90~99세,324,34,39,21,32,12,25,27,38,31,11,44,10
2021년09월_남_100세 이상,11,1,2,1,1,0,1,0,1,0,3,1,0
2021년09월_여_총인구수,"135,866","15,841","22,092","7,837","13,850","8,270","9,824","11,117","8,579","10,555","4,642","12,874","10,385"
2021년09월_여_연령구간인구수,"135,866","15,841","22,092","7,837","13,850","8,270","9,824","11,117","8,579","10,555","4,642","12,874","10,385"
2021년09월_여_0~9세,"9,333",925,"1,702",297,"1,029",360,519,860,504,799,293,807,"1,238"
2021년09월_여_10~19세,"12,352","1,219","2,356",359,"1,331",540,667,970,740,"1,480",439,"1,259",992
2021년09월_여_20~29세,"17,786","2,444","2,904","1,123","1,741","1,258","1,322","1,328",969,"1,176",536,"1,801","1,184"
2021년09월_여_30~39세,"17,839","1,980","2,826",928,"1,742","1,019","1,455","1,831","1,024","1,096",510,"1,577","1,851"
2021년09월_여_40~49세,"21,677","2,240","3,687",895,"2,292","1,082","1,404","1,881","1,335","2,148",746,"2,163","1,804"
2021년09월_여_50~59세,"24,380","3,130","4,108","1,545","2,524","1,639","1,657","1,827","1,525","1,825",895,"2,183","1,522"
2021년09월_여_60~69세,"18,177","2,300","2,708","1,451","1,888","1,458","1,452","1,312","1,200","1,072",659,"1,541","1,136"
2021년09월_여_70~79세,"8,293","1,013","1,071",749,753,556,782,641,690,502,333,790,413
2021년09월_여_80~89세,"5,096",490,614,407,458,299,485,405,522,408,186,620,202
2021년09월_여_90~99세,897,95,112,78,90,57,79,61,69,46,43,126,41
2021년09월_여_100세 이상,36,5,4,5,2,2,2,1,1,3,2,7,2
