카테고리,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2020년12월_계_총인구수,"259,339","48,166","4,688","13,799","50,783","38,606","29,713","25,337","23,310","7,972","3,702","13,263"
2020년12월_계_연령구간인구수,"259,339","48,166","4,688","13,799","50,783","38,606","29,713","25,337","23,310","7,972","3,702","13,263"
2020년12월_계_0~9세,"29,418","3,278",273,835,"5,989","6,296","5,302","2,635","2,477",411,114,"1,808"
2020년12월_계_10~19세,"23,923","4,564",177,"1,459","5,903","3,433","3,407","1,766","1,733",495,121,865
2020년12월_계_20~29세,"29,044","6,380",487,"1,904","5,714","3,956","2,487","2,682","3,145",679,292,"1,318"
2020년12월_계_30~39세,"41,698","5,246",570,"1,423","7,297","8,519","6,298","4,061","4,465",657,282,"2,880"
2020년12월_계_40~49세,"43,471","7,160",576,"2,571","9,562","7,006","5,913","3,646","3,621",956,321,"2,139"
2020년12월_계_50~59세,"40,851","9,770",928,"3,018","7,897","4,977","2,929","4,297","3,220","1,386",823,"1,606"
2020년12월_계_60~69세,"29,845","7,040",901,"1,554","5,133","2,932","2,135","3,705","2,592","1,647",842,"1,364"
2020년12월_계_70~79세,"13,988","3,222",477,661,"2,332","1,092",826,"1,749","1,344","1,009",517,759
2020년12월_계_80~89세,"6,275","1,323",263,333,847,348,364,716,640,621,349,471
2020년12월_계_90~99세,796,173,35,37,109,45,50,80,70,106,39,52
2020년12월_계_100세 이상,30,10,1,4,0,2,2,0,3,5,2,1
2020년12월_남_총인구수,"131,708","24,023","2,545","7,300","25,096","19,697","15,064","12,804","12,172","3,969","2,000","7,038"
2020년12월_남_연령구간인구수,"131,708","24,023","2,545","7,300","25,096","19,697","15,064","12,804","12,172","3,969","2,000","7,038"
2020년12월_남_0~9세,"14,996","1,708",142,408,"3,006","3,207","2,722","1,356","1,253",213,50,931
2020년12월_남_10~19세,"12,506","2,348",86,771,"3,078","1,794","1,773",943,922,268,64,459
2020년12월_남_20~29세,"15,920","3,530",290,"1,145","3,015","2,077","1,324","1,434","1,776",390,183,756
2020년12월_남_30~39세,"21,777","2,776",332,761,"3,588","4,353","3,143","2,135","2,551",341,166,"1,631"
2020년12월_남_40~49세,"22,682","3,450",365,"1,373","4,751","3,759","3,083","1,941","1,997",502,205,"1,256"
2020년12월_남_50~59세,"20,329","4,718",508,"1,646","3,767","2,433","1,461","2,103","1,625",735,481,852
2020년12월_남_60~69세,"14,850","3,498",517,827,"2,442","1,462","1,038","1,830","1,278",803,492,663
2020년12월_남_70~79세,"6,419","1,455",210,267,"1,117",514,399,809,571,487,248,342
2020년12월_남_80~89세,"2,045",488,88,96,309,92,103,236,185,204,103,141
2020년12월_남_90~99세,175,47,7,6,23,6,17,17,13,25,7,7
2020년12월_남_100세 이상,9,5,0,0,0,0,1,0,1,1,1,0
2020년12월_여_총인구수,"127,631","24,143","2,143","6,499","25,687","18,909","14,649","12,533","11,138","4,003","1,702","6,225"
2020년12월_여_연령구간인구수,"127,631","24,143","2,143","6,499","25,687","18,909","14,649","12,533","11,138","4,003","1,702","6,225"
2020년12월_여_0~9세,"14,422","1,570",131,427,"2,983","3,089","2,580","1,279","1,224",198,64,877
2020년12월_여_10~19세,"11,417","2,216",91,688,"2,825","1,639","1,634",823,811,227,57,406
2020년12월_여_20~29세,"13,124","2,850",197,759,"2,699","1,879","1,163","1,248","1,369",289,109,562
2020년12월_여_30~39세,"19,921","2,470",238,662,"3,709","4,166","3,155","1,926","1,914",316,116,"1,249"
2020년12월_여_40~49세,"20,789","3,710",211,"1,198","4,811","3,247","2,830","1,705","1,624",454,116,883
2020년12월_여_50~59세,"20,522","5,052",420,"1,372","4,130","2,544","1,468","2,194","1,595",651,342,754
2020년12월_여_60~69세,"14,995","3,542",384,727,"2,691","1,470","1,097","1,875","1,314",844,350,701
2020년12월_여_70~79세,"7,569","1,767",267,394,"1,215",578,427,940,773,522,269,417
2020년12월_여_80~89세,"4,230",835,175,237,538,256,261,480,455,417,246,330
2020년12월_여_90~99세,621,126,28,31,86,39,33,63,57,81,32,45
2020년12월_여_100세 이상,21,5,1,4,0,2,1,0,2,4,1,1
