카테고리,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2021년05월_계_총인구수,"2,633,592","503,580","231,084","272,496","252,830","140,629","157,882","414,525","102,506","102,194","96,337","71,591","265,888","22,942","51,161","24,825","16,494","35,912","41,952","31,024","43,004","114,029","55,800","31,142","48,313","9,032"
2021년05월_계_연령구간인구수,"2,633,592","503,580","231,084","272,496","252,830","140,629","157,882","414,525","102,506","102,194","96,337","71,591","265,888","22,942","51,161","24,825","16,494","35,912","41,952","31,024","43,004","114,029","55,800","31,142","48,313","9,032"
2021년05월_계_0~9세,"184,571","38,629","17,031","21,598","15,904","10,178","10,371","40,140","5,920","5,673","5,062","3,954","20,035",639,"1,864",952,714,"1,566","1,455","1,383","1,881","9,166","4,566","1,312","2,816",391
2021년05월_계_10~19세,"224,023","46,432","21,110","25,322","20,516","12,396","13,523","44,353","8,721","6,722","7,462","5,587","22,809",927,"2,225","1,177",914,"2,053","2,256","1,973","2,189","11,415","4,421","1,854","3,650",448
2021년05월_계_20~29세,"281,517","56,876","26,687","30,189","26,317","14,532","16,546","55,827","9,622","10,122","7,872","6,295","36,357","1,439","3,045","1,640","1,118","2,344","2,739","2,434","3,364","11,811","4,115","1,905","4,377",820
2021년05월_계_30~39세,"285,527","58,610","26,535","32,075","25,010","14,771","15,276","64,505","8,322","9,282","7,218","5,594","33,018","1,249","3,122","1,634","1,005","2,315","2,640","2,188","3,193","14,286","5,413","1,860","4,166",850
2021년05월_계_40~49세,"379,683","76,877","35,591","41,286","36,329","19,287","21,856","72,671","13,590","12,488","11,201","8,649","41,539","2,076","4,553","2,321","1,653","3,775","4,314","3,687","4,601","20,566","7,161","3,134","6,102","1,253"
2021년05월_계_50~59세,"455,782","89,344","41,057","48,287","46,695","23,649","25,943","69,903","17,552","18,152","16,438","11,943","45,304","4,143","8,414","4,626","2,893","6,053","7,114","5,795","8,231","19,708","7,975","5,611","8,494","1,802"
2021년05월_계_60~69세,"422,381","81,097","37,637","43,460","42,250","22,837","26,395","41,496","18,875","19,185","18,770","13,799","36,305","5,483","12,005","5,622","3,556","7,545","9,790","6,443","9,640","14,308","9,656","6,987","8,540","1,797"
2021년05월_계_70~79세,"241,308","37,525","17,497","20,028","24,688","13,349","16,493","16,119","11,739","12,615","12,398","9,164","19,738","3,986","8,846","3,971","2,619","5,795","6,677","4,094","5,855","7,623","6,725","4,655","5,573","1,061"
