카테고리,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2020년04월_계_총인구수,"455,042","31,797","30,627","26,404","17,441","26,464","21,092","36,067","15,518","18,460","27,853","34,848","26,839","20,291","24,367","23,495","45,896",263,"27,320"
2020년04월_계_연령구간인구수,"455,042","31,797","30,627","26,404","17,441","26,464","21,092","36,067","15,518","18,460","27,853","34,848","26,839","20,291","24,367","23,495","45,896",263,"27,320"
2020년04월_계_0~9세,"34,887","2,605","3,923","2,145","1,209","3,271","2,384","2,337","1,440","2,121","1,566","1,850","1,434","1,606","1,160","1,325","2,605",7,"1,899"
2020년04월_계_10~19세,"39,581","4,456","3,064","2,651","2,552","3,438","1,875","2,798","1,076","1,936","1,906","1,952","1,396","1,779","1,266","1,928","3,149",8,"2,351"
2020년04월_계_20~29세,"60,961","3,955","3,372","3,302","2,198","2,529","2,320","4,941","2,039","2,002","3,890","5,005","4,134","2,731","3,983","3,618","6,964",18,"3,960"
2020년04월_계_30~39세,"71,310","3,409","5,075","4,194","1,877","3,888","3,638","5,563","2,922","2,718","4,146","6,257","4,775","3,356","4,347","3,556","7,484",28,"4,077"
2020년04월_계_40~49세,"73,413","5,531","5,339","4,303","3,111","5,454","3,510","5,707","2,461","3,277","4,157","5,099","3,888","3,417","3,566","3,702","6,816",50,"4,025"
2020년04월_계_50~59세,"72,826","5,000","4,531","4,153","2,795","3,547","3,234","6,114","2,289","2,697","4,780","6,002","4,450","3,068","3,913","4,011","7,589",31,"4,622"
2020년04월_계_60~69세,"60,446","3,723","3,538","3,446","2,363","2,674","2,634","4,929","1,838","2,289","4,282","4,904","3,912","2,543","3,542","3,121","6,761",54,"3,893"
2020년04월_계_70~79세,"29,492","2,031","1,300","1,550",920,"1,075","1,054","2,618","1,076","1,024","2,247","2,732","2,033","1,285","1,861","1,648","3,255",40,"1,743"
2020년04월_계_80~89세,"10,070",919,394,532,326,434,362,895,322,324,739,877,706,425,620,495,"1,067",11,622
2020년04월_계_90~99세,"1,813",153,83,117,84,127,77,141,43,64,126,146,98,76,92,80,183,8,115
2020년04월_계_100세 이상,243,15,8,11,6,27,4,24,12,8,14,24,13,5,17,11,23,8,13
2020년04월_남_총인구수,"224,321","15,353","15,178","12,883","8,603","13,454","10,732","17,858","7,532","9,018","13,743","17,320","13,173","9,832","11,971","11,593","22,448",127,"13,503"
2020년04월_남_연령구간인구수,"224,321","15,353","15,178","12,883","8,603","13,454","10,732","17,858","7,532","9,018","13,743","17,320","13,173","9,832","11,971","11,593","22,448",127,"13,503"
2020년04월_남_0~9세,"18,103","1,326","2,026","1,097",608,"1,725","1,240","1,163",734,"1,076",778,980,751,834,631,713,"1,364",5,"1,052"
2020년04월_남_10~19세,"20,847","2,293","1,555","1,394","1,389","1,980",980,"1,445",527,"1,003","1,007","1,017",704,923,609,"1,139","1,655",4,"1,223"
2020년04월_남_20~29세,"30,303","1,997","1,767","1,659","1,127","1,382","1,248","2,555",997,997,"1,948","2,384","1,868","1,351","1,814","1,873","3,338",10,"1,988"
2020년04월_남_30~39세,"35,599","1,562","2,387","2,120",929,"1,804","1,798","2,907","1,454","1,246","2,163","3,250","2,395","1,622","2,258","1,806","3,830",15,"2,053"
2020년04월_남_40~49세,"36,835","2,654","2,679","2,052","1,413","2,752","1,822","2,898","1,215","1,636","2,171","2,646","2,050","1,675","1,871","1,790","3,486",24,"2,001"
2020년04월_남_50~59세,"35,446","2,473","2,176","1,970","1,362","1,784","1,636","3,018","1,095","1,290","2,283","3,051","2,265","1,436","1,929","1,892","3,565",20,"2,201"
2020년04월_남_60~69세,"28,782","1,743","1,749","1,621","1,170","1,313","1,322","2,320",854,"1,118","2,033","2,339","1,893","1,169","1,680","1,392","3,177",25,"1,864"
2020년04월_남_70~79세,"14,261",931,684,752,478,517,539,"1,205",518,507,"1,074","1,268",968,635,900,793,"1,602",15,875
2020년04월_남_80~89세,"3,700",328,141,191,109,164,124,306,124,130,263,351,256,165,256,173,392,7,220
2020년04월_남_90~99세,383,42,12,25,18,22,20,36,12,11,19,27,18,22,19,19,35,1,25
2020년04월_남_100세 이상,62,4,2,2,0,11,3,5,2,4,4,7,5,0,4,3,4,1,1
2020년04월_여_총인구수,"230,721","16,444","15,449","13,521","8,838","13,010","10,360","18,209","7,986","9,442","14,110","17,528","13,666","10,459","12,396","11,902","23,448",136,"13,817"
2020년04월_여_연령구간인구수,"230,721","16,444","15,449","13,521","8,838","13,010","10,360","18,209","7,986","9,442","14,110","17,528","13,666","10,459","12,396","11,902","23,448",136,"13,817"
2020년04월_여_0~9세,"16,784","1,279","1,897","1,048",601,"1,546","1,144","1,174",706,"1,045",788,870,683,772,529,612,"1,241",2,847
2020년04월_여_10~19세,"18,734","2,163","1,509","1,257","1,163","1,458",895,"1,353",549,933,899,935,692,856,657,789,"1,494",4,"1,128"
2020년04월_여_20~29세,"30,658","1,958","1,605","1,643","1,071","1,147","1,072","2,386","1,042","1,005","1,942","2,621","2,266","1,380","2,169","1,745","3,626",8,"1,972"
2020년04월_여_30~39세,"35,711","1,847","2,688","2,074",948,"2,084","1,840","2,656","1,468","1,472","1,983","3,007","2,380","1,734","2,089","1,750","3,654",13,"2,024"
2020년04월_여_40~49세,"36,578","2,877","2,660","2,251","1,698","2,702","1,688","2,809","1,246","1,641","1,986","2,453","1,838","1,742","1,695","1,912","3,330",26,"2,024"
2020년04월_여_50~59세,"37,380","2,527","2,355","2,183","1,433","1,763","1,598","3,096","1,194","1,407","2,497","2,951","2,185","1,632","1,984","2,119","4,024",11,"2,421"
2020년04월_여_60~69세,"31,664","1,980","1,789","1,825","1,193","1,361","1,312","2,609",984,"1,171","2,249","2,565","2,019","1,374","1,862","1,729","3,584",29,"2,029"
2020년04월_여_70~79세,"15,231","1,100",616,798,442,558,515,"1,413",558,517,"1,173","1,464","1,065",650,961,855,"1,653",25,868
2020년04월_여_80~89세,"6,370",591,253,341,217,270,238,589,198,194,476,526,450,260,364,322,675,4,402
2020년04월_여_90~99세,"1,430",111,71,92,66,105,57,105,31,53,107,119,80,54,73,61,148,7,90
2020년04월_여_100세 이상,181,11,6,9,6,16,1,19,10,4,10,17,8,5,13,8,19,7,12
