,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2021년11월_계_총인구수,"39,478","8,885","11,525","1,087","1,412","1,144","1,180","1,647",888,"3,645","2,743","1,224","3,037","1,061"
2021년11월_계_연령구간인구수,"39,478","8,885","11,525","1,087","1,412","1,144","1,180","1,647",888,"3,645","2,743","1,224","3,037","1,061"
2021년11월_계_0~9세,"1,538",591,461,21,36,26,36,59,16,101,51,42,75,23
2021년11월_계_10~19세,"2,506",828,802,39,59,48,63,70,49,165,128,67,158,30
2021년11월_계_20~29세,"2,774",896,783,62,86,57,57,103,44,209,127,91,191,68
2021년11월_계_30~39세,"2,319",773,678,46,73,50,57,63,26,171,127,72,135,48
2021년11월_계_40~49세,"3,899","1,159","1,185",77,112,94,99,111,83,310,221,125,250,73
2021년11월_계_50~59세,"6,513","1,502","1,851",170,227,184,188,268,158,573,450,201,572,169
2021년11월_계_60~69세,"7,770","1,395","2,280",227,308,218,228,357,194,786,626,251,678,222
2021년11월_계_70~79세,"6,434",966,"1,971",199,253,219,214,295,161,711,500,207,536,202
2021년11월_계_80~89세,"4,920",679,"1,295",205,222,215,209,277,136,539,431,151,372,189
2021년11월_계_90~99세,780,93,210,40,35,32,28,44,20,78,79,17,68,36
2021년11월_계_100세 이상,25,3,9,1,1,1,1,0,1,2,3,0,2,1
2021년11월_남_총인구수,"19,264","4,349","5,627",523,702,555,578,784,455,"1,752","1,340",590,"1,494",515
2021년11월_남_연령구간인구수,"19,264","4,349","5,627",523,702,555,578,784,455,"1,752","1,340",590,"1,494",515
2021년11월_남_0~9세,810,316,241,10,18,12,24,23,7,60,21,29,38,11
2021년11월_남_10~19세,"1,279",398,418,24,35,26,32,43,21,88,70,30,75,19
2021년11월_남_20~29세,"1,605",484,451,38,52,32,36,59,29,128,79,58,120,39
2021년11월_남_30~39세,"1,234",398,357,25,44,24,33,30,18,87,70,41,76,31
2021년11월_남_40~49세,"2,208",577,683,52,67,53,64,69,51,196,135,72,143,46
2021년11월_남_50~59세,"3,656",806,"1,034",101,141,115,114,150,106,326,277,89,301,96
2021년11월_남_60~69세,"3,973",682,"1,132",128,172,119,126,201,104,384,319,127,367,112
2021년11월_남_70~79세,"2,781",431,849,91,100,104,79,123,75,303,215,94,232,85
2021년11월_남_80~89세,"1,553",236,421,47,68,58,64,76,40,163,137,50,127,66
2021년11월_남_90~99세,161,21,38,7,5,12,6,10,4,16,17,0,15,10
2021년11월_남_100세 이상,4,0,3,0,0,0,0,0,0,1,0,0,0,0
2021년11월_여_총인구수,"20,214","4,536","5,898",564,710,589,602,863,433,"1,893","1,403",634,"1,543",546
2021년11월_여_연령구간인구수,"20,214","4,536","5,898",564,710,589,602,863,433,"1,893","1,403",634,"1,543",546
2021년11월_여_0~9세,728,275,220,11,18,14,12,36,9,41,30,13,37,12
2021년11월_여_10~19세,"1,227",430,384,15,24,22,31,27,28,77,58,37,83,11
2021년11월_여_20~29세,"1,169",412,332,24,34,25,21,44,15,81,48,33,71,29
2021년11월_여_30~39세,"1,085",375,321,21,29,26,24,33,8,84,57,31,59,17
2021년11월_여_40~49세,"1,691",582,502,25,45,41,35,42,32,114,86,53,107,27
2021년11월_여_50~59세,"2,857",696,817,69,86,69,74,118,52,247,173,112,271,73
2021년11월_여_60~69세,"3,797",713,"1,148",99,136,99,102,156,90,402,307,124,311,110
2021년11월_여_70~79세,"3,653",535,"1,122",108,153,115,135,172,86,408,285,113,304,117
2021년11월_여_80~89세,"3,367",443,874,158,154,157,145,201,96,376,294,101,245,123
2021년11월_여_90~99세,619,72,172,33,30,20,22,34,16,62,62,17,53,26
2021년11월_여_100세 이상,21,3,6,1,1,1,1,0,1,1,3,0,2,1
