카테고리,경상남도 함양군,경상남도 함양군 함양읍,경상남도 함양군 마천면,경상남도 함양군 휴천면,경상남도 함양군 유림면,경상남도 함양군 수동면,경상남도 함양군 지곡면,경상남도 함양군 안의면,경상남도 함양군 서하면,경상남도 함양군 서상면,경상남도 함양군 백전면,경상남도 함양군 병곡면
2020년06월_계_총인구수,"39,321","18,526","2,189","1,624","1,667","2,410","2,079","4,598","1,443","1,859","1,561","1,365"
2020년06월_계_연령구간인구수,"39,321","18,526","2,189","1,624","1,667","2,410","2,079","4,598","1,443","1,859","1,561","1,365"
2020년06월_계_0~9세,"1,893","1,354",44,37,19,73,66,142,29,52,44,33
2020년06월_계_10~19세,"3,010","1,939",116,77,72,143,107,250,49,104,72,81
2020년06월_계_20~29세,"3,194","1,926",112,75,94,198,111,275,85,133,85,100
2020년06월_계_30~39세,"2,714","1,697",97,72,70,151,109,258,60,87,62,51
2020년06월_계_40~49세,"4,501","2,698",191,156,109,215,182,439,102,154,132,123
2020년06월_계_50~59세,"6,970","3,272",474,310,285,389,352,736,268,323,294,267
2020년06월_계_60~69세,"7,089","2,635",472,330,344,516,431,964,367,382,377,271
2020년06월_계_70~79세,"5,580","1,802",388,318,366,398,409,816,237,350,274,222
2020년06월_계_80~89세,"3,794","1,056",251,215,252,290,277,609,222,243,192,187
2020년06월_계_90~99세,544,138,41,33,50,37,35,101,24,29,28,28
2020년06월_계_100세 이상,32,9,3,1,6,0,0,8,0,2,1,2
2020년06월_남_총인구수,"18,943","8,984","1,041",807,775,"1,183","1,001","2,179",693,864,766,650
2020년06월_남_연령구간인구수,"18,943","8,984","1,041",807,775,"1,183","1,001","2,179",693,864,766,650
2020년06월_남_0~9세,959,684,21,19,5,39,34,71,17,28,25,16
2020년06월_남_10~19세,"1,552","1,000",58,38,33,69,50,135,30,49,41,49
2020년06월_남_20~29세,"1,821","1,078",63,39,61,119,74,156,54,68,51,58
2020년06월_남_30~39세,"1,414",841,54,41,43,89,62,141,35,44,36,28
2020년06월_남_40~49세,"2,463","1,378",111,95,66,131,103,278,60,92,76,73
2020년06월_남_50~59세,"3,684","1,695",252,194,151,219,188,381,138,169,145,152
2020년06월_남_60~69세,"3,521","1,230",250,185,179,265,231,470,185,196,194,136
2020년06월_남_70~79세,"2,266",734,151,125,165,152,165,326,97,145,124,82
2020년06월_남_80~89세,"1,142",319,74,67,62,89,86,195,73,63,65,49
2020년06월_남_90~99세,114,24,7,4,9,11,8,23,4,8,9,7
2020년06월_남_100세 이상,7,1,0,0,1,0,0,3,0,2,0,0
2020년06월_여_총인구수,"20,378","9,542","1,148",817,892,"1,227","1,078","2,419",750,995,795,715
2020년06월_여_연령구간인구수,"20,378","9,542","1,148",817,892,"1,227","1,078","2,419",750,995,795,715
2020년06월_여_0~9세,934,670,23,18,14,34,32,71,12,24,19,17
2020년06월_여_10~19세,"1,458",939,58,39,39,74,57,115,19,55,31,32
2020년06월_여_20~29세,"1,373",848,49,36,33,79,37,119,31,65,34,42
2020년06월_여_30~39세,"1,300",856,43,31,27,62,47,117,25,43,26,23
2020년06월_여_40~49세,"2,038","1,320",80,61,43,84,79,161,42,62,56,50
2020년06월_여_50~59세,"3,286","1,577",222,116,134,170,164,355,130,154,149,115
2020년06월_여_60~69세,"3,568","1,405",222,145,165,251,200,494,182,186,183,135
2020년06월_여_70~79세,"3,314","1,068",237,193,201,246,244,490,140,205,150,140
2020년06월_여_80~89세,"2,652",737,177,148,190,201,191,414,149,180,127,138
2020년06월_여_90~99세,430,114,34,29,41,26,27,78,20,21,19,21
2020년06월_여_100세 이상,25,8,3,1,5,0,0,5,0,0,1,2
