,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2021년06월_계_총인구수,"91,024","14,323","25,897","7,097","4,359","14,221","6,061","5,787","4,678","1,885","1,931","2,712","1,091",982
2021년06월_계_연령구간인구수,"91,024","14,323","25,897","7,097","4,359","14,221","6,061","5,787","4,678","1,885","1,931","2,712","1,091",982
2021년06월_계_0~9세,"6,567",689,"2,762",359,275,"1,617",218,181,231,56,53,71,35,20
2021년06월_계_10~19세,"8,184","1,155","3,375",490,371,"1,329",340,380,276,100,62,217,44,45
2021년06월_계_20~29세,"8,819","1,764","2,677",700,389,"1,347",511,529,364,127,92,200,75,44
2021년06월_계_30~39세,"9,059","1,208","3,275",558,322,"2,169",411,363,345,94,85,123,58,48
2021년06월_계_40~49세,"13,300","2,022","4,739",909,615,"2,494",579,580,526,191,178,300,85,82
2021년06월_계_50~59세,"15,117","2,447","3,655","1,309",798,"2,160","1,172","1,180",833,323,368,450,254,168
2021년06월_계_60~69세,"14,427","2,397","2,717","1,344",769,"1,614","1,386","1,279",909,414,486,566,295,251
2021년06월_계_70~79세,"9,288","1,539","1,664",863,516,966,857,761,688,322,360,434,136,182
2021년06월_계_80~89세,"5,397",959,877,487,257,458,518,465,431,208,220,295,94,128
2021년06월_계_90~99세,836,140,152,74,44,64,65,67,74,49,26,53,15,13
2021년06월_계_100세 이상,30,3,4,4,3,3,4,2,1,1,1,3,0,1
2021년06월_남_총인구수,"46,782","7,393","13,504","3,671","2,235","7,158","3,140","2,897","2,382",962,970,"1,419",552,499
2021년06월_남_연령구간인구수,"46,782","7,393","13,504","3,671","2,235","7,158","3,140","2,897","2,382",962,970,"1,419",552,499
2021년06월_남_0~9세,"3,273",335,"1,414",169,143,798,105,81,112,28,25,36,19,8
2021년06월_남_10~19세,"4,277",574,"1,766",265,188,675,190,194,165,53,40,123,21,23
2021년06월_남_20~29세,"4,944",975,"1,555",408,226,686,290,282,221,68,47,113,42,31
2021년06월_남_30~39세,"4,689",710,"1,633",290,169,"1,068",236,180,183,49,54,65,24,28
2021년06월_남_40~49세,"7,306","1,112","2,572",503,320,"1,333",347,308,311,114,108,170,56,52
2021년06월_남_50~59세,"8,433","1,419","2,058",762,450,"1,149",630,623,453,185,204,280,132,88
2021년06월_남_60~69세,"7,519","1,210","1,395",695,396,830,724,703,477,225,253,312,166,133
2021년06월_남_70~79세,"4,328",697,783,389,241,448,427,367,303,157,157,212,66,81
2021년06월_남_80~89세,"1,825",331,291,167,96,151,181,148,137,75,78,98,21,51
2021년06월_남_90~99세,182,28,35,23,6,20,9,11,19,8,4,10,5,4
2021년06월_남_100세 이상,6,2,2,0,0,0,1,0,1,0,0,0,0,0
2021년06월_여_총인구수,"44,242","6,930","12,393","3,426","2,124","7,063","2,921","2,890","2,296",923,961,"1,293",539,483
2021년06월_여_연령구간인구수,"44,242","6,930","12,393","3,426","2,124","7,063","2,921","2,890","2,296",923,961,"1,293",539,483
2021년06월_여_0~9세,"3,294",354,"1,348",190,132,819,113,100,119,28,28,35,16,12
2021년06월_여_10~19세,"3,907",581,"1,609",225,183,654,150,186,111,47,22,94,23,22
2021년06월_여_20~29세,"3,875",789,"1,122",292,163,661,221,247,143,59,45,87,33,13
2021년06월_여_30~39세,"4,370",498,"1,642",268,153,"1,101",175,183,162,45,31,58,34,20
2021년06월_여_40~49세,"5,994",910,"2,167",406,295,"1,161",232,272,215,77,70,130,29,30
2021년06월_여_50~59세,"6,684","1,028","1,597",547,348,"1,011",542,557,380,138,164,170,122,80
2021년06월_여_60~69세,"6,908","1,187","1,322",649,373,784,662,576,432,189,233,254,129,118
2021년06월_여_70~79세,"4,960",842,881,474,275,518,430,394,385,165,203,222,70,101
2021년06월_여_80~89세,"3,572",628,586,320,161,307,337,317,294,133,142,197,73,77
2021년06월_여_90~99세,654,112,117,51,38,44,56,56,55,41,22,43,10,9
2021년06월_여_100세 이상,24,1,2,4,3,3,3,2,0,1,1,3,0,1
