카테고리,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2020년11월_계_총인구수,"53,183","21,908","4,710","6,962","1,804","1,779","1,366","2,318","2,404","4,045","5,295",403,189
2020년11월_계_연령구간인구수,"53,183","21,908","4,710","6,962","1,804","1,779","1,366","2,318","2,404","4,045","5,295",403,189
2020년11월_계_0~9세,"3,770","2,101",181,643,86,85,59,80,84,148,279,13,11
2020년11월_계_10~19세,"4,199","2,373",248,554,119,73,58,185,76,150,350,11,2
2020년11월_계_20~29세,"5,022","2,430",347,832,161,130,90,160,125,252,459,26,10
2020년11월_계_30~39세,"4,888","2,327",272,933,145,115,120,124,129,263,428,21,11
2020년11월_계_40~49세,"6,577","3,361",454,875,169,153,101,242,190,375,566,64,27
2020년11월_계_50~59세,"8,573","3,434",811,"1,146",281,284,233,385,340,650,892,85,32
2020년11월_계_60~69세,"8,456","2,869",849,875,322,343,298,396,472,913,958,108,53
2020년11월_계_70~79세,"7,153","1,955",914,718,295,315,240,427,535,838,835,47,34
2020년11월_계_80~89세,"3,964",906,557,339,185,246,150,276,406,406,464,21,8
2020년11월_계_90~99세,548,140,70,43,39,35,17,39,47,50,60,7,1
2020년11월_계_100세 이상,33,12,7,4,2,0,0,4,0,0,4,0,0
2020년11월_남_총인구수,"26,517","10,734","2,362","3,643",965,864,683,"1,175","1,159","1,981","2,590",248,113
2020년11월_남_연령구간인구수,"26,517","10,734","2,362","3,643",965,864,683,"1,175","1,159","1,981","2,590",248,113
2020년11월_남_0~9세,"1,927","1,069",88,347,44,49,25,35,46,66,146,6,6
2020년11월_남_10~19세,"2,174","1,212",131,270,86,36,25,104,46,74,181,7,2
2020년11월_남_20~29세,"2,816","1,301",218,495,99,58,50,91,69,155,258,16,6
2020년11월_남_30~39세,"2,518","1,119",161,504,81,55,61,75,70,147,225,14,6
2020년11월_남_40~49세,"3,720","1,696",296,501,116,101,70,158,120,257,335,48,22
2020년11월_남_50~59세,"4,720","1,757",485,650,163,156,132,251,206,359,479,60,22
2020년11월_남_60~69세,"4,257","1,370",426,464,186,186,159,194,238,449,493,64,28
2020년11월_남_70~79세,"3,067",892,370,303,129,136,109,170,215,361,336,27,19
2020년11월_남_80~89세,"1,209",289,168,104,51,78,48,89,141,103,130,6,2
2020년11월_남_90~99세,106,29,16,5,10,9,4,8,8,10,7,0,0
2020년11월_남_100세 이상,3,0,3,0,0,0,0,0,0,0,0,0,0
2020년11월_여_총인구수,"26,666","11,174","2,348","3,319",839,915,683,"1,143","1,245","2,064","2,705",155,76
2020년11월_여_연령구간인구수,"26,666","11,174","2,348","3,319",839,915,683,"1,143","1,245","2,064","2,705",155,76
2020년11월_여_0~9세,"1,843","1,032",93,296,42,36,34,45,38,82,133,7,5
2020년11월_여_10~19세,"2,025","1,161",117,284,33,37,33,81,30,76,169,4,0
2020년11월_여_20~29세,"2,206","1,129",129,337,62,72,40,69,56,97,201,10,4
2020년11월_여_30~39세,"2,370","1,208",111,429,64,60,59,49,59,116,203,7,5
2020년11월_여_40~49세,"2,857","1,665",158,374,53,52,31,84,70,118,231,16,5
2020년11월_여_50~59세,"3,853","1,677",326,496,118,128,101,134,134,291,413,25,10
2020년11월_여_60~69세,"4,199","1,499",423,411,136,157,139,202,234,464,465,44,25
2020년11월_여_70~79세,"4,086","1,063",544,415,166,179,131,257,320,477,499,20,15
2020년11월_여_80~89세,"2,755",617,389,235,134,168,102,187,265,303,334,15,6
2020년11월_여_90~99세,442,111,54,38,29,26,13,31,39,40,53,7,1
2020년11월_여_100세 이상,30,12,4,4,2,0,0,4,0,0,4,0,0
