,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2021년12월_계_총인구수,"40,844","6,128","4,262","5,725","13,106","3,810","3,334","2,497","1,982"
2021년12월_계_연령구간인구수,"40,844","6,128","4,262","5,725","13,106","3,810","3,334","2,497","1,982"
2021년12월_계_0~9세,"2,301",434,158,339,"1,011",143,121,58,37
2021년12월_계_10~19세,"3,665",556,304,503,"1,543",266,213,201,79
2021년12월_계_20~29세,"3,452",564,319,383,"1,368",271,282,135,130
2021년12월_계_30~39세,"3,296",556,261,458,"1,290",258,227,130,116
2021년12월_계_40~49세,"6,095",879,577,862,"2,515",478,346,252,186
2021년12월_계_50~59세,"6,981","1,060",737,909,"2,184",700,681,382,328
2021년12월_계_60~69세,"7,804","1,148","1,038","1,068","1,789",912,725,622,502
2021년12월_계_70~79세,"4,789",629,599,788,963,521,459,462,368
2021년12월_계_80~89세,"2,204",265,238,370,394,229,255,236,217
2021년12월_계_90~99세,255,36,31,44,49,32,25,19,19
2021년12월_계_100세 이상,2,1,0,1,0,0,0,0,0
2021년12월_남_총인구수,"20,656","3,031","2,161","2,946","6,626","1,914","1,647","1,300","1,031"
2021년12월_남_연령구간인구수,"20,656","3,031","2,161","2,946","6,626","1,914","1,647","1,300","1,031"
2021년12월_남_0~9세,"1,218",228,75,195,535,71,59,35,20
2021년12월_남_10~19세,"1,889",287,163,259,784,121,100,136,39
2021년12월_남_20~29세,"1,994",333,192,241,768,144,155,78,83
2021년12월_남_30~39세,"1,750",287,147,237,667,135,135,68,74
2021년12월_남_40~49세,"3,244",463,321,484,"1,269",267,188,147,105
2021년12월_남_50~59세,"3,776",526,407,533,"1,163",370,358,226,193
2021년12월_남_60~69세,"3,833",534,521,496,863,465,372,324,258
2021년12월_남_70~79세,"2,103",272,244,349,435,234,199,203,167
2021년12월_남_80~89세,796,92,87,138,136,100,78,79,86
2021년12월_남_90~99세,53,9,4,14,6,7,3,4,6
2021년12월_남_100세 이상,0,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"20,188","3,097","2,101","2,779","6,480","1,896","1,687","1,197",951
2021년12월_여_연령구간인구수,"20,188","3,097","2,101","2,779","6,480","1,896","1,687","1,197",951
2021년12월_여_0~9세,"1,083",206,83,144,476,72,62,23,17
2021년12월_여_10~19세,"1,776",269,141,244,759,145,113,65,40
2021년12월_여_20~29세,"1,458",231,127,142,600,127,127,57,47
2021년12월_여_30~39세,"1,546",269,114,221,623,123,92,62,42
2021년12월_여_40~49세,"2,851",416,256,378,"1,246",211,158,105,81
2021년12월_여_50~59세,"3,205",534,330,376,"1,021",330,323,156,135
2021년12월_여_60~69세,"3,971",614,517,572,926,447,353,298,244
2021년12월_여_70~79세,"2,686",357,355,439,528,287,260,259,201
2021년12월_여_80~89세,"1,408",173,151,232,258,129,177,157,131
2021년12월_여_90~99세,202,27,27,30,43,25,22,15,13
2021년12월_여_100세 이상,2,1,0,1,0,0,0,0,0
