,대구광역시 서구,대구광역시 서구 내당1동,대구광역시 서구 내당2.3동,대구광역시 서구 내당4동,대구광역시 서구 비산1동,대구광역시 서구 비산2.3동,대구광역시 서구 비산4동,대구광역시 서구 비산5동,대구광역시 서구 비산6동,대구광역시 서구 비산7동,대구광역시 서구 평리1동,대구광역시 서구 평리2동,대구광역시 서구 평리3동,대구광역시 서구 평리4동,대구광역시 서구 평리5동,대구광역시 서구 평리6동,대구광역시 서구 상중이동,대구광역시 서구 원대동
2021년04월_계_총인구수,"169,022","8,597","10,039","16,842","9,782","9,571","9,959","6,298","7,797","10,850","7,919","8,090","10,028","18,198","1,799","5,151","20,299","7,803"
2021년04월_계_연령구간인구수,"169,022","8,597","10,039","16,842","9,782","9,571","9,959","6,298","7,797","10,850","7,919","8,090","10,028","18,198","1,799","5,151","20,299","7,803"
2021년04월_계_0~9세,"7,246",317,312,699,293,281,364,189,225,386,297,580,350,"1,247",73,138,"1,237",258
2021년04월_계_10~19세,"10,608",480,514,"1,192",626,469,597,332,494,557,462,600,581,"1,246",98,309,"1,653",398
2021년04월_계_20~29세,"21,178","1,325","1,261","2,411","1,136","1,025","1,267",641,976,"1,265","1,027",884,"1,262","2,261",228,617,"2,632",960
2021년04월_계_30~39세,"17,217",956,937,"1,967",863,790,938,603,694,"1,056",739,939,977,"2,233",181,482,"2,144",718
2021년04월_계_40~49세,"22,413","1,063","1,269","2,222","1,313","1,112","1,276",748,999,"1,377","1,016","1,218","1,298","2,638",237,634,"2,954","1,039"
2021년04월_계_50~59세,"33,522","1,651","1,957","3,020","2,082","1,874","2,026","1,270","1,623","2,357","1,616","1,451","2,141","3,479",365,"1,119","3,913","1,578"
2021년04월_계_60~69세,"31,657","1,544","1,971","3,020","1,860","1,960","1,947","1,294","1,545","2,153","1,506","1,413","1,943","3,023",352,"1,110","3,537","1,479"
2021년04월_계_70~79세,"17,256",856,"1,230","1,582","1,113","1,371","1,049",843,841,"1,203",830,704,"1,019","1,448",189,506,"1,548",924
2021년04월_계_80~89세,"7,111",364,540,647,443,624,444,350,359,452,387,275,412,537,67,209,595,406
2021년04월_계_90~99세,755,34,43,82,49,61,41,28,34,41,33,25,44,82,4,27,84,43
2021년04월_계_100세 이상,59,7,5,0,4,4,10,0,7,3,6,1,1,4,5,0,2,0
2021년04월_남_총인구수,"84,624","4,247","4,880","8,145","4,999","4,758","4,894","3,203","3,844","5,747","4,000","3,960","5,059","9,027",943,"2,733","10,232","3,953"
2021년04월_남_연령구간인구수,"84,624","4,247","4,880","8,145","4,999","4,758","4,894","3,203","3,844","5,747","4,000","3,960","5,059","9,027",943,"2,733","10,232","3,953"
2021년04월_남_0~9세,"3,743",178,160,351,147,155,184,100,121,201,146,300,187,626,40,71,664,112
2021년04월_남_10~19세,"5,488",258,271,618,331,251,307,168,259,280,245,284,321,635,57,154,859,190
2021년04월_남_20~29세,"11,638",698,659,"1,285",663,571,682,352,545,741,591,473,674,"1,228",133,358,"1,444",541
2021년04월_남_30~39세,"9,777",537,557,"1,112",506,458,551,366,398,599,437,499,562,"1,197",99,304,"1,186",409
2021년04월_남_40~49세,"12,051",561,713,"1,099",740,644,693,412,508,823,567,623,720,"1,350",135,375,"1,496",592
2021년04월_남_50~59세,"16,920",783,971,"1,359","1,084",988,986,706,825,"1,330",844,707,"1,073","1,720",188,592,"1,934",830
2021년04월_남_60~69세,"14,816",700,876,"1,362",900,924,871,602,693,"1,068",695,656,929,"1,414",169,571,"1,682",704
2021년04월_남_70~79세,"7,556",394,490,705,462,550,457,360,355,543,339,311,447,666,90,231,741,415
2021년04월_남_80~89세,"2,490",128,173,234,158,206,156,130,132,158,130,102,140,178,30,70,212,153
2021년04월_남_90~99세,130,9,8,20,6,11,4,7,6,4,4,4,6,13,1,7,13,7
2021년04월_남_100세 이상,15,1,2,0,2,0,3,0,2,0,2,1,0,0,1,0,1,0
2021년04월_여_총인구수,"84,398","4,350","5,159","8,697","4,783","4,813","5,065","3,095","3,953","5,103","3,919","4,130","4,969","9,171",856,"2,418","10,067","3,850"
2021년04월_여_연령구간인구수,"84,398","4,350","5,159","8,697","4,783","4,813","5,065","3,095","3,953","5,103","3,919","4,130","4,969","9,171",856,"2,418","10,067","3,850"
2021년04월_여_0~9세,"3,503",139,152,348,146,126,180,89,104,185,151,280,163,621,33,67,573,146
2021년04월_여_10~19세,"5,120",222,243,574,295,218,290,164,235,277,217,316,260,611,41,155,794,208
2021년04월_여_20~29세,"9,540",627,602,"1,126",473,454,585,289,431,524,436,411,588,"1,033",95,259,"1,188",419
2021년04월_여_30~39세,"7,440",419,380,855,357,332,387,237,296,457,302,440,415,"1,036",82,178,958,309
2021년04월_여_40~49세,"10,362",502,556,"1,123",573,468,583,336,491,554,449,595,578,"1,288",102,259,"1,458",447
2021년04월_여_50~59세,"16,602",868,986,"1,661",998,886,"1,040",564,798,"1,027",772,744,"1,068","1,759",177,527,"1,979",748
2021년04월_여_60~69세,"16,841",844,"1,095","1,658",960,"1,036","1,076",692,852,"1,085",811,757,"1,014","1,609",183,539,"1,855",775
2021년04월_여_70~79세,"9,700",462,740,877,651,821,592,483,486,660,491,393,572,782,99,275,807,509
2021년04월_여_80~89세,"4,621",236,367,413,285,418,288,220,227,294,257,173,272,359,37,139,383,253
2021년04월_여_90~99세,625,25,35,62,43,50,37,21,28,37,29,21,38,69,3,20,71,36
2021년04월_여_100세 이상,44,6,3,0,2,4,7,0,5,3,4,0,1,4,4,0,1,0
