카테고리,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2020년01월_계_총인구수,"81,144","10,887","6,650","5,711","33,239","3,154","6,461","4,776","2,082","5,141","3,043"
2020년01월_계_연령구간인구수,"81,144","10,887","6,650","5,711","33,239","3,154","6,461","4,776","2,082","5,141","3,043"
2020년01월_계_0~9세,"7,193",758,284,209,"5,230",47,238,128,68,137,94
2020년01월_계_10~19세,"8,817","1,176",415,336,"5,452",165,459,225,102,300,187
2020년01월_계_20~29세,"8,162","1,368",569,530,"3,575",247,688,358,172,395,260
2020년01월_계_30~39세,"9,343","1,038",440,384,"5,983",163,475,272,143,261,184
2020년01월_계_40~49세,"12,591","1,598",764,650,"7,047",281,736,456,210,548,301
2020년01월_계_50~59세,"12,486","1,875","1,210","1,211","3,552",608,"1,190",932,383,915,610
2020년01월_계_60~69세,"10,177","1,498","1,243","1,095","1,470",582,"1,185",974,471,"1,032",627
2020년01월_계_70~79세,"7,822","1,052","1,064",807,633,602,904,911,361,979,509
2020년01월_계_80~89세,"3,971",472,584,417,261,407,498,453,137,502,240
2020년01월_계_90~99세,548,50,77,67,34,50,72,66,33,71,28
2020년01월_계_100세 이상,34,2,0,5,2,2,16,1,2,1,3
2020년01월_남_총인구수,"40,675","5,404","3,373","3,004","16,352","1,552","3,323","2,409","1,075","2,610","1,573"
2020년01월_남_연령구간인구수,"40,675","5,404","3,373","3,004","16,352","1,552","3,323","2,409","1,075","2,610","1,573"
2020년01월_남_0~9세,"3,669",385,160,102,"2,647",19,127,70,39,75,45
2020년01월_남_10~19세,"4,510",618,217,167,"2,789",91,227,103,52,156,90
2020년01월_남_20~29세,"4,378",760,317,294,"1,759",138,417,205,91,255,142
2020년01월_남_30~39세,"4,799",561,269,229,"2,807",113,269,177,97,155,122
2020년01월_남_40~49세,"6,716",807,474,385,"3,449",173,448,310,136,344,190
2020년01월_남_50~59세,"6,850",971,686,709,"1,889",346,656,527,202,502,362
2020년01월_남_60~69세,"5,042",721,594,600,680,290,609,474,237,516,321
2020년01월_남_70~79세,"3,412",434,472,380,260,251,412,382,165,433,223
2020년01월_남_80~89세,"1,200",139,167,127,67,119,150,147,49,166,69
2020년01월_남_90~99세,95,8,17,10,4,12,8,14,7,8,7
2020년01월_남_100세 이상,4,0,0,1,1,0,0,0,0,0,2
2020년01월_여_총인구수,"40,469","5,483","3,277","2,707","16,887","1,602","3,138","2,367","1,007","2,531","1,470"
2020년01월_여_연령구간인구수,"40,469","5,483","3,277","2,707","16,887","1,602","3,138","2,367","1,007","2,531","1,470"
2020년01월_여_0~9세,"3,524",373,124,107,"2,583",28,111,58,29,62,49
2020년01월_여_10~19세,"4,307",558,198,169,"2,663",74,232,122,50,144,97
2020년01월_여_20~29세,"3,784",608,252,236,"1,816",109,271,153,81,140,118
2020년01월_여_30~39세,"4,544",477,171,155,"3,176",50,206,95,46,106,62
2020년01월_여_40~49세,"5,875",791,290,265,"3,598",108,288,146,74,204,111
2020년01월_여_50~59세,"5,636",904,524,502,"1,663",262,534,405,181,413,248
2020년01월_여_60~69세,"5,135",777,649,495,790,292,576,500,234,516,306
2020년01월_여_70~79세,"4,410",618,592,427,373,351,492,529,196,546,286
2020년01월_여_80~89세,"2,771",333,417,290,194,288,348,306,88,336,171
2020년01월_여_90~99세,453,42,60,57,30,38,64,52,26,63,21
2020년01월_여_100세 이상,30,2,0,4,1,2,16,1,2,1,1
