,경기도 수원시,경기도 수원시 장안구,경기도 수원시 장안구 파장동,경기도 수원시 장안구 율천동,경기도 수원시 장안구 정자1동,경기도 수원시 장안구 정자2동,경기도 수원시 장안구 정자3동,경기도 수원시 장안구 영화동,경기도 수원시 장안구 송죽동,경기도 수원시 장안구 조원1동,경기도 수원시 장안구 조원2동,경기도 수원시 장안구 연무동,경기도 수원시 권선구,경기도 수원시 권선구 세류1동,경기도 수원시 권선구 세류2동,경기도 수원시 권선구 세류3동,경기도 수원시 권선구 평동,경기도 수원시 권선구 서둔동,경기도 수원시 권선구 구운동,경기도 수원시 권선구 금곡동,경기도 수원시 권선구 호매실동,경기도 수원시 권선구 권선1동,경기도 수원시 권선구 권선2동,경기도 수원시 권선구 곡선동,경기도 수원시 권선구 입북동,경기도 수원시 팔달구,경기도 수원시 팔달구 매교동,경기도 수원시 팔달구 매산동,경기도 수원시 팔달구 고등동,경기도 수원시 팔달구 화서1동,경기도 수원시 팔달구 화서2동,경기도 수원시 팔달구 지동,경기도 수원시 팔달구 우만1동,경기도 수원시 팔달구 우만2동,경기도 수원시 팔달구 인계동,경기도 수원시 팔달구 행궁동,경기도 수원시 영통구,경기도 수원시 영통구 매탄1동,경기도 수원시 영통구 매탄2동,경기도 수원시 영통구 매탄3동,경기도 수원시 영통구 매탄4동,경기도 수원시 영통구 원천동,경기도 수원시 영통구 영통1동,경기도 수원시 영통구 영통2동,경기도 수원시 영통구 영통3동,경기도 수원시 영통구 망포1동,경기도 수원시 영통구 망포2동,경기도 수원시 영통구 광교1동,경기도 수원시 영통구 광교2동
2021년08월_남_70~79세,"25,407","6,912",729,732,643,828,558,831,550,894,446,701,"8,041",305,771,672,"1,009","1,085",668,845,726,514,734,351,361,"5,390",212,365,631,755,537,516,676,331,841,526,"5,064",428,373,547,430,584,424,227,350,358,258,555,530
2021년08월_남_80~89세,"9,245","2,850",280,303,265,370,257,297,193,340,267,278,"2,708",110,278,218,352,339,218,317,230,157,226,146,117,"1,899",91,122,195,267,219,176,226,134,280,189,"1,788",118,119,190,154,190,217,108,160,119,80,167,166
2021년08월_남_90~99세,898,310,27,43,25,31,19,18,22,52,39,34,260,8,32,19,26,28,23,39,20,15,19,16,15,169,8,21,13,28,20,12,12,12,19,24,159,11,10,10,15,18,20,9,15,9,7,21,14
2021년08월_남_100세 이상,46,15,2,1,1,1,0,2,3,0,3,2,13,0,5,1,1,2,0,0,1,0,3,0,0,11,1,3,0,2,2,1,0,0,1,1,7,1,1,0,1,0,2,1,0,0,0,0,1
2021년08월_여_총인구수,"587,609","133,961","11,611","20,067","14,862","15,164","21,070","9,802","9,859","14,024","9,721","7,781","180,670","5,095","11,417","9,341","19,988","18,657","12,100","23,079","23,284","12,072","24,827","12,589","8,221","90,911","2,787","4,837","9,793","11,654","13,371","5,323","10,141","8,443","19,634","4,928","182,067","8,870","7,494","17,425","11,073","19,213","17,826","12,432","15,981","15,449","14,009","27,087","15,208"
2021년08월_여_연령구간인구수,"587,609","133,961","11,611","20,067","14,862","15,164","21,070","9,802","9,859","14,024","9,721","7,781","180,670","5,095","11,417","9,341","19,988","18,657","12,100","23,079","23,284","12,072","24,827","12,589","8,221","90,911","2,787","4,837","9,793","11,654","13,371","5,323","10,141","8,443","19,634","4,928","182,067","8,870","7,494","17,425","11,073","19,213","17,826","12,432","15,981","15,449","14,009","27,087","15,208"
2021년08월_여_0~9세,"44,995","8,306",617,"1,450","1,153",926,"1,590",392,544,664,647,323,"14,919",416,532,458,"1,452","1,127",657,"2,311","3,246",596,"2,581",767,776,"5,093",116,206,804,731,917,180,404,565,"1,036",134,"16,677",535,370,"1,299",565,"2,057","1,670","1,209","1,182","1,633","1,995","2,535","1,627"
2021년08월_여_10~19세,"56,086","13,288",877,"1,927","1,597","1,524","3,276",565,792,"1,260","1,000",470,"15,729",269,755,684,"1,648","1,462",972,"2,350","2,339",773,"2,566","1,061",850,"6,840",146,229,691,"1,039","1,416",311,634,761,"1,412",201,"20,229",877,690,"2,110","1,072","1,742","2,251","1,024","2,030","1,954","1,588","3,365","1,526"
2021년08월_여_20~29세,"87,921","19,565","1,528","3,894","1,858","2,084","2,997","1,272","1,460","1,985","1,364","1,123","25,445",724,"1,676","1,228","2,835","2,766","1,848","2,949","2,459","2,481","3,095","2,424",960,"14,831",409,798,"1,407","1,558","1,949",603,"1,521","1,627","4,188",771,"28,080","1,343","1,219","2,860","1,763","3,162","2,337","2,373","3,067","2,043","1,633","4,656","1,624"
2021년08월_여_30~39세,"84,366","15,052","1,385","2,613","1,696","1,710","2,185","1,038","1,219","1,442","1,013",751,"26,942",787,"1,485","1,128","2,716","2,374","1,473","3,240","4,478","2,032","3,983","2,194","1,052","12,275",426,693,"1,538","1,255","1,720",488,"1,269","1,046","3,281",559,"30,097","1,097",883,"2,431","1,484","3,522","2,726","2,936","2,019","2,460","2,799","4,987","2,753"
2021년08월_여_40~49세,"99,229","22,146","1,734","3,174","2,752","2,553","4,645","1,284","1,490","2,098","1,497",919,"29,374",690,"1,663","1,427","2,898","2,788","1,719","4,108","4,055","1,766","4,621","2,117","1,522","13,486",332,608,"1,388","1,869","2,277",685,"1,335","1,382","3,070",540,"34,223","1,462","1,171","3,355","1,925","3,498","3,589","2,038","3,139","2,921","2,817","5,449","2,859"
2021년08월_여_50~59세,"98,351","24,319","2,153","3,363","2,706","2,677","3,627","1,900","1,854","2,709","2,045","1,285","31,123",945,"2,065","1,667","3,810","3,337","2,381","3,951","3,170","2,010","4,160","2,177","1,450","15,339",471,858,"1,583","2,060","2,599",925,"1,837","1,372","2,816",818,"27,570","1,631","1,437","2,776","1,964","2,337","2,911","1,594","2,650","2,582","1,850","3,571","2,267"
2021년08월_여_60~69세,"65,183","16,558","1,770","1,989","1,689","1,873","1,429","1,881","1,407","2,007","1,077","1,436","21,558",694,"1,848","1,520","2,657","2,710","1,773","2,309","2,083","1,454","2,481","1,073",956,"12,454",468,780,"1,319","1,685","1,355","1,071","1,671",950,"2,200",955,"14,613","1,151",958,"1,472","1,328","1,693","1,284",666,"1,069","1,108",830,"1,524","1,530"
2021년08월_여_70~79세,"31,299","8,774",937,952,832,"1,143",776,955,678,"1,082",571,848,"9,485",353,878,787,"1,168","1,339",742,"1,109",883,593,809,427,397,"6,659",264,413,719,952,660,663,937,457,995,599,"6,381",492,461,643,578,738,637,357,463,452,294,631,635
2021년08월_여_80~89세,"16,935","4,959",517,599,475,565,462,426,346,654,413,502,"5,142",180,436,378,656,646,456,634,498,311,445,274,228,"3,362",140,214,295,436,410,343,459,232,541,292,"3,472",219,247,409,337,383,356,198,291,241,170,302,319
2021년08월_여_90~99세,"3,083",947,86,100,101,106,82,84,65,122,93,108,906,36,71,61,138,104,76,115,70,54,81,72,28,538,13,34,45,66,64,52,68,50,90,56,692,60,54,67,55,78,61,35,70,53,30,65,64
2021년08월_여_100세 이상,161,47,7,6,3,3,1,5,4,1,1,16,47,1,8,3,10,4,3,3,3,2,5,3,2,34,2,4,4,3,4,2,6,1,5,3,33,3,4,3,2,3,4,2,1,2,3,2,4
