,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2021년05월_계_총인구수,"399,222","22,649","31,003","28,774","26,968","15,953","18,227","32,269","16,239","23,339","9,958","34,901","12,899","8,803","16,305","14,051","23,695","38,142","25,047"
2021년05월_계_연령구간인구수,"399,222","22,649","31,003","28,774","26,968","15,953","18,227","32,269","16,239","23,339","9,958","34,901","12,899","8,803","16,305","14,051","23,695","38,142","25,047"
2021년05월_계_0~9세,"27,921","1,245","2,868","2,907","2,079","1,237","1,234","2,034","1,062","1,745",507,"2,559",475,240,"1,251",362,882,"3,968","1,266"
2021년05월_계_10~19세,"37,464","1,551","3,111","3,115","2,472","1,181","1,997","2,852","1,799","2,946",499,"4,176",620,504,"1,546",744,"1,457","4,927","1,967"
2021년05월_계_20~29세,"48,048","2,963","3,462","2,801","3,376","1,686","2,793","5,066","1,919","2,942","1,159","4,128","1,433",969,"2,066","1,584","2,386","4,150","3,165"
2021년05월_계_30~39세,"46,074","2,912","3,790","3,433","3,404","2,216","2,102","4,489","1,634","2,414","1,249","3,624","1,514",806,"1,942","1,135","1,931","4,663","2,816"
2021년05월_계_40~49세,"64,989","3,382","5,278","5,028","4,605","2,736","3,218","4,944","2,512","4,006","1,340","6,122","1,712","1,125","2,612","1,698","3,083","7,755","3,833"
2021년05월_계_50~59세,"69,556","3,849","5,381","4,788","4,716","2,784","3,155","5,741","2,968","4,296","1,698","6,272","2,345","1,660","2,950","2,661","4,161","5,526","4,605"
2021년05월_계_60~69세,"59,097","3,665","3,991","3,901","3,508","2,487","1,901","3,982","2,298","2,768","1,975","4,771","2,581","1,878","2,529","2,851","5,137","4,319","4,555"
2021년05월_계_70~79세,"30,903","2,146","2,080","1,870","1,870","1,129","1,101","1,972","1,215","1,361","1,002","2,227","1,545","1,096","1,034","2,045","3,167","2,060","1,983"
2021년05월_계_80~89세,"13,365",821,896,811,826,415,648,"1,056",728,764,463,886,620,479,331,868,"1,313",681,759
2021년05월_계_90~99세,"1,733",108,142,116,94,75,75,131,103,95,65,135,52,46,42,98,174,88,94
2021년05월_계_100세 이상,72,7,4,4,18,7,3,2,1,2,1,1,2,0,2,5,4,5,4
2021년05월_남_총인구수,"192,102","10,790","14,756","13,636","12,995","7,570","8,516","14,868","7,636","11,103","4,810","17,257","6,261","4,314","8,026","7,050","11,538","18,778","12,198"
2021년05월_남_연령구간인구수,"192,102","10,790","14,756","13,636","12,995","7,570","8,516","14,868","7,636","11,103","4,810","17,257","6,261","4,314","8,026","7,050","11,538","18,778","12,198"
2021년05월_남_0~9세,"14,402",619,"1,490","1,501","1,086",598,615,"1,061",531,918,283,"1,310",230,134,647,183,460,"2,082",654
2021년05월_남_10~19세,"19,339",796,"1,588","1,557","1,284",613,"1,058","1,448",936,"1,501",271,"2,204",324,275,795,378,770,"2,534","1,007"
2021년05월_남_20~29세,"25,093","1,453","1,787","1,488","1,737",879,"1,320","2,373","1,041","1,538",629,"2,239",794,537,"1,099",899,"1,319","2,204","1,757"
2021년05월_남_30~39세,"22,517","1,456","1,733","1,474","1,623","1,048",979,"2,146",783,"1,143",669,"1,749",845,468,975,669,"1,076","2,208","1,473"
2021년05월_남_40~49세,"30,842","1,613","2,399","2,313","2,144","1,326","1,390","2,173","1,103","1,746",716,"2,853",913,598,"1,295",968,"1,681","3,672","1,939"
2021년05월_남_50~59세,"33,182","1,814","2,569","2,193","2,265","1,280","1,556","2,556","1,376","2,043",765,"3,144","1,128",826,"1,374","1,384","2,048","2,758","2,103"
2021년05월_남_60~69세,"27,904","1,686","1,864","1,865","1,678","1,163",896,"1,884","1,082","1,352",895,"2,360","1,166",840,"1,218","1,405","2,414","2,043","2,093"
2021년05월_남_70~79세,"13,644",990,953,875,822,492,444,804,491,565,422,"1,052",646,470,515,826,"1,337","1,014",926
2021년05월_남_80~89세,"4,769",336,341,336,330,149,226,387,263,273,149,318,201,158,99,319,404,247,233
2021년05월_남_90~99세,389,24,31,33,22,20,31,35,30,23,11,27,13,8,8,17,29,15,12
2021년05월_남_100세 이상,21,3,1,1,4,2,1,1,0,1,0,1,1,0,1,2,0,1,1
2021년05월_여_총인구수,"207,120","11,859","16,247","15,138","13,973","8,383","9,711","17,401","8,603","12,236","5,148","17,644","6,638","4,489","8,279","7,001","12,157","19,364","12,849"
2021년05월_여_연령구간인구수,"207,120","11,859","16,247","15,138","13,973","8,383","9,711","17,401","8,603","12,236","5,148","17,644","6,638","4,489","8,279","7,001","12,157","19,364","12,849"
2021년05월_여_0~9세,"13,519",626,"1,378","1,406",993,639,619,973,531,827,224,"1,249",245,106,604,179,422,"1,886",612
2021년05월_여_10~19세,"18,125",755,"1,523","1,558","1,188",568,939,"1,404",863,"1,445",228,"1,972",296,229,751,366,687,"2,393",960
