,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2021년10월_계_총인구수,"287,174","16,475","26,546","22,459","12,030","13,931","23,413","15,460","15,313","22,721","14,364","26,116","16,574","12,728","15,925","10,874","10,515","11,730"
2021년10월_계_연령구간인구수,"287,174","16,475","26,546","22,459","12,030","13,931","23,413","15,460","15,313","22,721","14,364","26,116","16,574","12,728","15,925","10,874","10,515","11,730"
2021년10월_계_0~9세,"19,409","1,188","2,241","1,156",402,955,"1,730","1,132","1,236","1,704","1,321","2,479",992,691,778,559,482,363
2021년10월_계_10~19세,"19,042","1,101","1,593","1,568",724,987,"2,020","1,600","1,074","1,391",923,"1,645","1,075",851,839,514,551,586
2021년10월_계_20~29세,"43,902","2,420","4,221","4,255","4,794","2,221","2,872","1,728","1,721","2,744","1,446","2,789","2,540","2,029","2,217","1,931","1,684","2,290"
2021년10월_계_30~39세,"47,088","2,860","4,554","3,222","1,594","2,250","3,530","2,166","2,573","4,039","2,584","4,861","2,871","2,296","2,502","1,889","1,593","1,704"
2021년10월_계_40~49세,"43,487","2,496","3,983","2,932","1,119","2,123","3,852","2,854","2,525","3,647","2,556","4,470","2,343","1,933","2,148","1,416","1,492","1,598"
2021년10월_계_50~59세,"46,315","2,674","4,358","3,629","1,302","2,245","3,941","2,474","2,328","3,632","2,088","3,858","3,072","1,992","2,954","1,764","1,922","2,082"
2021년10월_계_60~69세,"37,664","2,106","3,132","3,109",987,"1,715","2,873","1,748","2,160","3,024","1,863","3,384","2,286","1,668","2,708","1,556","1,694","1,651"
2021년10월_계_70~79세,"20,145","1,119","1,587","1,714",730,970,"1,752","1,140","1,100","1,665","1,066","1,714",945,871,"1,223",825,750,974
2021년10월_계_80~89세,"8,914",450,768,761,335,398,748,556,536,767,456,785,396,356,494,369,303,436
2021년10월_계_90~99세,"1,146",59,108,108,36,62,92,61,58,101,57,123,50,40,56,48,43,44
2021년10월_계_100세 이상,62,2,1,5,7,5,3,1,2,7,4,8,4,1,6,3,1,2
2021년10월_남_총인구수,"139,958","7,978","12,597","11,079","6,195","6,717","10,958","7,354","7,296","10,820","6,847","12,146","8,278","6,242","8,324","5,481","5,553","6,093"
