카테고리,부산광역시 기장군,부산광역시 기장군 기장읍,부산광역시 기장군 장안읍,부산광역시 기장군 정관읍,부산광역시 기장군 일광면,부산광역시 기장군 철마면
2020년10월_계_총인구수,"173,167","53,196","8,677","81,888","21,350","8,056"
2020년10월_계_연령구간인구수,"173,167","53,196","8,677","81,888","21,350","8,056"
2020년10월_계_0~9세,"19,194","3,269",416,"12,415","2,682",412
2020년10월_계_10~19세,"17,320","4,496",438,"10,510","1,443",433
2020년10월_계_20~29세,"16,875","6,356","1,018","6,641","2,116",744
2020년10월_계_30~39세,"24,952","5,609","1,060","13,604","3,987",692
2020년10월_계_40~49세,"31,936","8,437",953,"18,324","3,216","1,006"
2020년10월_계_50~59세,"23,805","9,392","1,578","8,321","3,077","1,437"
2020년10월_계_60~69세,"21,060","8,142","1,648","6,839","2,691","1,740"
2020년10월_계_70~79세,"12,176","4,936",958,"3,775","1,437","1,070"
2020년10월_계_80~89세,"5,073","2,218",512,"1,277",604,462
2020년10월_계_90~99세,732,321,86,176,91,58
2020년10월_계_100세 이상,44,20,10,6,6,2
2020년10월_남_총인구수,"85,761","25,959","4,631","40,427","10,691","4,053"
2020년10월_남_연령구간인구수,"85,761","25,959","4,631","40,427","10,691","4,053"
2020년10월_남_0~9세,"9,764","1,687",211,"6,319","1,356",191
2020년10월_남_10~19세,"9,060","2,349",253,"5,488",731,239
2020년10월_남_20~29세,"8,924","3,407",607,"3,310","1,162",438
2020년10월_남_30~39세,"12,391","2,947",622,"6,430","2,036",356
2020년10월_남_40~49세,"16,427","4,216",560,"9,408","1,681",562
2020년10월_남_50~59세,"12,008","4,643",875,"4,254","1,510",726
2020년10월_남_60~69세,"9,798","3,814",849,"2,989","1,323",823
2020년10월_남_70~79세,"5,538","2,071",476,"1,765",681,545
2020년10월_남_80~89세,"1,716",772,152,439,192,161
2020년10월_남_90~99세,128,51,21,25,19,12
2020년10월_남_100세 이상,7,2,5,0,0,0
2020년10월_여_총인구수,"87,406","27,237","4,046","41,461","10,659","4,003"
2020년10월_여_연령구간인구수,"87,406","27,237","4,046","41,461","10,659","4,003"
2020년10월_여_0~9세,"9,430","1,582",205,"6,096","1,326",221
2020년10월_여_10~19세,"8,260","2,147",185,"5,022",712,194
2020년10월_여_20~29세,"7,951","2,949",411,"3,331",954,306
2020년10월_여_30~39세,"12,561","2,662",438,"7,174","1,951",336
2020년10월_여_40~49세,"15,509","4,221",393,"8,916","1,535",444
2020년10월_여_50~59세,"11,797","4,749",703,"4,067","1,567",711
2020년10월_여_60~69세,"11,262","4,328",799,"3,850","1,368",917
2020년10월_여_70~79세,"6,638","2,865",482,"2,010",756,525
2020년10월_여_80~89세,"3,357","1,446",360,838,412,301
2020년10월_여_90~99세,604,270,65,151,72,46
2020년10월_여_100세 이상,37,18,5,6,6,2
