카테고리,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2020년11월_계_총인구수,"31,623","9,751",503,"3,972","8,227","5,047","2,590","1,533"
2020년11월_계_연령구간인구수,"31,623","9,751",503,"3,972","8,227","5,047","2,590","1,533"
2020년11월_계_0~9세,"2,512",901,18,335,601,402,209,46
2020년11월_계_10~19세,"2,315",847,29,266,619,331,141,82
2020년11월_계_20~29세,"4,016","1,218",30,520,"1,040",557,522,129
2020년11월_계_30~39세,"3,890","1,313",28,550,894,653,371,81
2020년11월_계_40~49세,"4,001","1,403",62,406,"1,083",629,257,161
2020년11월_계_50~59세,"5,287","1,528",116,607,"1,486",881,343,326
2020년11월_계_60~69세,"5,146","1,374",110,700,"1,337",867,379,379
2020년11월_계_70~79세,"2,690",718,74,328,703,427,233,207
2020년11월_계_80~89세,"1,499",376,33,223,395,253,119,100
2020년11월_계_90~99세,252,66,3,37,65,45,16,20
2020년11월_계_100세 이상,15,7,0,0,4,2,0,2
2020년11월_남_총인구수,"17,044","5,107",268,"2,138","4,427","2,731","1,526",847
2020년11월_남_연령구간인구수,"17,044","5,107",268,"2,138","4,427","2,731","1,526",847
2020년11월_남_0~9세,"1,278",453,8,169,299,209,114,26
2020년11월_남_10~19세,"1,209",452,14,134,330,162,71,46
2020년11월_남_20~29세,"2,650",744,20,352,673,364,405,92
2020년11월_남_30~39세,"2,224",703,19,322,499,386,239,56
2020년11월_남_40~49세,"2,233",764,36,223,608,357,152,93
2020년11월_남_50~59세,"2,802",792,63,320,795,456,198,178
2020년11월_남_60~69세,"2,771",706,57,378,742,490,188,210
2020년11월_남_70~79세,"1,284",343,39,158,320,207,113,104
2020년11월_남_80~89세,522,133,11,72,141,89,42,34
2020년11월_남_90~99세,65,14,1,10,18,10,4,8
2020년11월_남_100세 이상,6,3,0,0,2,1,0,0
2020년11월_여_총인구수,"14,579","4,644",235,"1,834","3,800","2,316","1,064",686
2020년11월_여_연령구간인구수,"14,579","4,644",235,"1,834","3,800","2,316","1,064",686
2020년11월_여_0~9세,"1,234",448,10,166,302,193,95,20
2020년11월_여_10~19세,"1,106",395,15,132,289,169,70,36
2020년11월_여_20~29세,"1,366",474,10,168,367,193,117,37
2020년11월_여_30~39세,"1,666",610,9,228,395,267,132,25
2020년11월_여_40~49세,"1,768",639,26,183,475,272,105,68
2020년11월_여_50~59세,"2,485",736,53,287,691,425,145,148
2020년11월_여_60~69세,"2,375",668,53,322,595,377,191,169
2020년11월_여_70~79세,"1,406",375,35,170,383,220,120,103
2020년11월_여_80~89세,977,243,22,151,254,164,77,66
2020년11월_여_90~99세,187,52,2,27,47,35,12,12
2020년11월_여_100세 이상,9,4,0,0,2,1,0,2
