,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2020년04월_계_총인구수,"405,268","23,462","31,288","28,539","24,414","15,921","18,456","32,572","16,825","23,903","10,181","35,655","13,666","9,335","16,602","14,908","24,861","38,312","26,368"
2020년04월_계_연령구간인구수,"405,268","23,462","31,288","28,539","24,414","15,921","18,456","32,572","16,825","23,903","10,181","35,655","13,666","9,335","16,602","14,908","24,861","38,312","26,368"
2020년04월_계_0~9세,"29,397","1,361","2,889","2,809","1,781","1,258","1,322","2,233","1,205","1,816",557,"2,738",547,306,"1,346",423,"1,032","4,263","1,511"
2020년04월_계_10~19세,"39,189","1,663","3,230","3,161","2,234","1,150","2,170","2,990","1,902","3,178",551,"4,367",770,581,"1,603",893,"1,659","4,936","2,151"
2020년04월_계_20~29세,"49,987","3,113","3,583","2,996","3,120","1,785","2,815","5,171","2,053","3,130","1,256","4,255","1,601","1,066","2,250","1,749","2,591","4,108","3,345"
2020년04월_계_30~39세,"48,069","3,077","3,939","3,453","2,938","2,265","2,150","4,576","1,829","2,440","1,355","3,781","1,636",881,"2,115","1,244","2,172","5,038","3,180"
2020년04월_계_40~49세,"66,978","3,578","5,399","4,947","4,209","2,694","3,376","5,178","2,639","4,264","1,359","6,471","1,884","1,225","2,643","1,922","3,393","7,764","4,033"
2020년04월_계_50~59세,"71,124","3,989","5,405","4,851","4,297","2,821","3,151","5,798","3,097","4,385","1,797","6,318","2,548","1,843","3,067","2,856","4,522","5,437","4,942"
2020년04월_계_60~69세,"55,922","3,596","3,775","3,628","3,194","2,376","1,760","3,573","2,116","2,541","1,839","4,530","2,500","1,830","2,294","2,818","5,014","4,089","4,449"
2020년04월_계_70~79세,"30,333","2,172","2,067","1,835","1,787","1,110","1,023","1,942","1,206","1,352",971,"2,173","1,536","1,125",948,"2,083","3,098","1,947","1,958"
2020년04월_계_80~89세,"12,451",779,851,741,753,400,605,999,690,705,433,889,569,420,291,786,"1,199",636,705
2020년04월_계_90~99세,"1,661",107,143,116,86,54,82,111,88,92,59,130,60,52,43,107,156,88,87
2020년04월_계_100세 이상,157,27,7,2,15,8,2,1,0,0,4,3,15,6,2,27,25,6,7
2020년04월_남_총인구수,"195,412","11,228","14,968","13,445","11,782","7,597","8,646","15,045","7,944","11,425","4,920","17,710","6,663","4,558","8,204","7,500","12,118","18,825","12,834"
2020년04월_남_연령구간인구수,"195,412","11,228","14,968","13,445","11,782","7,597","8,646","15,045","7,944","11,425","4,920","17,710","6,663","4,558","8,204","7,500","12,118","18,825","12,834"
2020년04월_남_0~9세,"15,292",675,"1,514","1,444",937,646,673,"1,139",609,972,304,"1,441",282,162,698,216,535,"2,262",783
2020년04월_남_10~19세,"20,212",847,"1,653","1,576","1,159",581,"1,152","1,560",993,"1,604",294,"2,283",397,299,814,481,855,"2,565","1,099"
2020년04월_남_20~29세,"26,138","1,554","1,884","1,563","1,612",925,"1,332","2,423","1,099","1,668",678,"2,323",876,572,"1,232",975,"1,449","2,134","1,839"
2020년04월_남_30~39세,"23,430","1,527","1,794","1,476","1,429","1,110",973,"2,125",875,"1,139",724,"1,827",913,509,"1,069",723,"1,219","2,335","1,663"
2020년04월_남_40~49세,"31,798","1,725","2,483","2,229","1,957","1,298","1,471","2,270","1,157","1,882",721,"3,032",991,659,"1,268","1,095","1,849","3,722","1,989"
2020년04월_남_50~59세,"33,854","1,875","2,568","2,233","2,071","1,272","1,547","2,626","1,456","2,080",791,"3,178","1,233",894,"1,438","1,471","2,200","2,675","2,246"
2020년04월_남_60~69세,"26,515","1,667","1,770","1,736","1,516","1,125",852,"1,701",990,"1,246",851,"2,258","1,129",813,"1,141","1,373","2,339","1,929","2,079"
2020년04월_남_70~79세,"13,358","1,005",946,860,779,484,389,803,494,568,411,"1,018",644,494,461,855,"1,292",955,900
2020년04월_남_80~89세,"4,401",324,322,297,293,139,224,372,240,245,138,317,183,142,75,283,348,234,225
2020년04월_남_90~99세,372,22,32,31,26,15,32,26,31,21,8,30,13,12,7,18,26,12,10
2020년04월_남_100세 이상,42,7,2,0,3,2,1,0,0,0,0,3,2,2,1,10,6,2,1
2020년04월_여_총인구수,"209,856","12,234","16,320","15,094","12,632","8,324","9,810","17,527","8,881","12,478","5,261","17,945","7,003","4,777","8,398","7,408","12,743","19,487","13,534"
2020년04월_여_연령구간인구수,"209,856","12,234","16,320","15,094","12,632","8,324","9,810","17,527","8,881","12,478","5,261","17,945","7,003","4,777","8,398","7,408","12,743","19,487","13,534"
2020년04월_여_0~9세,"14,105",686,"1,375","1,365",844,612,649,"1,094",596,844,253,"1,297",265,144,648,207,497,"2,001",728
2020년04월_여_10~19세,"18,977",816,"1,577","1,585","1,075",569,"1,018","1,430",909,"1,574",257,"2,084",373,282,789,412,804,"2,371","1,052"
2020년04월_여_20~29세,"23,849","1,559","1,699","1,433","1,508",860,"1,483","2,748",954,"1,462",578,"1,932",725,494,"1,018",774,"1,142","1,974","1,506"
2020년04월_여_30~39세,"24,639","1,550","2,145","1,977","1,509","1,155","1,177","2,451",954,"1,301",631,"1,954",723,372,"1,046",521,953,"2,703","1,517"
2020년04월_여_40~49세,"35,180","1,853","2,916","2,718","2,252","1,396","1,905","2,908","1,482","2,382",638,"3,439",893,566,"1,375",827,"1,544","4,042","2,044"
2020년04월_여_50~59세,"37,270","2,114","2,837","2,618","2,226","1,549","1,604","3,172","1,641","2,305","1,006","3,140","1,315",949,"1,629","1,385","2,322","2,762","2,696"
2020년04월_여_60~69세,"29,407","1,929","2,005","1,892","1,678","1,251",908,"1,872","1,126","1,295",988,"2,272","1,371","1,017","1,153","1,445","2,675","2,160","2,370"
2020년04월_여_70~79세,"16,975","1,167","1,121",975,"1,008",626,634,"1,139",712,784,560,"1,155",892,631,487,"1,228","1,806",992,"1,058"
2020년04월_여_80~89세,"8,050",455,529,444,460,261,381,627,450,460,295,572,386,278,216,503,851,402,480
2020년04월_여_90~99세,"1,289",85,111,85,60,39,50,85,57,71,51,100,47,40,36,89,130,76,77
2020년04월_여_100세 이상,115,20,5,2,12,6,1,1,0,0,4,0,13,4,1,17,19,4,6
