,전라남도 장흥군,전라남도 장흥군 장흥읍,전라남도 장흥군 관산읍,전라남도 장흥군 대덕읍,전라남도 장흥군 용산면,전라남도 장흥군 안양면,전라남도 장흥군 장동면,전라남도 장흥군 장평면,전라남도 장흥군 유치면,전라남도 장흥군 부산면,전라남도 장흥군 회진면
2021년08월_계_총인구수,"36,876","15,061","4,859","3,324","2,307","2,813","1,226","2,071","1,054","1,416","2,745"
2021년08월_계_연령구간인구수,"36,876","15,061","4,859","3,324","2,307","2,813","1,226","2,071","1,054","1,416","2,745"
2021년08월_계_0~9세,"1,885","1,236",149,129,76,78,31,35,13,35,103
2021년08월_계_10~19세,"2,644","1,533",280,199,111,124,46,94,30,67,160
2021년08월_계_20~29세,"2,945","1,559",318,204,126,194,63,136,60,87,198
2021년08월_계_30~39세,"2,591","1,473",266,175,130,155,62,86,47,51,146
2021년08월_계_40~49세,"3,890","2,043",395,308,192,250,87,147,90,125,253
2021년08월_계_50~59세,"6,164","2,442",820,563,342,485,207,369,236,251,449
2021년08월_계_60~69세,"6,723","2,208","1,007",684,518,581,272,393,256,246,558
2021년08월_계_70~79세,"5,352","1,477",873,560,400,477,205,396,175,257,532
2021년08월_계_80~89세,"3,988",913,645,431,338,379,226,371,124,244,317
2021년08월_계_90~99세,669,165,102,70,71,89,25,43,23,52,29
2021년08월_계_100세 이상,25,12,4,1,3,1,2,1,0,1,0
2021년08월_남_총인구수,"17,931","7,345","2,361","1,598","1,118","1,368",591,983,532,698,"1,337"
2021년08월_남_연령구간인구수,"17,931","7,345","2,361","1,598","1,118","1,368",591,983,532,698,"1,337"
2021년08월_남_0~9세,939,604,83,49,42,49,12,18,3,22,57
2021년08월_남_10~19세,"1,403",804,158,102,61,72,24,43,18,32,89
2021년08월_남_20~29세,"1,663",858,183,115,81,110,32,80,35,48,121
2021년08월_남_30~39세,"1,372",729,146,95,80,95,36,51,30,27,83
2021년08월_남_40~49세,"2,143","1,028",227,193,118,144,57,99,54,73,150
2021년08월_남_50~59세,"3,389","1,292",447,321,190,276,126,209,141,156,231
2021년08월_남_60~69세,"3,345","1,061",517,342,273,293,139,203,131,131,255
2021년08월_남_70~79세,"2,293",644,362,234,167,208,93,161,78,109,237
2021년08월_남_80~89세,"1,254",295,214,132,94,107,66,110,36,90,110
2021년08월_남_90~99세,125,28,23,15,12,14,5,9,6,9,4
2021년08월_남_100세 이상,5,2,1,0,0,0,1,0,0,1,0
2021년08월_여_총인구수,"18,945","7,716","2,498","1,726","1,189","1,445",635,"1,088",522,718,"1,408"
2021년08월_여_연령구간인구수,"18,945","7,716","2,498","1,726","1,189","1,445",635,"1,088",522,718,"1,408"
2021년08월_여_0~9세,946,632,66,80,34,29,19,17,10,13,46
2021년08월_여_10~19세,"1,241",729,122,97,50,52,22,51,12,35,71
2021년08월_여_20~29세,"1,282",701,135,89,45,84,31,56,25,39,77
2021년08월_여_30~39세,"1,219",744,120,80,50,60,26,35,17,24,63
2021년08월_여_40~49세,"1,747","1,015",168,115,74,106,30,48,36,52,103
2021년08월_여_50~59세,"2,775","1,150",373,242,152,209,81,160,95,95,218
2021년08월_여_60~69세,"3,378","1,147",490,342,245,288,133,190,125,115,303
2021년08월_여_70~79세,"3,059",833,511,326,233,269,112,235,97,148,295
2021년08월_여_80~89세,"2,734",618,431,299,244,272,160,261,88,154,207
2021년08월_여_90~99세,544,137,79,55,59,75,20,34,17,43,25
2021년08월_여_100세 이상,20,10,3,1,3,1,1,1,0,0,0
