,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2020년05월_계_총인구수,"50,245","18,346","3,760","4,447",786,"3,315","3,485","4,314","2,376","2,096",230,"2,570",993,"2,696",831
2020년05월_계_연령구간인구수,"50,245","18,346","3,760","4,447",786,"3,315","3,485","4,314","2,376","2,096",230,"2,570",993,"2,696",831
2020년05월_계_0~9세,"3,273","1,495",213,352,45,109,138,211,126,69,10,149,38,276,42
2020년05월_계_10~19세,"3,703","1,779",194,377,52,139,223,263,103,103,8,156,59,213,34
2020년05월_계_20~29세,"3,791","1,819",234,284,42,203,216,278,132,132,10,158,63,161,59
2020년05월_계_30~39세,"4,252","1,904",295,418,80,200,212,278,133,142,7,187,59,275,62
2020년05월_계_40~49세,"6,279","2,730",443,568,118,345,415,429,225,173,30,290,98,324,91
2020년05월_계_50~59세,"8,272","3,159",604,701,128,551,597,620,388,374,33,359,174,430,154
2020년05월_계_60~69세,"8,345","2,695",731,599,158,703,620,727,482,405,34,455,164,436,136
2020년05월_계_70~79세,"7,459","1,805",634,652,123,644,618,889,483,372,51,489,186,355,158
2020년05월_계_80~89세,"4,305",840,361,440,35,369,400,549,273,285,40,296,131,205,81
2020년05월_계_90~99세,543,111,49,55,3,50,45,68,31,40,6,30,21,21,13
2020년05월_계_100세 이상,23,9,2,1,2,2,1,2,0,1,1,1,0,0,1
2020년05월_남_총인구수,"25,267","9,256","1,913","2,230",430,"1,653","1,787","2,089","1,202","1,030",118,"1,268",493,"1,362",436
2020년05월_남_연령구간인구수,"25,267","9,256","1,913","2,230",430,"1,653","1,787","2,089","1,202","1,030",118,"1,268",493,"1,362",436
2020년05월_남_0~9세,"1,683",797,105,167,22,61,63,104,81,29,8,70,18,137,21
2020년05월_남_10~19세,"1,904",906,97,203,28,69,120,129,45,54,4,74,36,115,24
2020년05월_남_20~29세,"2,232","1,051",136,171,30,107,141,163,81,86,9,99,40,89,29
2020년05월_남_30~39세,"2,339",969,179,235,51,135,117,154,74,95,3,109,32,145,41
2020년05월_남_40~49세,"3,691","1,440",299,342,82,211,270,250,150,100,22,194,61,201,69
2020년05월_남_50~59세,"4,529","1,656",342,386,72,304,345,354,224,215,18,202,100,228,83
2020년05월_남_60~69세,"4,139","1,307",376,309,73,343,314,356,234,206,21,217,85,232,66
2020년05월_남_70~79세,"3,268",831,269,270,62,304,265,374,213,145,22,201,80,157,75
2020년05월_남_80~89세,"1,382",279,103,138,10,112,142,193,92,90,11,95,36,54,27
2020년05월_남_90~99세,97,19,7,9,0,7,10,12,8,9,0,6,5,4,1
2020년05월_남_100세 이상,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2020년05월_여_총인구수,"24,978","9,090","1,847","2,217",356,"1,662","1,698","2,225","1,174","1,066",112,"1,302",500,"1,334",395
2020년05월_여_연령구간인구수,"24,978","9,090","1,847","2,217",356,"1,662","1,698","2,225","1,174","1,066",112,"1,302",500,"1,334",395
2020년05월_여_0~9세,"1,590",698,108,185,23,48,75,107,45,40,2,79,20,139,21
2020년05월_여_10~19세,"1,799",873,97,174,24,70,103,134,58,49,4,82,23,98,10
2020년05월_여_20~29세,"1,559",768,98,113,12,96,75,115,51,46,1,59,23,72,30
2020년05월_여_30~39세,"1,913",935,116,183,29,65,95,124,59,47,4,78,27,130,21
2020년05월_여_40~49세,"2,588","1,290",144,226,36,134,145,179,75,73,8,96,37,123,22
2020년05월_여_50~59세,"3,743","1,503",262,315,56,247,252,266,164,159,15,157,74,202,71
2020년05월_여_60~69세,"4,206","1,388",355,290,85,360,306,371,248,199,13,238,79,204,70
2020년05월_여_70~79세,"4,191",974,365,382,61,340,353,515,270,227,29,288,106,198,83
2020년05월_여_80~89세,"2,923",561,258,302,25,257,258,356,181,195,29,201,95,151,54
2020년05월_여_90~99세,446,92,42,46,3,43,35,56,23,31,6,24,16,17,12
2020년05월_여_100세 이상,20,8,2,1,2,2,1,2,0,0,1,0,0,0,1
