카테고리,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2021년03월_계_총인구수,"266,959","3,163","4,753","3,423","2,668","2,551","4,982","2,968","2,886","2,213","3,395","2,993","2,374","5,422","7,132","5,643","4,449","12,769","22,274","7,470","7,984","2,858","55,474","12,595","23,643","32,179","16,824","11,874"
2021년03월_계_연령구간인구수,"266,959","3,163","4,753","3,423","2,668","2,551","4,982","2,968","2,886","2,213","3,395","2,993","2,374","5,422","7,132","5,643","4,449","12,769","22,274","7,470","7,984","2,858","55,474","12,595","23,643","32,179","16,824","11,874"
2021년03월_계_0~9세,"20,503",83,580,180,60,75,141,75,94,51,92,115,114,182,354,154,242,"1,067","2,540",383,494,172,"6,632",635,"1,662","2,541","1,111",674
2021년03월_계_10~19세,"26,568",119,378,335,107,105,229,152,134,96,172,150,137,381,590,330,206,"1,117","2,081",492,683,244,"7,739","1,115","2,878","4,159","1,618",821
2021년03월_계_20~29세,"29,521",250,369,239,228,153,339,253,247,132,314,261,165,437,794,582,435,"1,359","2,540",708,"1,089",302,"6,615","1,572","2,892","4,186","1,870","1,190"
2021년03월_계_30~39세,"30,076",183,730,213,150,157,340,182,177,129,271,194,190,444,554,400,627,"1,664","3,724",739,937,249,"7,484","1,249","2,130","3,507","2,030","1,422"
2021년03월_계_40~49세,"43,217",311,724,473,238,249,507,286,264,221,475,356,275,689,946,592,588,"1,937","3,647","1,076","1,081",351,"10,997","1,788","3,844","6,038","3,167","2,097"
2021년03월_계_50~59세,"43,999",585,683,554,467,420,797,569,561,372,734,457,367,913,"1,090",931,671,"2,038","3,075","1,230","1,457",475,"8,061","2,394","4,157","5,554","3,125","2,262"
2021년03월_계_60~69세,"38,126",693,634,594,653,605,"1,145",684,650,506,728,607,493,"1,148","1,339","1,161",790,"1,831","2,634","1,418","1,329",511,"4,670","2,197","3,385","3,539","2,321","1,861"
2021년03월_계_70~79세,"23,059",546,389,469,426,410,869,475,461,410,423,541,452,832,"1,020",988,624,"1,233","1,426","1,018",647,353,"2,257","1,159","1,712","1,800","1,105","1,014"
2021년03월_계_80~89세,"10,243",332,221,311,274,305,512,254,249,252,161,269,157,351,402,445,227,469,517,355,225,174,882,419,857,758,390,475
2021년03월_계_90~99세,"1,586",60,44,55,60,66,96,34,47,41,23,41,23,44,43,59,36,54,86,51,42,25,133,66,123,95,84,55
2021년03월_계_100세 이상,61,1,1,0,5,6,7,4,2,3,2,2,1,1,0,1,3,0,4,0,0,2,4,1,3,2,3,3
2021년03월_남_총인구수,"134,952","1,635","2,420","1,749","1,364","1,278","2,462","1,520","1,450","1,158","1,898","1,526","1,163","2,696","3,557","2,751","2,256","6,426","11,311","3,751","4,005","1,460","27,677","6,289","11,431","16,046","9,194","6,479"
2021년03월_남_연령구간인구수,"134,952","1,635","2,420","1,749","1,364","1,278","2,462","1,520","1,450","1,158","1,898","1,526","1,163","2,696","3,557","2,751","2,256","6,426","11,311","3,751","4,005","1,460","27,677","6,289","11,431","16,046","9,194","6,479"
2021년03월_남_0~9세,"10,441",41,293,88,36,44,69,37,39,30,45,62,57,95,185,81,136,565,"1,284",196,241,82,"3,389",319,818,"1,294",576,339
2021년03월_남_10~19세,"13,730",62,187,182,59,48,132,84,62,56,94,76,69,195,299,162,109,578,"1,112",261,350,131,"4,011",609,"1,416","2,118",833,435
2021년03월_남_20~29세,"16,223",160,213,141,137,93,190,156,157,83,190,150,74,256,463,341,215,715,"1,334",379,581,187,"3,486",888,"1,589","2,273","1,076",696
2021년03월_남_30~39세,"15,728",118,364,108,91,99,190,107,89,72,176,112,95,230,290,218,361,874,"1,944",423,507,133,"3,585",678,"1,039","1,783","1,191",851
2021년03월_남_40~49세,"22,652",198,400,280,153,158,305,160,152,135,310,216,162,372,496,331,329,"1,022","1,923",613,550,181,"5,398",865,"1,811","3,002","1,836","1,294"
2021년03월_남_50~59세,"23,101",336,369,320,257,237,453,308,297,224,422,265,197,473,574,468,348,"1,063","1,577",639,690,236,"4,191","1,169","2,070","2,803","1,795","1,320"
2021년03월_남_60~69세,"18,775",340,334,314,346,312,549,359,330,267,399,297,234,551,603,546,370,860,"1,258",651,684,247,"2,301","1,082","1,634","1,710","1,240",957
2021년03월_남_70~79세,"10,450",255,182,196,198,181,383,224,224,199,202,252,210,373,486,418,295,548,686,443,313,176,"1,000",520,762,779,499,446
2021년03월_남_80~89세,"3,511",110,75,111,75,91,169,80,87,79,56,82,61,141,154,171,82,188,178,133,86,78,288,146,259,262,136,133
2021년03월_남_90~99세,331,14,3,9,12,14,21,5,13,12,4,14,3,10,7,14,10,13,15,13,3,8,27,13,33,21,12,8
2021년03월_남_100세 이상,10,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0
2021년03월_여_총인구수,"132,007","1,528","2,333","1,674","1,304","1,273","2,520","1,448","1,436","1,055","1,497","1,467","1,211","2,726","3,575","2,892","2,193","6,343","10,963","3,719","3,979","1,398","27,797","6,306","12,212","16,133","7,630","5,395"
2021년03월_여_연령구간인구수,"132,007","1,528","2,333","1,674","1,304","1,273","2,520","1,448","1,436","1,055","1,497","1,467","1,211","2,726","3,575","2,892","2,193","6,343","10,963","3,719","3,979","1,398","27,797","6,306","12,212","16,133","7,630","5,395"
2021년03월_여_0~9세,"10,062",42,287,92,24,31,72,38,55,21,47,53,57,87,169,73,106,502,"1,256",187,253,90,"3,243",316,844,"1,247",535,335
2021년03월_여_10~19세,"12,838",57,191,153,48,57,97,68,72,40,78,74,68,186,291,168,97,539,969,231,333,113,"3,728",506,"1,462","2,041",785,386
2021년03월_여_20~29세,"13,298",90,156,98,91,60,149,97,90,49,124,111,91,181,331,241,220,644,"1,206",329,508,115,"3,129",684,"1,303","1,913",794,494
2021년03월_여_30~39세,"14,348",65,366,105,59,58,150,75,88,57,95,82,95,214,264,182,266,790,"1,780",316,430,116,"3,899",571,"1,091","1,724",839,571
2021년03월_여_40~49세,"20,565",113,324,193,85,91,202,126,112,86,165,140,113,317,450,261,259,915,"1,724",463,531,170,"5,599",923,"2,033","3,036","1,331",803
