,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2020년06월_계_총인구수,"32,578","14,849","1,917","1,490","2,238","1,689","2,350","1,960",771,"1,805","1,716","1,793"
2020년06월_계_연령구간인구수,"32,578","14,849","1,917","1,490","2,238","1,689","2,350","1,960",771,"1,805","1,716","1,793"
2020년06월_계_0~9세,"1,519","1,028",36,84,50,32,67,57,27,62,36,40
2020년06월_계_10~19세,"2,146","1,332",89,76,102,57,149,92,24,65,76,84
2020년06월_계_20~29세,"2,433","1,408",116,115,98,89,157,110,33,99,104,104
2020년06월_계_30~39세,"2,287","1,321",88,151,96,76,173,110,25,70,87,90
2020년06월_계_40~49세,"3,392","1,934",172,162,175,114,207,173,58,124,122,151
2020년06월_계_50~59세,"6,003","2,687",415,255,399,267,407,360,146,345,349,373
2020년06월_계_60~69세,"6,610","2,460",470,259,547,415,508,479,227,439,388,418
2020년06월_계_70~79세,"4,572","1,546",336,212,434,344,385,297,137,315,291,275
2020년06월_계_80~89세,"3,104",987,154,148,292,263,274,232,81,247,211,215
2020년06월_계_90~99세,485,137,38,26,43,29,21,48,13,38,51,41
2020년06월_계_100세 이상,27,9,3,2,2,3,2,2,0,1,1,2
2020년06월_남_총인구수,"16,406","7,419",980,771,"1,079",817,"1,203",984,410,912,881,950
2020년06월_남_연령구간인구수,"16,406","7,419",980,771,"1,079",817,"1,203",984,410,912,881,950
2020년06월_남_0~9세,791,526,19,41,24,21,34,29,16,33,19,29
2020년06월_남_10~19세,"1,148",722,43,31,55,32,81,48,14,34,43,45
2020년06월_남_20~29세,"1,421",795,70,75,54,52,104,63,13,63,61,71
2020년06월_남_30~39세,"1,266",666,58,100,54,47,119,65,13,39,52,53
2020년06월_남_40~49세,"1,900","1,023",103,97,111,67,125,100,34,88,72,80
2020년06월_남_50~59세,"3,299","1,424",221,148,215,153,219,206,89,199,212,213
2020년06월_남_60~69세,"3,386","1,227",256,126,271,193,260,255,126,225,211,236
2020년06월_남_70~79세,"2,024",675,140,95,194,148,160,136,73,143,121,139
2020년06월_남_80~89세,"1,061",329,63,52,91,92,97,79,32,79,74,73
2020년06월_남_90~99세,109,32,6,6,10,12,4,3,0,9,16,11
2020년06월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년06월_여_총인구수,"16,172","7,430",937,719,"1,159",872,"1,147",976,361,893,835,843
2020년06월_여_연령구간인구수,"16,172","7,430",937,719,"1,159",872,"1,147",976,361,893,835,843
2020년06월_여_0~9세,728,502,17,43,26,11,33,28,11,29,17,11
2020년06월_여_10~19세,998,610,46,45,47,25,68,44,10,31,33,39
2020년06월_여_20~29세,"1,012",613,46,40,44,37,53,47,20,36,43,33
2020년06월_여_30~39세,"1,021",655,30,51,42,29,54,45,12,31,35,37
2020년06월_여_40~49세,"1,492",911,69,65,64,47,82,73,24,36,50,71
2020년06월_여_50~59세,"2,704","1,263",194,107,184,114,188,154,57,146,137,160
2020년06월_여_60~69세,"3,224","1,233",214,133,276,222,248,224,101,214,177,182
2020년06월_여_70~79세,"2,548",871,196,117,240,196,225,161,64,172,170,136
2020년06월_여_80~89세,"2,043",658,91,96,201,171,177,153,49,168,137,142
2020년06월_여_90~99세,376,105,32,20,33,17,17,45,13,29,35,30
2020년06월_여_100세 이상,26,9,2,2,2,3,2,2,0,1,1,2
