카테고리,강원도 횡성군,강원도 횡성군 횡성읍,강원도 횡성군 우천면,강원도 횡성군 안흥면,강원도 횡성군 둔내면,강원도 횡성군 갑천면,강원도 횡성군 청일면,강원도 횡성군 공근면,강원도 횡성군 서원면,강원도 횡성군 강림면
2020년02월_계_총인구수,"46,372","20,906","4,461","3,009","5,847","2,374","2,414","3,519","2,110","1,732"
2020년02월_계_연령구간인구수,"46,372","20,906","4,461","3,009","5,847","2,374","2,414","3,519","2,110","1,732"
2020년02월_계_0~9세,"2,243","1,525",132,64,252,43,35,87,67,38
2020년02월_계_10~19세,"3,557","2,074",213,456,382,91,70,131,68,72
2020년02월_계_20~29세,"3,971","2,328",381,143,412,129,136,219,132,91
2020년02월_계_30~39세,"3,636","2,173",257,130,452,126,88,201,132,77
2020년02월_계_40~49세,"5,220","3,016",427,190,659,180,175,275,155,143
2020년02월_계_50~59세,"8,975","3,637",935,594,"1,233",474,548,770,422,362
2020년02월_계_60~69세,"9,534","3,102","1,050",730,"1,293",679,688,902,592,498
2020년02월_계_70~79세,"5,626","1,840",654,428,724,397,405,547,312,319
2020년02월_계_80~89세,"3,097","1,026",355,229,383,220,229,334,197,124
2020년02월_계_90~99세,483,177,52,41,55,31,38,50,32,7
2020년02월_계_100세 이상,30,8,5,4,2,4,2,3,1,1
2020년02월_남_총인구수,"23,696","10,498","2,313","1,536","3,061","1,216","1,229","1,823","1,115",905
2020년02월_남_연령구간인구수,"23,696","10,498","2,313","1,536","3,061","1,216","1,229","1,823","1,115",905
2020년02월_남_0~9세,"1,169",795,70,34,130,22,15,44,38,21
2020년02월_남_10~19세,"1,857","1,072",103,238,211,45,43,68,34,43
2020년02월_남_20~29세,"2,221","1,249",239,85,234,67,77,131,75,64
2020년02월_남_30~39세,"1,938","1,104",140,62,263,69,51,123,82,44
2020년02월_남_40~49세,"2,874","1,612",243,103,367,105,101,170,91,82
2020년02월_남_50~59세,"4,736","1,905",505,310,656,238,290,411,228,193
2020년02월_남_60~69세,"4,968","1,561",555,392,678,367,370,477,325,243
2020년02월_남_70~79세,"2,698",787,325,220,361,206,205,278,156,160
2020년02월_남_80~89세,"1,111",363,121,83,150,89,69,108,76,52
2020년02월_남_90~99세,112,47,12,8,11,6,7,10,9,2
2020년02월_남_100세 이상,12,3,0,1,0,2,1,3,1,1
2020년02월_여_총인구수,"22,676","10,408","2,148","1,473","2,786","1,158","1,185","1,696",995,827
2020년02월_여_연령구간인구수,"22,676","10,408","2,148","1,473","2,786","1,158","1,185","1,696",995,827
2020년02월_여_0~9세,"1,074",730,62,30,122,21,20,43,29,17
2020년02월_여_10~19세,"1,700","1,002",110,218,171,46,27,63,34,29
2020년02월_여_20~29세,"1,750","1,079",142,58,178,62,59,88,57,27
2020년02월_여_30~39세,"1,698","1,069",117,68,189,57,37,78,50,33
2020년02월_여_40~49세,"2,346","1,404",184,87,292,75,74,105,64,61
2020년02월_여_50~59세,"4,239","1,732",430,284,577,236,258,359,194,169
2020년02월_여_60~69세,"4,566","1,541",495,338,615,312,318,425,267,255
2020년02월_여_70~79세,"2,928","1,053",329,208,363,191,200,269,156,159
2020년02월_여_80~89세,"1,986",663,234,146,233,131,160,226,121,72
2020년02월_여_90~99세,371,130,40,33,44,25,31,40,23,5
2020년02월_여_100세 이상,18,5,5,3,2,2,1,0,0,0
