카테고리,전라북도 진안군,전라북도 진안군 진안읍,전라북도 진안군 용담면,전라북도 진안군 안천면,전라북도 진안군 동향면,전라북도 진안군 상전면,전라북도 진안군 백운면,전라북도 진안군 성수면,전라북도 진안군 마령면,전라북도 진안군 부귀면,전라북도 진안군 정천면,전라북도 진안군 주천면
2021년09월_계_총인구수,"24,985","9,967",826,"1,084","1,354",853,"1,940","1,764","1,824","2,826","1,060","1,487"
2021년09월_계_연령구간인구수,"24,985","9,967",826,"1,084","1,354",853,"1,940","1,764","1,824","2,826","1,060","1,487"
2021년09월_계_0~9세,"1,161",631,16,40,42,32,82,66,53,116,52,31
2021년09월_계_10~19세,"1,633",840,23,80,83,39,84,77,80,208,58,61
2021년09월_계_20~29세,"1,810",892,29,65,64,40,137,119,133,187,64,80
2021년09월_계_30~39세,"1,524",777,22,43,53,55,98,92,85,183,76,40
2021년09월_계_40~49세,"2,565","1,282",63,86,105,65,181,161,137,277,93,115
2021년09월_계_50~59세,"4,397","1,657",170,189,245,159,351,293,331,550,183,269
2021년09월_계_60~69세,"5,147","1,700",240,242,316,216,426,406,367,636,247,351
2021년09월_계_70~79세,"3,779","1,240",157,182,238,134,315,313,361,395,141,303
2021년09월_계_80~89세,"2,563",828,91,132,177,107,222,206,237,230,129,204
2021년09월_계_90~99세,389,111,13,25,31,6,42,30,39,43,16,33
2021년09월_계_100세 이상,17,9,2,0,0,0,2,1,1,1,1,0
2021년09월_남_총인구수,"12,639","5,032",407,522,643,437,"1,010",889,917,"1,466",565,751
2021년09월_남_연령구간인구수,"12,639","5,032",407,522,643,437,"1,010",889,917,"1,466",565,751
2021년09월_남_0~9세,565,305,6,17,16,14,44,29,32,59,27,16
2021년09월_남_10~19세,870,435,12,39,46,17,47,43,42,113,41,35
2021년09월_남_20~29세,"1,032",499,15,40,34,24,81,66,68,114,44,47
2021년09월_남_30~39세,745,371,13,19,19,29,61,39,42,90,41,21
2021년09월_남_40~49세,"1,498",731,40,44,58,41,110,103,85,159,54,73
2021년09월_남_50~59세,"2,487",926,93,100,138,89,200,174,199,315,99,154
2021년09월_남_60~69세,"2,752",891,121,130,168,120,231,226,189,348,135,193
2021년09월_남_70~79세,"1,751",566,74,81,110,66,149,149,165,188,71,132
2021년09월_남_80~89세,850,279,30,46,46,35,80,55,85,72,50,72
2021년09월_남_90~99세,84,25,2,6,8,2,7,5,10,8,3,8
2021년09월_남_100세 이상,5,4,1,0,0,0,0,0,0,0,0,0
2021년09월_여_총인구수,"12,346","4,935",419,562,711,416,930,875,907,"1,360",495,736
2021년09월_여_연령구간인구수,"12,346","4,935",419,562,711,416,930,875,907,"1,360",495,736
2021년09월_여_0~9세,596,326,10,23,26,18,38,37,21,57,25,15
2021년09월_여_10~19세,763,405,11,41,37,22,37,34,38,95,17,26
2021년09월_여_20~29세,778,393,14,25,30,16,56,53,65,73,20,33
2021년09월_여_30~39세,779,406,9,24,34,26,37,53,43,93,35,19
2021년09월_여_40~49세,"1,067",551,23,42,47,24,71,58,52,118,39,42
2021년09월_여_50~59세,"1,910",731,77,89,107,70,151,119,132,235,84,115
2021년09월_여_60~69세,"2,395",809,119,112,148,96,195,180,178,288,112,158
2021년09월_여_70~79세,"2,028",674,83,101,128,68,166,164,196,207,70,171
2021년09월_여_80~89세,"1,713",549,61,86,131,72,142,151,152,158,79,132
2021년09월_여_90~99세,305,86,11,19,23,4,35,25,29,35,13,25
2021년09월_여_100세 이상,12,5,1,0,0,0,2,1,1,1,1,0
