,경상북도 의성군,경상북도 의성군 의성읍,경상북도 의성군 단촌면,경상북도 의성군 점곡면,경상북도 의성군 옥산면,경상북도 의성군 사곡면,경상북도 의성군 춘산면,경상북도 의성군 가음면,경상북도 의성군 금성면,경상북도 의성군 봉양면,경상북도 의성군 비안면,경상북도 의성군 구천면,경상북도 의성군 단밀면,경상북도 의성군 단북면,경상북도 의성군 안계면,경상북도 의성군 다인면,경상북도 의성군 신평면,경상북도 의성군 안평면,경상북도 의성군 안사면
2020년08월_계_총인구수,"51,940","13,532","1,941","1,619","1,830","1,566","1,479","1,471","4,333","3,927","2,563","1,821","1,785","1,810","4,601","3,856",803,"2,166",837
2020년08월_계_연령구간인구수,"51,940","13,532","1,941","1,619","1,830","1,566","1,479","1,471","4,333","3,927","2,563","1,821","1,785","1,810","4,601","3,856",803,"2,166",837
2020년08월_계_0~9세,"1,984",852,28,41,38,27,35,34,128,149,91,49,48,38,239,99,22,51,15
2020년08월_계_10~19세,"2,343","1,025",62,40,58,33,54,42,158,140,55,44,58,56,275,139,12,67,25
2020년08월_계_20~29세,"3,176","1,146",83,69,93,64,62,60,231,260,122,82,105,105,360,195,25,88,26
2020년08월_계_30~39세,"3,299","1,211",96,74,72,53,77,78,240,281,130,98,91,83,343,209,27,93,43
2020년08월_계_40~49세,"4,767","1,772",143,100,153,109,78,96,352,370,186,133,129,125,500,286,46,138,51
2020년08월_계_50~59세,"8,864","2,279",319,263,343,293,278,248,693,711,436,317,312,321,774,643,148,355,131
2020년08월_계_60~69세,"11,577","2,527",520,417,474,411,420,409,"1,011",893,633,451,371,420,836,874,166,548,196
2020년08월_계_70~79세,"9,046","1,701",382,340,356,289,257,269,881,639,502,346,351,364,737,805,195,447,185
2020년08월_계_80~89세,"6,053",876,279,255,217,245,187,207,538,421,361,269,290,272,474,537,141,336,148
2020년08월_계_90~99세,785,132,27,20,25,42,28,25,95,59,44,30,29,24,62,67,21,39,16
2020년08월_계_100세 이상,46,11,2,0,1,0,3,3,6,4,3,2,1,2,1,2,0,4,1
2020년08월_남_총인구수,"25,384","6,642",955,798,886,750,751,739,"2,146","1,900","1,240",911,871,855,"2,188","1,901",384,"1,073",394
2020년08월_남_연령구간인구수,"25,384","6,642",955,798,886,750,751,739,"2,146","1,900","1,240",911,871,855,"2,188","1,901",384,"1,073",394
2020년08월_남_0~9세,"1,044",458,20,25,25,12,14,21,74,69,39,19,25,24,119,55,10,26,9
2020년08월_남_10~19세,"1,225",544,38,18,22,19,32,18,83,77,30,26,28,28,129,75,7,35,16
2020년08월_남_20~29세,"1,828",638,53,44,48,39,42,33,137,145,74,49,67,61,204,119,15,48,12
2020년08월_남_30~39세,"1,828",623,60,51,47,28,46,46,141,152,75,58,51,47,186,126,12,54,25
2020년08월_남_40~49세,"2,802",948,101,64,94,76,44,62,212,220,122,90,81,75,269,189,25,98,32
2020년08월_남_50~59세,"4,792","1,175",181,145,186,159,144,138,375,400,235,178,174,188,411,339,87,196,81
2020년08월_남_60~69세,"5,781","1,207",256,206,236,206,237,228,524,410,323,236,181,210,404,442,92,286,97
2020년08월_남_70~79세,"3,915",741,148,158,148,131,115,111,391,282,225,157,153,137,314,351,77,203,73
2020년08월_남_80~89세,"1,987",278,96,86,74,74,69,76,180,131,108,92,106,79,143,180,51,117,47
2020년08월_남_90~99세,174,28,2,1,5,6,7,5,28,14,9,6,5,6,9,24,8,9,2
2020년08월_남_100세 이상,8,2,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0
2020년08월_여_총인구수,"26,556","6,890",986,821,944,816,728,732,"2,187","2,027","1,323",910,914,955,"2,413","1,955",419,"1,093",443
2020년08월_여_연령구간인구수,"26,556","6,890",986,821,944,816,728,732,"2,187","2,027","1,323",910,914,955,"2,413","1,955",419,"1,093",443
2020년08월_여_0~9세,940,394,8,16,13,15,21,13,54,80,52,30,23,14,120,44,12,25,6
2020년08월_여_10~19세,"1,118",481,24,22,36,14,22,24,75,63,25,18,30,28,146,64,5,32,9
2020년08월_여_20~29세,"1,348",508,30,25,45,25,20,27,94,115,48,33,38,44,156,76,10,40,14
2020년08월_여_30~39세,"1,471",588,36,23,25,25,31,32,99,129,55,40,40,36,157,83,15,39,18
2020년08월_여_40~49세,"1,965",824,42,36,59,33,34,34,140,150,64,43,48,50,231,97,21,40,19
2020년08월_여_50~59세,"4,072","1,104",138,118,157,134,134,110,318,311,201,139,138,133,363,304,61,159,50
2020년08월_여_60~69세,"5,796","1,320",264,211,238,205,183,181,487,483,310,215,190,210,432,432,74,262,99
2020년08월_여_70~79세,"5,131",960,234,182,208,158,142,158,490,357,277,189,198,227,423,454,118,244,112
2020년08월_여_80~89세,"4,066",598,183,169,143,171,118,131,358,290,253,177,184,193,331,357,90,219,101
2020년08월_여_90~99세,611,104,25,19,20,36,21,20,67,45,35,24,24,18,53,43,13,30,14
2020년08월_여_100세 이상,38,9,2,0,0,0,2,2,5,4,3,2,1,2,1,1,0,3,1
