카테고리,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 남구 구룡포읍,경상북도 포항시 남구 연일읍,경상북도 포항시 남구 오천읍,경상북도 포항시 남구 대송면,경상북도 포항시 남구 동해면,경상북도 포항시 남구 장기면,경상북도 포항시 남구 호미곶면,경상북도 포항시 남구 상대동,경상북도 포항시 남구 해도동,경상북도 포항시 남구 송도동,경상북도 포항시 남구 청림동,경상북도 포항시 남구 제철동,경상북도 포항시 남구 효곡동,경상북도 포항시 남구 대이동,경상북도 포항시 북구,경상북도 포항시 북구 흥해읍,경상북도 포항시 북구 신광면,경상북도 포항시 북구 청하면,경상북도 포항시 북구 송라면,경상북도 포항시 북구 기계면,경상북도 포항시 북구 죽장면,경상북도 포항시 북구 죽장면상옥출장소,경상북도 포항시 북구 기북면,경상북도 포항시 북구 중앙동,경상북도 포항시 북구 양학동,경상북도 포항시 북구 죽도동,경상북도 포항시 북구 용흥동,경상북도 포항시 북구 우창동,경상북도 포항시 북구 두호동,경상북도 포항시 북구 장량동,경상북도 포항시 북구 환여동
2021년06월_계_총인구수,"503,634","230,984","7,407","30,423","55,625","3,431","9,838","4,064","1,881","24,822","17,198","12,377","4,734","2,908","30,658","25,618","272,650","40,958","2,886","4,786","2,524","4,951","2,122",605,"1,315","15,590","17,030","19,884","21,995","32,373","23,054","73,070","9,507"
2021년06월_계_연령구간인구수,"503,634","230,984","7,407","30,423","55,625","3,431","9,838","4,064","1,881","24,822","17,198","12,377","4,734","2,908","30,658","25,618","272,650","40,958","2,886","4,786","2,524","4,951","2,122",605,"1,315","15,590","17,030","19,884","21,995","32,373","23,054","73,070","9,507"
2021년06월_계_0~9세,"38,447","16,923",127,"2,263","5,507",62,535,67,30,"1,101",596,414,196,149,"3,659","2,217","21,524","3,800",64,101,38,78,41,6,17,562,"1,176",774,"1,390","3,044","1,588","7,972",873
2021년06월_계_10~19세,"46,370","21,079",233,"3,617","5,877",126,762,122,70,"1,492",780,682,264,189,"3,908","2,957","25,291","3,698",79,186,88,189,56,18,41,794,"1,823",903,"1,952","3,092","2,373","8,866","1,133"
2021년06월_계_20~29세,"56,952","26,684",430,"3,537","6,741",260,952,188,90,"3,285","1,648","1,017",643,667,"3,603","3,623","30,268","4,183",177,298,153,287,58,26,54,"1,606","2,094","2,350","2,329","3,733","2,864","9,151",905
2021년06월_계_30~39세,"58,388","26,382",430,"2,974","7,992",244,959,182,82,"2,921","1,583","1,003",478,349,"3,775","3,410","32,006","4,964",124,264,105,225,66,14,59,"1,747","1,841","2,347","2,147","4,446","2,464","10,019","1,174"
2021년06월_계_40~49세,"76,958","35,623",718,"5,082","10,361",303,"1,242",289,185,"3,293","2,175","1,422",530,350,"5,295","4,378","41,335","6,280",212,450,189,368,123,36,95,"1,930","2,627","2,501","3,220","4,907","3,318","13,420","1,659"
2021년06월_계_50~59세,"89,132","40,929","1,370","5,984","8,602",658,"1,807",691,321,"4,409","3,287","2,254",807,488,"5,284","4,967","48,203","7,106",471,890,465,897,386,113,206,"2,689","3,383","3,429","4,041","5,948","4,620","12,125","1,434"
2021년06월_계_60~69세,"81,505","37,836","1,975","4,440","6,618",948,"1,864","1,007",450,"5,183","4,197","3,182",993,431,"3,852","2,696","43,669","6,155",800,"1,155",631,"1,280",620,208,376,"3,321","2,658","4,292","4,185","4,706","3,797","8,031","1,454"
2021년06월_계_70~79세,"37,610","17,544","1,309","1,733","2,611",540,"1,116",806,387,"2,451","2,221","1,719",591,198,942,920,"20,066","2,977",498,843,482,908,416,113,259,"2,020","1,023","2,366","1,914","1,692","1,438","2,466",651
2021년06월_계_80~89세,"15,990","7,030",725,713,"1,172",244,523,616,230,603,652,593,206,79,279,395,"8,960","1,553",400,517,319,621,317,58,177,808,348,803,725,705,525,880,204
2021년06월_계_90~99세,"2,213",914,86,76,136,44,74,93,35,81,57,90,24,8,58,52,"1,299",240,60,81,54,97,38,13,28,109,54,115,90,98,65,137,20
2021년06월_계_100세 이상,69,40,4,4,8,2,4,3,1,3,2,1,2,0,3,3,29,2,1,1,0,1,1,0,3,4,3,4,2,2,2,3,0
2021년06월_남_총인구수,"255,017","119,367","3,734","15,519","29,656","1,779","4,970","1,982",921,"12,848","8,830","6,214","2,579","1,734","15,586","13,015","135,650","20,558","1,433","2,363","1,226","2,409","1,057",307,642,"7,653","8,433","9,817","10,777","15,821","11,428","37,032","4,694"
