,경기도 안양시,경기도 안양시 만안구,경기도 안양시 만안구 안양1동,경기도 안양시 만안구 안양2동,경기도 안양시 만안구 안양3동,경기도 안양시 만안구 안양4동,경기도 안양시 만안구 안양5동,경기도 안양시 만안구 안양6동,경기도 안양시 만안구 안양7동,경기도 안양시 만안구 안양8동,경기도 안양시 만안구 안양9동,경기도 안양시 만안구 석수1동,경기도 안양시 만안구 석수2동,경기도 안양시 만안구 석수3동,경기도 안양시 만안구 박달1동,경기도 안양시 만안구 박달2동,경기도 안양시 동안구,경기도 안양시 동안구 비산1동,경기도 안양시 동안구 비산2동,경기도 안양시 동안구 비산3동,경기도 안양시 동안구 부흥동,경기도 안양시 동안구 달안동,경기도 안양시 동안구 관양1동,경기도 안양시 동안구 관양2동,경기도 안양시 동안구 부림동,경기도 안양시 동안구 평촌동,경기도 안양시 동안구 평안동,경기도 안양시 동안구 귀인동,경기도 안양시 동안구 호계1동,경기도 안양시 동안구 호계2동,경기도 안양시 동안구 호계3동,경기도 안양시 동안구 범계동,경기도 안양시 동안구 신촌동,경기도 안양시 동안구 갈산동
2020년11월_계_총인구수,"551,296","239,947","12,729","21,861","16,835","7,285","10,840","21,085","15,957","11,028","17,711","19,929","32,612","13,736","15,399","22,940","311,349","21,724","11,127","18,528","17,664","11,183","37,168","19,396","27,547","15,113","24,139","16,870","8,238","20,524","22,064","15,484","13,334","11,246"
2020년11월_계_연령구간인구수,"551,296","239,947","12,729","21,861","16,835","7,285","10,840","21,085","15,957","11,028","17,711","19,929","32,612","13,736","15,399","22,940","311,349","21,724","11,127","18,528","17,664","11,183","37,168","19,396","27,547","15,113","24,139","16,870","8,238","20,524","22,064","15,484","13,334","11,246"
2020년11월_계_0~9세,"39,570","15,665",934,"1,205",875,273,492,"1,162","1,783",481,"1,033","1,458","2,243",943,705,"2,078","23,905","1,818",823,972,"1,475",746,"2,152","1,255","2,380","1,392","2,465","1,415",992,"1,486","1,653","1,173",964,744
2020년11월_계_10~19세,"52,587","18,949","1,098","1,531","1,323",496,765,"1,331","1,321",715,"1,291","1,554","2,647","1,350","1,184","2,343","33,638","2,245","1,086","1,416","2,269",733,"3,021","1,466","2,444","1,701","3,781","3,441",751,"1,718","2,092","2,321","1,612","1,541"
2020년11월_계_20~29세,"77,982","34,620","1,957","3,459","2,487","1,084","1,454","3,223","2,044","1,633","2,523","2,618","4,693","1,972","2,160","3,313","43,362","2,954","1,610","2,839","2,135","1,502","5,981","3,009","3,642","2,178","2,631","1,898",956,"3,276","3,273","2,005","1,939","1,534"
2020년11월_계_30~39세,"76,611","33,051","1,878","3,016","2,209",947,"1,384","3,532","2,777","1,514","2,153","2,725","4,233","1,572","1,674","3,437","43,560","2,809","1,407","2,408","2,242","2,322","4,859","3,028","5,883","1,883","3,257","1,234","1,605","3,077","2,989","1,848","1,613","1,096"
2020년11월_계_40~49세,"88,167","35,339","2,036","3,068","2,384","1,009","1,516","3,126","2,625","1,489","2,334","3,008","4,846","2,121","2,268","3,509","52,828","3,524","1,697","2,391","3,336","1,874","5,115","2,999","5,134","2,562","5,376","4,040","1,454","2,854","3,278","3,026","2,186","1,982"
2020년11월_계_50~59세,"97,809","43,562","2,212","4,017","3,058","1,342","1,988","3,578","2,638","2,060","3,355","3,540","6,182","2,592","3,101","3,899","54,247","3,928","2,128","3,752","2,771","1,709","7,143","3,564","4,000","2,948","3,446","2,646","1,214","3,785","4,236","2,529","2,487","1,961"
2020년11월_계_60~69세,"70,503","34,305","1,540","3,239","2,685","1,080","1,794","3,007","1,723","1,879","2,894","2,917","4,464","1,891","2,394","2,798","36,198","2,807","1,459","2,872","2,020","1,280","5,233","2,344","2,448","1,493","1,879","1,252",809,"2,838","3,029","1,424","1,621","1,390"
2020년11월_계_70~79세,"31,667","16,468",737,"1,612","1,277",665,930,"1,410",721,869,"1,431","1,397","2,219",844,"1,316","1,040","15,199","1,085",633,"1,183",902,608,"2,450","1,143","1,029",569,794,587,299,998,"1,008",677,608,626
