카테고리,부산광역시 기장군,부산광역시 기장군 기장읍,부산광역시 기장군 장안읍,부산광역시 기장군 정관읍,부산광역시 기장군 일광면,부산광역시 기장군 철마면
2020년01월_계_총인구수,"164,710","55,501","8,975","82,976","8,885","8,373"
2020년01월_계_연령구간인구수,"164,710","55,501","8,975","82,976","8,885","8,373"
2020년01월_계_0~9세,"18,706","3,880",463,"13,372",500,491
2020년01월_계_10~19세,"16,747","5,004",529,"10,272",485,457
2020년01월_계_20~29세,"15,838","6,491","1,043","6,631",865,808
2020년01월_계_30~39세,"24,263","6,232","1,102","15,163",955,811
2020년01월_계_40~49세,"30,218","9,115","1,066","17,883","1,095","1,059"
2020년01월_계_50~59세,"22,397","9,620","1,620","8,111","1,542","1,504"
2020년01월_계_60~69세,"19,438","7,827","1,599","6,584","1,729","1,699"
2020년01월_계_70~79세,"11,589","4,874",951,"3,557","1,151","1,056"
2020년01월_계_80~89세,"4,797","2,138",513,"1,226",483,437
2020년01월_계_90~99세,678,302,79,170,78,49
2020년01월_계_100세 이상,39,18,10,7,2,2
2020년01월_남_총인구수,"81,621","27,080","4,799","40,957","4,547","4,238"
2020년01월_남_연령구간인구수,"81,621","27,080","4,799","40,957","4,547","4,238"
2020년01월_남_0~9세,"9,538","2,003",234,"6,797",271,233
2020년01월_남_10~19세,"8,751","2,598",301,"5,339",248,265
2020년01월_남_20~29세,"8,451","3,492",631,"3,338",527,463
2020년01월_남_30~39세,"11,970","3,239",660,"7,116",535,420
2020년01월_남_40~49세,"15,618","4,512",619,"9,288",607,592
2020년01월_남_50~59세,"11,315","4,749",891,"4,103",821,751
2020년01월_남_60~69세,"9,025","3,663",835,"2,861",847,819
2020년01월_남_70~79세,"5,240","2,050",460,"1,678",522,530
2020년01월_남_80~89세,"1,588",719,149,412,157,151
2020년01월_남_90~99세,119,54,14,25,12,14
2020년01월_남_100세 이상,6,1,5,0,0,0
2020년01월_여_총인구수,"83,089","28,421","4,176","42,019","4,338","4,135"
2020년01월_여_연령구간인구수,"83,089","28,421","4,176","42,019","4,338","4,135"
2020년01월_여_0~9세,"9,168","1,877",229,"6,575",229,258
2020년01월_여_10~19세,"7,996","2,406",228,"4,933",237,192
2020년01월_여_20~29세,"7,387","2,999",412,"3,293",338,345
2020년01월_여_30~39세,"12,293","2,993",442,"8,047",420,391
2020년01월_여_40~49세,"14,600","4,603",447,"8,595",488,467
2020년01월_여_50~59세,"11,082","4,871",729,"4,008",721,753
2020년01월_여_60~69세,"10,413","4,164",764,"3,723",882,880
2020년01월_여_70~79세,"6,349","2,824",491,"1,879",629,526
2020년01월_여_80~89세,"3,209","1,419",364,814,326,286
2020년01월_여_90~99세,559,248,65,145,66,35
2020년01월_여_100세 이상,33,17,5,7,2,2
