카테고리,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2021년03월_계_총인구수,"400,083","22,845","31,196","28,746","26,834","15,942","18,204","32,244","16,224","23,384","9,968","35,003","12,967","8,842","16,331","14,226","23,813","38,175","25,139"
2021년03월_계_연령구간인구수,"400,083","22,845","31,196","28,746","26,834","15,942","18,204","32,244","16,224","23,384","9,968","35,003","12,967","8,842","16,331","14,226","23,813","38,175","25,139"
2021년03월_계_0~9세,"28,177","1,276","2,880","2,901","2,101","1,243","1,248","2,052","1,073","1,762",514,"2,574",485,240,"1,249",371,914,"4,008","1,286"
2021년03월_계_10~19세,"37,708","1,558","3,146","3,113","2,474","1,180","2,011","2,888","1,808","2,970",502,"4,202",634,513,"1,557",755,"1,472","4,923","2,002"
2021년03월_계_20~29세,"48,354","3,002","3,486","2,830","3,391","1,698","2,802","5,054","1,921","2,982","1,162","4,139","1,433",974,"2,099","1,611","2,421","4,158","3,191"
2021년03월_계_30~39세,"46,208","2,935","3,808","3,449","3,346","2,223","2,069","4,486","1,620","2,413","1,279","3,652","1,541",797,"1,956","1,155","1,956","4,696","2,827"
2021년03월_계_40~49세,"65,291","3,426","5,335","5,023","4,603","2,755","3,229","4,965","2,505","4,031","1,321","6,176","1,720","1,143","2,605","1,731","3,115","7,760","3,848"
2021년03월_계_50~59세,"69,830","3,854","5,413","4,793","4,679","2,771","3,157","5,725","3,000","4,297","1,724","6,289","2,378","1,688","2,976","2,710","4,195","5,523","4,658"
2021년03월_계_60~69세,"58,577","3,676","3,977","3,855","3,460","2,451","1,880","3,921","2,269","2,720","1,947","4,738","2,568","1,876","2,480","2,848","5,117","4,288","4,506"
2021년03월_계_70~79세,"30,897","2,159","2,097","1,870","1,866","1,134","1,082","1,977","1,212","1,363",986,"2,225","1,538","1,090","1,036","2,070","3,154","2,049","1,989"
2021년03월_계_80~89세,"13,227",818,901,794,802,407,647,"1,044",717,750,470,868,618,480,325,867,"1,301",681,737
2021년03월_계_90~99세,"1,727",115,148,115,94,73,77,130,99,94,62,138,50,41,46,104,164,86,91
2021년03월_계_100세 이상,87,26,5,3,18,7,2,2,0,2,1,2,2,0,2,4,4,3,4
2021년03월_남_총인구수,"192,576","10,879","14,855","13,644","12,916","7,564","8,506","14,865","7,632","11,131","4,822","17,325","6,303","4,342","8,040","7,152","11,581","18,785","12,234"
2021년03월_남_연령구간인구수,"192,576","10,879","14,855","13,644","12,916","7,564","8,506","14,865","7,632","11,131","4,822","17,325","6,303","4,342","8,040","7,152","11,581","18,785","12,234"
2021년03월_남_0~9세,"14,549",639,"1,497","1,490","1,101",605,623,"1,070",531,927,286,"1,323",240,131,647,189,483,"2,108",659
2021년03월_남_10~19세,"19,453",797,"1,591","1,568","1,286",610,"1,064","1,473",940,"1,512",277,"2,212",333,276,791,388,772,"2,535","1,028"
2021년03월_남_20~29세,"25,323","1,473","1,820","1,511","1,749",895,"1,328","2,367","1,039","1,565",631,"2,258",803,541,"1,124",921,"1,322","2,199","1,777"
2021년03월_남_30~39세,"22,565","1,465","1,736","1,490","1,592","1,045",954,"2,136",782,"1,136",686,"1,772",861,464,987,683,"1,099","2,211","1,466"
2021년03월_남_40~49세,"31,002","1,636","2,427","2,318","2,128","1,335","1,402","2,181","1,104","1,770",707,"2,877",911,616,"1,288",984,"1,698","3,678","1,942"
2021년03월_남_50~59세,"33,248","1,816","2,588","2,192","2,248","1,267","1,550","2,553","1,392","2,026",769,"3,139","1,136",841,"1,387","1,406","2,061","2,755","2,122"
2021년03월_남_60~69세,"27,669","1,688","1,852","1,836","1,649","1,145",897,"1,867","1,067","1,333",884,"2,351","1,156",838,"1,196","1,404","2,399","2,032","2,075"
2021년03월_남_70~79세,"13,643",996,966,875,821,494,433,799,495,572,414,"1,051",647,471,515,841,"1,325","1,004",924
2021년03월_남_80~89세,"4,715",337,345,331,317,146,222,385,252,268,157,310,203,156,96,317,396,247,230
