,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2020년12월_계_총인구수,"63,922","12,523","9,813",622,227,"3,155","2,960","4,345","3,893","4,954","1,905","2,651","3,316","2,319","3,117","2,300","3,066","1,275","1,481"
2020년12월_계_연령구간인구수,"63,922","12,523","9,813",622,227,"3,155","2,960","4,345","3,893","4,954","1,905","2,651","3,316","2,319","3,117","2,300","3,066","1,275","1,481"
2020년12월_계_0~9세,"2,619","1,025",525,26,3,68,73,126,91,129,60,39,85,60,118,69,63,28,31
2020년12월_계_10~19세,"3,860","1,436",760,21,13,102,133,195,167,225,88,92,121,104,122,78,104,41,58
2020년12월_계_20~29세,"4,172","1,242",753,15,11,138,141,233,212,252,83,120,226,134,196,113,142,68,93
2020년12월_계_30~39세,"3,683","1,173",721,26,15,143,144,188,152,215,66,86,148,117,167,102,101,47,72
2020년12월_계_40~49세,"6,341","1,889","1,197",31,32,227,232,352,317,435,161,208,255,153,272,149,213,85,133
2020년12월_계_50~59세,"10,204","1,967","1,671",32,43,474,485,679,639,821,292,417,588,354,473,395,435,198,241
2020년12월_계_60~69세,"12,735","1,795","1,883",96,27,704,611,932,864,"1,060",419,592,717,575,680,510,633,275,362
2020년12월_계_70~79세,"11,514","1,233","1,476",192,45,728,588,946,814,"1,028",414,573,616,462,578,473,750,312,286
2020년12월_계_80~89세,"7,502",628,714,153,35,479,471,626,543,687,273,421,474,309,434,356,528,187,184
2020년12월_계_90~99세,"1,241",126,108,30,3,92,81,66,87,93,47,102,82,49,73,54,94,33,21
2020년12월_계_100세 이상,51,9,5,0,0,0,1,2,7,9,2,1,4,2,4,1,3,1,0
2020년12월_남_총인구수,"31,051","6,183","4,796",316,118,"1,569","1,415","2,106","1,875","2,375",931,"1,246","1,581","1,085","1,533","1,114","1,446",614,748
2020년12월_남_연령구간인구수,"31,051","6,183","4,796",316,118,"1,569","1,415","2,106","1,875","2,375",931,"1,246","1,581","1,085","1,533","1,114","1,446",614,748
2020년12월_남_0~9세,"1,305",510,263,11,0,34,35,65,33,62,34,17,43,27,67,37,35,13,19
2020년12월_남_10~19세,"2,068",774,397,11,5,55,65,104,75,121,41,51,72,59,68,52,59,27,32
2020년12월_남_20~29세,"2,448",716,418,5,9,96,75,142,131,154,49,77,127,83,116,72,77,44,57
2020년12월_남_30~39세,"2,006",564,379,13,11,95,94,108,97,120,35,49,86,57,100,63,65,32,38
2020년12월_남_40~49세,"3,675",950,631,17,27,164,143,213,200,268,107,143,163,88,174,102,136,57,92
2020년12월_남_50~59세,"5,658","1,036",886,17,26,298,286,375,347,465,175,231,315,200,279,221,254,110,137
2020년12월_남_60~69세,"6,332",844,916,53,13,365,331,452,427,503,214,299,371,289,332,267,319,143,194
2020년12월_남_70~79세,"4,959",564,652,109,17,291,236,404,391,430,178,245,241,186,248,197,317,127,126
2020년12월_남_80~89세,"2,326",204,235,71,10,148,134,225,160,225,85,117,138,90,121,96,167,52,48
2020년12월_남_90~99세,267,19,18,9,0,23,16,17,14,26,12,17,25,6,28,6,17,9,5
2020년12월_남_100세 이상,7,2,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
2020년12월_여_총인구수,"32,871","6,340","5,017",306,109,"1,586","1,545","2,239","2,018","2,579",974,"1,405","1,735","1,234","1,584","1,186","1,620",661,733
2020년12월_여_연령구간인구수,"32,871","6,340","5,017",306,109,"1,586","1,545","2,239","2,018","2,579",974,"1,405","1,735","1,234","1,584","1,186","1,620",661,733
2020년12월_여_0~9세,"1,314",515,262,15,3,34,38,61,58,67,26,22,42,33,51,32,28,15,12
2020년12월_여_10~19세,"1,792",662,363,10,8,47,68,91,92,104,47,41,49,45,54,26,45,14,26
2020년12월_여_20~29세,"1,724",526,335,10,2,42,66,91,81,98,34,43,99,51,80,41,65,24,36
2020년12월_여_30~39세,"1,677",609,342,13,4,48,50,80,55,95,31,37,62,60,67,39,36,15,34
2020년12월_여_40~49세,"2,666",939,566,14,5,63,89,139,117,167,54,65,92,65,98,47,77,28,41
2020년12월_여_50~59세,"4,546",931,785,15,17,176,199,304,292,356,117,186,273,154,194,174,181,88,104
2020년12월_여_60~69세,"6,403",951,967,43,14,339,280,480,437,557,205,293,346,286,348,243,314,132,168
2020년12월_여_70~79세,"6,555",669,824,83,28,437,352,542,423,598,236,328,375,276,330,276,433,185,160
2020년12월_여_80~89세,"5,176",424,479,82,25,331,337,401,383,462,188,304,336,219,313,260,361,135,136
2020년12월_여_90~99세,974,107,90,21,3,69,65,49,73,67,35,85,57,43,45,48,77,24,16
2020년12월_여_100세 이상,44,7,4,0,0,0,1,1,7,8,1,1,4,2,4,0,3,1,0
