,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2021년08월_계_총인구수,"1,597,179","847,965","193,628","193,176","267,280","193,881","209,546","132,090","32,004","50,287","46,139","36,406","84,904","37,101","92,224","28,513"
2021년08월_계_연령구간인구수,"1,597,179","847,965","193,628","193,176","267,280","193,881","209,546","132,090","32,004","50,287","46,139","36,406","84,904","37,101","92,224","28,513"
2021년08월_계_0~9세,"119,045","72,219","16,073","13,047","23,818","19,281","13,992","8,344","1,378","2,473","2,177","2,995","7,541","1,233","5,568","1,125"
2021년08월_계_10~19세,"147,072","85,008","19,752","19,610","26,347","19,299","18,537","11,421","2,046","3,800","3,235","3,363","8,398","1,898","7,467","1,899"
2021년08월_계_20~29세,"196,158","119,532","24,657","28,170","40,802","25,903","23,941","14,515","2,291","4,216","3,991","4,416","9,291","2,655","9,224","2,086"
2021년08월_계_30~39세,"191,827","118,061","23,458","22,187","41,387","31,029","23,070","12,584","2,047","3,753","3,049","4,454","11,445","2,271","9,229","1,864"
2021년08월_계_40~49세,"237,631","135,849","30,492","29,971","43,140","32,246","30,241","17,876","3,192","6,104","5,015","5,496","13,717","3,640","13,379","3,122"
2021년08월_계_50~59세,"269,862","137,285","33,286","33,641","42,883","27,475","37,012","23,514","5,638","8,763","8,076","6,009","13,767","7,008","17,380","5,410"
2021년08월_계_60~69세,"237,954","104,235","25,963","26,744","29,718","21,810","33,842","24,045","7,245","10,367","9,690","5,272","11,152","9,137","16,279","6,690"
2021년08월_계_70~79세,"119,892","47,650","12,388","12,547","12,298","10,417","17,194","12,343","4,494","6,342","6,390","2,681","5,524","5,320","8,135","3,819"
2021년08월_계_80~89세,"68,024","24,548","6,541","6,341","6,035","5,631","10,349","6,563","3,161","3,846","3,970","1,537","3,577","3,459","4,817","2,197"
2021년08월_계_90~99세,"9,396","3,463",987,894,832,750,"1,335",825,498,610,532,179,479,462,726,287
2021년08월_계_100세 이상,318,115,31,24,20,40,33,60,14,13,14,4,13,18,20,14
2021년08월_남_총인구수,"810,095","427,378","96,217","95,937","135,590","99,634","106,027","66,375","16,126","25,333","23,006","18,984","44,558","19,060","48,801","14,447"
2021년08월_남_연령구간인구수,"810,095","427,378","96,217","95,937","135,590","99,634","106,027","66,375","16,126","25,333","23,006","18,984","44,558","19,060","48,801","14,447"
2021년08월_남_0~9세,"60,798","36,816","8,155","6,651","12,143","9,867","7,049","4,285",707,"1,270","1,107","1,563","3,889",623,"2,897",592
2021년08월_남_10~19세,"76,412","44,083","10,241","10,179","13,647","10,016","9,634","5,918","1,082","2,021","1,682","1,760","4,352",969,"3,894","1,017"
2021년08월_남_20~29세,"109,105","65,099","13,285","15,297","22,073","14,444","13,787","8,106","1,363","2,401","2,262","2,611","5,379","1,563","5,321","1,213"
2021년08월_남_30~39세,"102,194","62,064","12,007","11,519","21,789","16,749","12,525","6,646","1,113","1,934","1,619","2,468","6,322","1,303","5,197","1,003"
