카테고리,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2020년05월_계_총인구수,"117,812","8,532","13,913","4,207","4,348","3,052","3,650","3,609","6,168","2,470","6,453","3,510","4,018","2,290","34,905","16,687"
2020년05월_계_연령구간인구수,"117,812","8,532","13,913","4,207","4,348","3,052","3,650","3,609","6,168","2,470","6,453","3,510","4,018","2,290","34,905","16,687"
2020년05월_계_0~9세,"7,510",382,931,112,123,123,83,84,202,62,418,65,107,55,"3,409","1,354"
2020년05월_계_10~19세,"10,030",714,"1,125",183,251,151,174,173,327,103,427,139,220,149,"3,970","1,924"
2020년05월_계_20~29세,"11,666",738,"1,356",312,308,210,230,277,403,119,472,231,448,146,"4,540","1,876"
2020년05월_계_30~39세,"11,099",595,"1,327",248,260,227,226,210,361,123,565,182,253,133,"4,701","1,688"
2020년05월_계_40~49세,"15,792","1,015","1,728",384,437,314,424,372,595,247,692,320,460,224,"5,878","2,702"
2020년05월_계_50~59세,"20,093","1,551","2,290",714,804,493,695,716,"1,227",440,"1,100",612,755,379,"5,389","2,928"
2020년05월_계_60~69세,"19,434","1,626","2,339",927,950,638,830,790,"1,422",608,"1,156",865,791,524,"3,804","2,164"
2020년05월_계_70~79세,"12,885","1,140","1,599",728,690,496,546,562,942,438,899,621,538,375,"2,033","1,278"
2020년05월_계_80~89세,"8,057",644,"1,057",540,479,348,388,367,590,274,624,408,378,255,"1,022",683
2020년05월_계_90~99세,"1,158",111,152,58,44,48,49,54,93,50,95,63,63,47,146,85
2020년05월_계_100세 이상,88,16,9,1,2,4,5,4,6,6,5,4,5,3,13,5
2020년05월_남_총인구수,"58,911","4,149","6,934","2,127","2,206","1,543","1,825","1,856","3,217","1,258","3,274","1,782","2,132","1,103","17,381","8,124"
2020년05월_남_연령구간인구수,"58,911","4,149","6,934","2,127","2,206","1,543","1,825","1,856","3,217","1,258","3,274","1,782","2,132","1,103","17,381","8,124"
2020년05월_남_0~9세,"3,860",195,465,61,59,68,46,45,112,27,226,40,52,25,"1,743",696
2020년05월_남_10~19세,"5,181",365,578,95,130,78,94,80,180,57,244,73,108,69,"2,045",985
2020년05월_남_20~29세,"6,572",423,778,176,173,122,121,163,245,68,275,138,279,85,"2,480","1,046"
2020년05월_남_30~39세,"5,816",307,721,161,157,130,116,129,202,75,290,103,163,75,"2,377",810
2020년05월_남_40~49세,"8,426",536,968,242,263,179,233,232,343,158,383,187,300,125,"2,926","1,351"
2020년05월_남_50~59세,"10,511",775,"1,192",386,438,285,392,405,680,241,586,325,432,203,"2,709","1,462"
2020년05월_남_60~69세,"9,779",789,"1,165",477,504,318,432,413,760,321,603,466,413,273,"1,832","1,013"
2020년05월_남_70~79세,"5,664",487,692,297,311,236,247,255,449,208,406,289,242,149,881,515
2020년05월_남_80~89세,"2,781",235,339,211,159,113,128,125,223,87,233,140,132,82,344,230
2020년05월_남_90~99세,297,30,35,21,11,13,16,9,22,15,27,20,10,17,38,13
2020년05월_남_100세 이상,24,7,1,0,1,1,0,0,1,1,1,1,1,0,6,3
2020년05월_여_총인구수,"58,901","4,383","6,979","2,080","2,142","1,509","1,825","1,753","2,951","1,212","3,179","1,728","1,886","1,187","17,524","8,563"
2020년05월_여_연령구간인구수,"58,901","4,383","6,979","2,080","2,142","1,509","1,825","1,753","2,951","1,212","3,179","1,728","1,886","1,187","17,524","8,563"
2020년05월_여_0~9세,"3,650",187,466,51,64,55,37,39,90,35,192,25,55,30,"1,666",658
2020년05월_여_10~19세,"4,849",349,547,88,121,73,80,93,147,46,183,66,112,80,"1,925",939
2020년05월_여_20~29세,"5,094",315,578,136,135,88,109,114,158,51,197,93,169,61,"2,060",830
2020년05월_여_30~39세,"5,283",288,606,87,103,97,110,81,159,48,275,79,90,58,"2,324",878
2020년05월_여_40~49세,"7,366",479,760,142,174,135,191,140,252,89,309,133,160,99,"2,952","1,351"
2020년05월_여_50~59세,"9,582",776,"1,098",328,366,208,303,311,547,199,514,287,323,176,"2,680","1,466"
2020년05월_여_60~69세,"9,655",837,"1,174",450,446,320,398,377,662,287,553,399,378,251,"1,972","1,151"
2020년05월_여_70~79세,"7,221",653,907,431,379,260,299,307,493,230,493,332,296,226,"1,152",763
2020년05월_여_80~89세,"5,276",409,718,329,320,235,260,242,367,187,391,268,246,173,678,453
2020년05월_여_90~99세,861,81,117,37,33,35,33,45,71,35,68,43,53,30,108,72
2020년05월_여_100세 이상,64,9,8,1,1,3,5,4,5,5,4,3,4,3,7,2
