카테고리,경상남도 통영시,경상남도 통영시 산양읍,경상남도 통영시 용남면,경상남도 통영시 도산면,경상남도 통영시 광도면,경상남도 통영시 욕지면,경상남도 통영시 한산면,경상남도 통영시 사량면,경상남도 통영시 도천동,경상남도 통영시 명정동,경상남도 통영시 중앙동,경상남도 통영시 정량동,경상남도 통영시 북신동,경상남도 통영시 미수동,경상남도 통영시 봉평동,경상남도 통영시 무전동
2021년07월_계_총인구수,"126,312","4,595","12,448","2,860","30,972","1,986","1,978","1,456","8,811","2,874","3,884","8,849","10,517","11,113","10,198","13,771"
2021년07월_계_연령구간인구수,"126,312","4,595","12,448","2,860","30,972","1,986","1,978","1,456","8,811","2,874","3,884","8,849","10,517","11,113","10,198","13,771"
2021년07월_계_0~9세,"8,975",104,"1,140",65,"3,641",44,27,17,383,89,110,436,665,797,443,"1,014"
2021년07월_계_10~19세,"12,681",204,"1,430",113,"4,054",94,54,27,801,163,207,652,964,"1,367",955,"1,596"
2021년07월_계_20~29세,"10,798",288,"1,036",162,"2,696",106,80,59,860,207,264,642,933,"1,003",915,"1,547"
2021년07월_계_30~39세,"12,920",299,"1,335",144,"4,465",99,75,67,673,157,257,808,"1,045","1,046",914,"1,536"
2021년07월_계_40~49세,"20,955",522,"2,223",264,"6,572",258,162,105,"1,243",351,496,"1,289","1,546","1,896","1,481","2,547"
2021년07월_계_50~59세,"21,982",905,"2,124",493,"4,525",410,334,291,"1,626",530,769,"1,780","1,767","2,017","1,966","2,445"
2021년07월_계_60~69세,"21,173","1,074","1,701",759,"3,116",488,484,403,"1,714",675,932,"1,852","2,110","1,900","1,955","2,010"
2021년07월_계_70~79세,"11,222",709,929,521,"1,299",290,433,258,"1,049",477,575,989,"1,056",768,"1,063",806
2021년07월_계_80~89세,"4,930",431,461,301,522,180,299,199,409,193,254,359,367,284,437,234
2021년07월_계_90~99세,658,56,68,38,82,17,29,29,53,30,20,39,60,34,69,34
2021년07월_계_100세 이상,18,3,1,0,0,0,1,1,0,2,0,3,4,1,0,2
2021년07월_남_총인구수,"63,445","2,423","6,224","1,464","15,662","1,107","1,026",721,"4,389","1,396","1,917","4,493","5,044","5,460","5,243","6,876"
2021년07월_남_연령구간인구수,"63,445","2,423","6,224","1,464","15,662","1,107","1,026",721,"4,389","1,396","1,917","4,493","5,044","5,460","5,243","6,876"
2021년07월_남_0~9세,"4,518",42,543,37,"1,851",24,16,8,184,38,49,221,339,411,207,548
2021년07월_남_10~19세,"6,552",112,725,62,"2,112",56,26,14,382,76,99,331,502,716,503,836
2021년07월_남_20~29세,"6,016",169,566,100,"1,421",63,52,35,511,118,159,368,522,546,548,838
2021년07월_남_30~39세,"6,633",178,648,84,"2,167",64,44,49,368,87,145,452,549,497,505,796
2021년07월_남_40~49세,"11,259",341,"1,169",168,"3,463",172,105,63,685,207,306,764,785,966,823,"1,242"
2021년07월_남_50~59세,"11,380",532,"1,118",290,"2,361",245,217,171,838,290,397,909,792,985,"1,045","1,190"
2021년07월_남_60~69세,"10,306",587,867,373,"1,521",258,268,217,826,319,433,853,911,938,978,957
2021년07월_남_70~79세,"5,093",332,410,249,596,151,200,108,454,186,243,466,500,331,475,392
2021년07월_남_80~89세,"1,560",122,162,95,155,72,92,52,136,68,80,122,129,65,138,72
2021년07월_남_90~99세,125,8,16,6,15,2,6,4,5,7,6,7,12,5,21,5
2021년07월_남_100세 이상,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2021년07월_여_총인구수,"62,867","2,172","6,224","1,396","15,310",879,952,735,"4,422","1,478","1,967","4,356","5,473","5,653","4,955","6,895"
2021년07월_여_연령구간인구수,"62,867","2,172","6,224","1,396","15,310",879,952,735,"4,422","1,478","1,967","4,356","5,473","5,653","4,955","6,895"
2021년07월_여_0~9세,"4,457",62,597,28,"1,790",20,11,9,199,51,61,215,326,386,236,466
2021년07월_여_10~19세,"6,129",92,705,51,"1,942",38,28,13,419,87,108,321,462,651,452,760
2021년07월_여_20~29세,"4,782",119,470,62,"1,275",43,28,24,349,89,105,274,411,457,367,709
2021년07월_여_30~39세,"6,287",121,687,60,"2,298",35,31,18,305,70,112,356,496,549,409,740
2021년07월_여_40~49세,"9,696",181,"1,054",96,"3,109",86,57,42,558,144,190,525,761,930,658,"1,305"
2021년07월_여_50~59세,"10,602",373,"1,006",203,"2,164",165,117,120,788,240,372,871,975,"1,032",921,"1,255"
2021년07월_여_60~69세,"10,867",487,834,386,"1,595",230,216,186,888,356,499,999,"1,199",962,977,"1,053"
2021년07월_여_70~79세,"6,129",377,519,272,703,139,233,150,595,291,332,523,556,437,588,414
2021년07월_여_80~89세,"3,370",309,299,206,367,108,207,147,273,125,174,237,238,219,299,162
2021년07월_여_90~99세,533,48,52,32,67,15,23,25,48,23,14,32,48,29,48,29
2021년07월_여_100세 이상,15,3,1,0,0,0,1,1,0,2,0,3,1,1,0,2
