,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2021년06월_계_총인구수,"488,800","24,373","15,247","29,623","29,057","16,891","35,353","33,454","15,193","25,873","18,162","22,537","18,065","23,350","22,627","21,868","15,462","17,239","23,635","22,847","30,847","27,097"
2021년06월_계_연령구간인구수,"488,800","24,373","15,247","29,623","29,057","16,891","35,353","33,454","15,193","25,873","18,162","22,537","18,065","23,350","22,627","21,868","15,462","17,239","23,635","22,847","30,847","27,097"
2021년06월_계_0~9세,"21,044","1,145","1,228","1,944","1,119",634,"1,249","2,006",394,"1,084",951,659,539,779,757,346,"1,168",621,681,845,"1,690","1,205"
2021년06월_계_10~19세,"27,873","1,448","1,123","2,849","1,349",846,"1,658","2,646",560,"1,536",794,813,850,"1,033","1,081",504,"1,412",829,983,"1,470","2,245","1,844"
2021년06월_계_20~29세,"108,741","4,740","1,826","3,873","7,543","5,529","11,446","5,448","4,474","5,822","3,943","6,327","4,432","5,637","5,863","8,368","1,740","3,995","6,100","2,735","4,798","4,102"
2021년06월_계_30~39세,"85,734","4,051","2,535","3,830","5,957","3,514","6,874","5,180","2,993","4,939","3,604","4,548","3,181","4,642","3,953","5,680","1,804","3,182","4,845","2,569","4,236","3,617"
2021년06월_계_40~49세,"66,796","3,347","2,443","4,919","3,616","1,994","3,999","5,150","1,710","3,502","2,292","2,750","2,221","3,186","2,870","2,452","2,913","2,266","3,532","3,181","4,615","3,838"
2021년06월_계_50~59세,"67,131","3,353","2,298","4,772","3,426","1,653","3,851","4,863","1,795","3,452","2,534","2,739","2,413","3,094","3,188","1,786","2,550","2,373","3,209","4,097","4,908","4,777"
2021년06월_계_60~69세,"59,620","3,321","1,959","3,897","3,194","1,367","3,325","4,341","1,683","2,963","2,260","2,551","2,272","2,758","2,648","1,472","2,113","2,179","2,357","4,134","4,675","4,151"
2021년06월_계_70~79세,"36,573","2,116","1,198","2,451","2,056",948,"2,142","2,722","1,102","1,842","1,307","1,526","1,502","1,563","1,621",913,"1,239","1,229","1,319","2,591","2,663","2,523"
2021년06월_계_80~89세,"13,561",745,566,965,709,367,718,986,440,657,419,565,582,580,580,308,466,504,544,"1,053",884,923
2021년06월_계_90~99세,"1,621",101,68,117,82,35,89,107,38,73,56,54,69,72,62,34,53,58,64,165,115,109
2021년06월_계_100세 이상,106,6,3,6,6,4,2,5,4,3,2,5,4,6,4,5,4,3,1,7,18,8
2021년06월_남_총인구수,"245,404","11,965","7,449","14,307","14,076","8,534","16,927","16,335","7,275","12,617","8,779","11,622","9,067","12,863","11,380","11,555","7,575","8,712","14,247","11,448","15,090","13,581"
2021년06월_남_연령구간인구수,"245,404","11,965","7,449","14,307","14,076","8,534","16,927","16,335","7,275","12,617","8,779","11,622","9,067","12,863","11,380","11,555","7,575","8,712","14,247","11,448","15,090","13,581"
2021년06월_남_0~9세,"10,794",582,647,"1,016",574,323,611,"1,056",220,563,499,342,252,395,404,169,586,314,345,452,848,596
2021년06월_남_10~19세,"14,215",761,575,"1,482",662,414,814,"1,338",269,793,372,424,428,522,575,246,715,420,504,787,"1,128",986
2021년06월_남_20~29세,"52,896","2,248",944,"1,930","3,402","2,654","4,993","2,587","1,863","2,774","1,790","3,208","2,247","3,143","2,796","4,099",886,"1,802","3,605","1,460","2,353","2,112"
2021년06월_남_30~39세,"47,451","2,207","1,269","1,920","3,156","1,965","3,654","2,665","1,640","2,572","1,918","2,674","1,821","2,882","2,243","3,315",866,"1,761","3,279","1,454","2,210","1,980"
2021년06월_남_40~49세,"35,722","1,741","1,251","2,417","1,890","1,061","2,084","2,657",922,"1,768","1,175","1,507","1,203","1,939","1,487","1,422","1,476","1,210","2,385","1,710","2,382","2,035"
2021년06월_남_50~59세,"33,851","1,584","1,125","2,338","1,673",868,"1,924","2,408",899,"1,687","1,175","1,327","1,215","1,644","1,602","1,017","1,302","1,283","2,031","2,059","2,374","2,316"
