카테고리,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2020년04월_계_총인구수,"330,707","25,843","30,095","14,530","27,553","25,517","21,896","28,351","22,027","19,673","17,007","19,607","29,467","20,779","28,362"
2020년04월_계_연령구간인구수,"330,707","25,843","30,095","14,530","27,553","25,517","21,896","28,351","22,027","19,673","17,007","19,607","29,467","20,779","28,362"
2020년04월_계_0~9세,"19,959","1,643","1,946",871,"1,874","1,617",933,"1,747","1,258","1,128",879,"1,304","1,639","1,049","2,071"
2020년04월_계_10~19세,"26,768","2,285","2,373","1,120","2,752","2,080","1,277","1,799","1,729","1,481","1,057","2,103","2,307","1,545","2,860"
2020년04월_계_20~29세,"44,681","3,451","4,218","1,901","3,853","3,722","2,718","3,488","3,127","2,616","2,567","2,646","4,035","2,798","3,541"
2020년04월_계_30~39세,"42,446","3,536","4,360","1,770","3,449","3,660","2,434","3,821","2,654","2,733","2,439","2,434","3,475","2,372","3,309"
2020년04월_계_40~49세,"50,084","4,290","4,706","2,212","4,552","3,675","3,053","3,913","3,352","2,887","2,517","3,109","4,382","3,056","4,380"
2020년04월_계_50~59세,"58,164","4,267","5,246","2,675","4,997","4,522","3,892","4,626","3,729","3,374","2,857","3,514","5,551","3,896","5,018"
2020년04월_계_60~69세,"48,276","3,423","3,995","2,059","3,346","3,559","3,842","4,847","3,218","2,957","2,408","2,685","4,462","3,278","4,197"
2020년04월_계_70~79세,"27,348","1,982","2,253","1,351","1,714","1,759","2,637","2,793","2,046","1,645","1,621","1,159","2,585","1,921","1,882"
2020년04월_계_80~89세,"11,195",849,904,499,868,786,980,"1,117",786,726,580,546,873,734,947
2020년04월_계_90~99세,"1,620",109,92,62,137,125,114,173,110,111,76,103,148,112,148
2020년04월_계_100세 이상,166,8,2,10,11,12,16,27,18,15,6,4,10,18,9
