,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2020년03월_계_총인구수,"519,124","27,439","43,709","23,947","25,736","11,425","3,651","17,821","6,774","5,431","43,942","26,285","19,141","11,974","21,956","6,992","5,763","22,768","10,794","4,139","75,587","52,830","24,743","26,277"
2020년03월_계_연령구간인구수,"519,124","27,439","43,709","23,947","25,736","11,425","3,651","17,821","6,774","5,431","43,942","26,285","19,141","11,974","21,956","6,992","5,763","22,768","10,794","4,139","75,587","52,830","24,743","26,277"
2020년03월_계_0~9세,"48,500","1,566","4,259","2,099","4,162",529,122,"2,066",340,168,"3,156","1,501","2,298",741,"1,698",546,186,"1,165",605,133,"9,727","5,669","3,527","2,237"
2020년03월_계_10~19세,"52,939","1,719","5,981","2,011","2,911",859,217,"1,504",509,307,"5,247","2,502","1,837",966,"2,229",485,308,"1,819",733,228,"8,533","6,262","3,016","2,756"
2020년03월_계_20~29세,"70,145","2,963","5,663","2,936","2,182","1,519",358,"2,426",723,460,"6,906","3,781","2,500","2,165","2,981",955,706,"3,892","1,596",599,"10,200","7,376","3,213","4,045"
2020년03월_계_30~39세,"77,513","2,973","5,804","4,017","4,963","1,379",372,"3,147",640,391,"5,403","3,172","3,248","2,129","2,649","1,157",622,"2,891","1,527",395,"14,313","8,069","4,694","3,558"
2020년03월_계_40~49세,"91,109","3,981","8,766","4,632","4,944","1,738",456,"2,853",896,632,"7,828","4,392","3,479","1,993","3,723","1,152",808,"3,511","1,614",565,"14,464","9,318","5,019","4,345"
2020년03월_계_50~59세,"84,435","5,187","6,713","3,832","2,861","2,130",703,"2,705","1,352","1,069","7,979","4,974","3,105","1,849","4,091","1,068","1,025","4,302","1,944",849,"10,235","8,448","3,139","4,875"
2020년03월_계_60~69세,"51,035","4,458","3,509","2,428","1,994","1,738",695,"1,665","1,090","1,093","4,133","3,155","1,554","1,138","2,514",840,967,"2,791","1,440",713,"4,863","4,425","1,334","2,498"
2020년03월_계_70~79세,"27,850","2,838","1,904","1,279","1,077","1,000",450,900,725,781,"2,141","1,846",715,668,"1,341",504,712,"1,594",863,449,"2,129","2,115",537,"1,282"
