카테고리,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2021년06월_계_총인구수,"40,561","2,573","2,733","6,365","10,622","4,513",999,940,"4,689","7,127"
2021년06월_계_연령구간인구수,"40,561","2,573","2,733","6,365","10,622","4,513",999,940,"4,689","7,127"
2021년06월_계_0~9세,"1,200",28,68,186,353,94,20,14,174,263
2021년06월_계_10~19세,"1,949",66,102,370,553,195,34,31,195,403
2021년06월_계_20~29세,"5,724",708,307,930,"1,515",562,104,59,797,742
2021년06월_계_30~39세,"4,431",459,227,661,"1,113",477,98,78,675,643
2021년06월_계_40~49세,"5,223",305,330,877,"1,411",539,108,98,653,902
2021년06월_계_50~59세,"6,825",354,492,"1,062","1,806",769,179,201,690,"1,272"
2021년06월_계_60~69세,"7,847",370,564,"1,156","2,023",998,245,266,779,"1,446"
2021년06월_계_70~79세,"4,938",188,418,767,"1,234",589,130,142,479,991
2021년06월_계_80~89세,"2,084",79,191,287,541,243,64,44,219,416
2021년06월_계_90~99세,322,15,33,66,70,43,13,6,28,48
2021년06월_계_100세 이상,18,1,1,3,3,4,4,1,0,1
2021년06월_남_총인구수,"19,799","1,229","1,390","2,988","5,156","2,121",514,530,"2,414","3,457"
2021년06월_남_연령구간인구수,"19,799","1,229","1,390","2,988","5,156","2,121",514,530,"2,414","3,457"
2021년06월_남_0~9세,624,15,32,98,174,54,12,8,94,137
2021년06월_남_10~19세,976,37,48,172,280,103,17,15,97,207
2021년06월_남_20~29세,"2,795",276,164,449,750,272,56,33,399,396
2021년06월_남_30~39세,"2,413",220,132,342,598,263,56,44,404,354
2021년06월_남_40~49세,"2,875",169,196,465,774,285,52,63,386,485
2021년06월_남_50~59세,"3,437",194,251,499,900,372,98,133,362,628
2021년06월_남_60~69세,"3,708",192,283,544,935,434,133,150,373,664
2021년06월_남_70~79세,"2,135",94,199,303,520,256,60,71,218,414
2021년06월_남_80~89세,756,32,78,105,203,74,23,9,73,159
2021년06월_남_90~99세,76,0,7,10,21,8,5,4,8,13
2021년06월_남_100세 이상,4,0,0,1,1,0,2,0,0,0
2021년06월_여_총인구수,"20,762","1,344","1,343","3,377","5,466","2,392",485,410,"2,275","3,670"
2021년06월_여_연령구간인구수,"20,762","1,344","1,343","3,377","5,466","2,392",485,410,"2,275","3,670"
2021년06월_여_0~9세,576,13,36,88,179,40,8,6,80,126
2021년06월_여_10~19세,973,29,54,198,273,92,17,16,98,196
2021년06월_여_20~29세,"2,929",432,143,481,765,290,48,26,398,346
2021년06월_여_30~39세,"2,018",239,95,319,515,214,42,34,271,289
2021년06월_여_40~49세,"2,348",136,134,412,637,254,56,35,267,417
2021년06월_여_50~59세,"3,388",160,241,563,906,397,81,68,328,644
2021년06월_여_60~69세,"4,139",178,281,612,"1,088",564,112,116,406,782
2021년06월_여_70~79세,"2,803",94,219,464,714,333,70,71,261,577
2021년06월_여_80~89세,"1,328",47,113,182,338,169,41,35,146,257
2021년06월_여_90~99세,246,15,26,56,49,35,8,2,20,35
2021년06월_여_100세 이상,14,1,1,2,2,4,2,1,0,1
