카테고리,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 고로면
2020년08월_계_총인구수,"23,409","8,268","2,315","3,792","2,038","2,023","2,423","1,197","1,353"
2020년08월_계_연령구간인구수,"23,409","8,268","2,315","3,792","2,038","2,023","2,423","1,197","1,353"
2020년08월_계_0~9세,712,443,39,90,39,21,46,17,17
2020년08월_계_10~19세,993,594,52,133,54,47,66,24,23
2020년08월_계_20~29세,"1,535",723,110,272,136,108,97,30,59
2020년08월_계_30~39세,"1,383",674,111,189,101,84,113,55,56
2020년08월_계_40~49세,"2,206","1,113",148,309,146,151,178,76,85
2020년08월_계_50~59세,"4,351","1,508",454,722,414,361,413,215,264
2020년08월_계_60~69세,"5,254","1,452",541,957,505,510,596,308,385
2020년08월_계_70~79세,"4,064","1,065",458,686,362,409,525,269,290
2020년08월_계_80~89세,"2,577",611,356,394,241,300,347,179,149
2020년08월_계_90~99세,319,78,44,39,40,29,40,24,25
2020년08월_계_100세 이상,15,7,2,1,0,3,2,0,0
2020년08월_남_총인구수,"11,945","4,288","1,177","1,938","1,036","1,014","1,172",606,714
2020년08월_남_연령구간인구수,"11,945","4,288","1,177","1,938","1,036","1,014","1,172",606,714
2020년08월_남_0~9세,381,244,19,50,23,9,14,11,11
2020년08월_남_10~19세,544,336,29,59,34,23,36,12,15
2020년08월_남_20~29세,920,430,63,169,83,65,54,21,35
2020년08월_남_30~39세,785,364,63,98,64,53,67,38,38
2020년08월_남_40~49세,"1,300",603,96,193,84,105,116,51,52
2020년08월_남_50~59세,"2,454",835,261,404,239,198,230,136,151
2020년08월_남_60~69세,"2,749",744,288,520,254,268,291,158,226
2020년08월_남_70~79세,"1,865",498,213,315,160,188,236,119,136
2020년08월_남_80~89세,882,215,135,124,86,98,120,55,49
2020년08월_남_90~99세,64,18,10,6,9,7,8,5,1
2020년08월_남_100세 이상,1,1,0,0,0,0,0,0,0
2020년08월_여_총인구수,"11,464","3,980","1,138","1,854","1,002","1,009","1,251",591,639
2020년08월_여_연령구간인구수,"11,464","3,980","1,138","1,854","1,002","1,009","1,251",591,639
2020년08월_여_0~9세,331,199,20,40,16,12,32,6,6
2020년08월_여_10~19세,449,258,23,74,20,24,30,12,8
2020년08월_여_20~29세,615,293,47,103,53,43,43,9,24
2020년08월_여_30~39세,598,310,48,91,37,31,46,17,18
2020년08월_여_40~49세,906,510,52,116,62,46,62,25,33
2020년08월_여_50~59세,"1,897",673,193,318,175,163,183,79,113
2020년08월_여_60~69세,"2,505",708,253,437,251,242,305,150,159
2020년08월_여_70~79세,"2,199",567,245,371,202,221,289,150,154
2020년08월_여_80~89세,"1,695",396,221,270,155,202,227,124,100
2020년08월_여_90~99세,255,60,34,33,31,22,32,19,24
2020년08월_여_100세 이상,14,6,2,1,0,3,2,0,0
