,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2020년07월_계_총인구수,"441,188","16,952","23,958","15,623","15,486","24,721","15,416","16,166","18,906","23,485","15,618","25,899","36,583","17,194","39,987","27,107","20,127","20,294","13,968","17,903","35,795"
2020년07월_계_연령구간인구수,"441,188","16,952","23,958","15,623","15,486","24,721","15,416","16,166","18,906","23,485","15,618","25,899","36,583","17,194","39,987","27,107","20,127","20,294","13,968","17,903","35,795"
2020년07월_계_0~9세,"29,881",810,"1,214",582,871,"2,127",466,"1,019","1,488","1,534",688,"1,809","4,145","1,514","2,811","2,181","1,172",973,611,"1,803","2,063"
2020년07월_계_10~19세,"38,215","1,251","1,997","1,020","1,410","2,888",929,"1,011","1,855","1,933","1,035","2,228","4,870","1,432","3,780","2,660","1,522","1,624",950,"1,483","2,337"
2020년07월_계_20~29세,"67,068","2,749","4,314","4,423","2,102","3,006","5,044","2,827","2,330","3,229","3,082","3,265","3,481","2,163","5,839","3,078","3,595","3,033","1,903","2,321","5,284"
2020년07월_계_30~39세,"61,044","2,524","3,411","2,536","2,009","3,101","2,101","2,729","2,735","3,149","1,927","3,439","4,939","2,577","5,309","3,602","2,807","2,444","1,716","2,918","5,071"
2020년07월_계_40~49세,"71,199","2,623","3,807","2,086","2,264","4,639","1,757","2,493","3,334","3,670","2,022","4,285","7,999","3,009","6,589","4,686","2,924","2,943","2,004","2,801","5,264"
2020년07월_계_50~59세,"69,650","2,739","3,713","1,891","2,771","4,028","2,095","2,584","2,862","3,771","2,385","4,180","4,896","2,745","6,355","4,296","3,066","3,881","2,505","2,829","6,058"
2020년07월_계_60~69세,"54,114","2,040","2,699","1,458","2,145","2,656","1,488","1,874","2,193","3,283","2,170","3,547","3,227","2,082","4,658","3,505","2,628","2,954","2,188","2,141","5,178"
2020년07월_계_70~79세,"33,759","1,395","1,863","1,092","1,279","1,475","1,019","1,093","1,424","1,998","1,507","2,173","2,077","1,157","2,941","2,168","1,615","1,668","1,438","1,155","3,222"
2020년07월_계_80~89세,"13,889",668,803,445,551,671,448,451,596,785,678,830,807,437,"1,428",815,694,678,547,386,"1,171"
2020년07월_계_90~99세,"1,991",139,102,73,71,119,55,69,77,115,115,120,116,59,234,91,93,81,78,53,131
2020년07월_계_100세 이상,378,14,35,17,13,11,14,16,12,18,9,23,26,19,43,25,11,15,28,13,16
2020년07월_남_총인구수,"213,033","7,949","11,410","6,584","7,241","11,798","7,812","7,816","9,120","11,373","7,743","12,523","17,428","8,317","19,729","13,107","9,687","9,904","6,893","8,893","17,706"
2020년07월_남_연령구간인구수,"213,033","7,949","11,410","6,584","7,241","11,798","7,812","7,816","9,120","11,373","7,743","12,523","17,428","8,317","19,729","13,107","9,687","9,904","6,893","8,893","17,706"
2020년07월_남_0~9세,"15,243",383,633,284,410,"1,096",236,518,780,783,342,946,"2,129",806,"1,447","1,105",614,465,295,916,"1,055"
2020년07월_남_10~19세,"19,415",676,"1,028",447,675,"1,439",490,493,921,"1,015",528,"1,168","2,386",753,"2,043","1,280",767,839,482,759,"1,226"
