,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2021년01월_계_총인구수,"42,809","7,090","18,535","8,573","8,611"
2021년01월_계_연령구간인구수,"42,809","7,090","18,535","8,573","8,611"
2021년01월_계_0~9세,"3,878",613,"1,243","1,285",737
2021년01월_계_10~19세,"6,278",904,"2,368","1,929","1,077"
2021년01월_계_20~29세,"4,902",756,"2,377",781,988
2021년01월_계_30~39세,"4,626",676,"1,713","1,328",909
2021년01월_계_40~49세,"8,333","1,172","3,201","2,423","1,537"
2021년01월_계_50~59세,"6,919","1,298","3,477",662,"1,482"
2021년01월_계_60~69세,"4,525","1,019","2,233",85,"1,188"
2021년01월_계_70~79세,"2,052",427,"1,109",56,460
2021년01월_계_80~89세,"1,108",176,711,21,200
2021년01월_계_90~99세,178,46,97,3,32
2021년01월_계_100세 이상,10,3,6,0,1
2021년01월_남_총인구수,"21,332","3,464","9,081","4,469","4,318"
2021년01월_남_연령구간인구수,"21,332","3,464","9,081","4,469","4,318"
2021년01월_남_0~9세,"1,968",316,647,646,359
2021년01월_남_10~19세,"3,306",454,"1,267","1,014",571
2021년01월_남_20~29세,"2,729",407,"1,276",457,589
2021년01월_남_30~39세,"2,305",319,877,662,447
2021년01월_남_40~49세,"4,051",548,"1,526","1,251",726
2021년01월_남_50~59세,"3,472",649,"1,697",399,727
2021년01월_남_60~69세,"2,190",503,"1,080",22,585
2021년01월_남_70~79세,913,205,466,11,231
2021년01월_남_80~89세,358,56,223,6,73
2021년01월_남_90~99세,40,7,22,1,10
2021년01월_남_100세 이상,0,0,0,0,0
2021년01월_여_총인구수,"21,477","3,626","9,454","4,104","4,293"
2021년01월_여_연령구간인구수,"21,477","3,626","9,454","4,104","4,293"
2021년01월_여_0~9세,"1,910",297,596,639,378
2021년01월_여_10~19세,"2,972",450,"1,101",915,506
2021년01월_여_20~29세,"2,173",349,"1,101",324,399
2021년01월_여_30~39세,"2,321",357,836,666,462
2021년01월_여_40~49세,"4,282",624,"1,675","1,172",811
2021년01월_여_50~59세,"3,447",649,"1,780",263,755
2021년01월_여_60~69세,"2,335",516,"1,153",63,603
2021년01월_여_70~79세,"1,139",222,643,45,229
2021년01월_여_80~89세,750,120,488,15,127
2021년01월_여_90~99세,138,39,75,2,22
2021년01월_여_100세 이상,10,3,6,0,1
