카테고리,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2020년02월_계_총인구수,"37,096","11,300","6,385","2,402","1,179","1,505",548,942,"1,779","6,510","2,835","1,711"
2020년02월_계_연령구간인구수,"37,096","11,300","6,385","2,402","1,179","1,505",548,942,"1,779","6,510","2,835","1,711"
2020년02월_계_0~9세,"1,796",868,240,55,18,37,9,33,50,368,89,29
2020년02월_계_10~19세,"2,190",952,317,67,44,42,19,33,76,460,127,53
2020년02월_계_20~29세,"2,609","1,012",471,143,53,76,17,51,103,500,121,62
2020년02월_계_30~39세,"2,667","1,156",422,118,52,61,15,43,84,500,147,69
2020년02월_계_40~49세,"4,095","1,602",748,194,78,114,38,88,179,732,211,111
2020년02월_계_50~59세,"6,385","1,888","1,191",416,199,292,86,144,317,"1,123",465,264
2020년02월_계_60~69세,"7,185","1,743","1,352",557,267,349,137,187,419,"1,180",602,392
2020년02월_계_70~79세,"6,022","1,260","1,065",482,256,313,142,207,358,946,578,415
2020년02월_계_80~89세,"3,640",704,512,318,184,193,77,136,177,617,445,277
2020년02월_계_90~99세,479,106,66,51,26,26,7,18,16,84,48,31
2020년02월_계_100세 이상,28,9,1,1,2,2,1,2,0,0,2,8
2020년02월_남_총인구수,"17,635","5,406","3,041","1,158",522,748,257,451,851,"3,041","1,326",834
2020년02월_남_연령구간인구수,"17,635","5,406","3,041","1,158",522,748,257,451,851,"3,041","1,326",834
2020년02월_남_0~9세,899,417,126,32,11,22,4,19,31,178,44,15
2020년02월_남_10~19세,"1,144",483,180,38,21,20,9,19,40,244,64,26
2020년02월_남_20~29세,"1,509",567,284,88,28,49,10,30,56,281,78,38
2020년02월_남_30~39세,"1,381",554,233,67,29,36,9,23,50,258,83,39
2020년02월_남_40~49세,"2,302",840,413,126,40,77,29,55,108,393,144,77
2020년02월_남_50~59세,"3,348","1,000",606,227,105,167,48,84,164,560,243,144
2020년02월_남_60~69세,"3,404",805,626,287,139,172,61,88,198,541,289,198
2020년02월_남_70~79세,"2,397",496,407,184,91,132,58,84,145,386,228,186
2020년02월_남_80~89세,"1,147",217,157,98,53,63,28,42,52,191,142,104
2020년02월_남_90~99세,97,24,8,11,5,10,1,6,7,9,11,5
2020년02월_남_100세 이상,7,3,1,0,0,0,0,1,0,0,0,2
2020년02월_여_총인구수,"19,461","5,894","3,344","1,244",657,757,291,491,928,"3,469","1,509",877
2020년02월_여_연령구간인구수,"19,461","5,894","3,344","1,244",657,757,291,491,928,"3,469","1,509",877
2020년02월_여_0~9세,897,451,114,23,7,15,5,14,19,190,45,14
2020년02월_여_10~19세,"1,046",469,137,29,23,22,10,14,36,216,63,27
2020년02월_여_20~29세,"1,100",445,187,55,25,27,7,21,47,219,43,24
2020년02월_여_30~39세,"1,286",602,189,51,23,25,6,20,34,242,64,30
2020년02월_여_40~49세,"1,793",762,335,68,38,37,9,33,71,339,67,34
2020년02월_여_50~59세,"3,037",888,585,189,94,125,38,60,153,563,222,120
2020년02월_여_60~69세,"3,781",938,726,270,128,177,76,99,221,639,313,194
2020년02월_여_70~79세,"3,625",764,658,298,165,181,84,123,213,560,350,229
2020년02월_여_80~89세,"2,493",487,355,220,131,130,49,94,125,426,303,173
2020년02월_여_90~99세,382,82,58,40,21,16,6,12,9,75,37,26
2020년02월_여_100세 이상,21,6,0,1,2,2,1,1,0,0,2,6
