카테고리,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2020년05월_계_총인구수,"37,302","35,389","1,913"
2020년05월_계_연령구간인구수,"37,302","35,389","1,913"
2020년05월_계_0~9세,"3,471","3,435",36
2020년05월_계_10~19세,"3,461","3,365",96
2020년05월_계_20~29세,"4,560","4,432",128
2020년05월_계_30~39세,"4,850","4,769",81
2020년05월_계_40~49세,"5,728","5,511",217
2020년05월_계_50~59세,"6,134","5,778",356
2020년05월_계_60~69세,"4,785","4,320",465
2020년05월_계_70~79세,"2,676","2,378",298
2020년05월_계_80~89세,"1,459","1,252",207
2020년05월_계_90~99세,167,140,27
2020년05월_계_100세 이상,11,9,2
2020년05월_남_총인구수,"19,353","18,342","1,011"
2020년05월_남_연령구간인구수,"19,353","18,342","1,011"
2020년05월_남_0~9세,"1,774","1,750",24
2020년05월_남_10~19세,"1,801","1,754",47
2020년05월_남_20~29세,"2,639","2,566",73
2020년05월_남_30~39세,"2,676","2,626",50
2020년05월_남_40~49세,"3,101","2,963",138
2020년05월_남_50~59세,"3,224","3,020",204
2020년05월_남_60~69세,"2,418","2,159",259
2020년05월_남_70~79세,"1,184","1,047",137
2020년05월_남_80~89세,490,423,67
2020년05월_남_90~99세,43,31,12
2020년05월_남_100세 이상,3,3,0
2020년05월_여_총인구수,"17,949","17,047",902
2020년05월_여_연령구간인구수,"17,949","17,047",902
2020년05월_여_0~9세,"1,697","1,685",12
2020년05월_여_10~19세,"1,660","1,611",49
2020년05월_여_20~29세,"1,921","1,866",55
2020년05월_여_30~39세,"2,174","2,143",31
2020년05월_여_40~49세,"2,627","2,548",79
2020년05월_여_50~59세,"2,910","2,758",152
2020년05월_여_60~69세,"2,367","2,161",206
2020년05월_여_70~79세,"1,492","1,331",161
2020년05월_여_80~89세,969,829,140
2020년05월_여_90~99세,124,109,15
2020년05월_여_100세 이상,8,6,2
