카테고리,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2021년07월_계_총인구수,"347,314","8,146","4,009","8,703","2,201","1,891","2,585","1,576","1,480","1,452","3,205","21,054","4,685","1,581","4,017","1,045","2,211","27,692","10,544","10,945","13,915","19,383","24,444","11,636","26,826","27,530","11,661","11,975","21,093","27,299","32,530"
2021년07월_계_연령구간인구수,"347,314","8,146","4,009","8,703","2,201","1,891","2,585","1,576","1,480","1,452","3,205","21,054","4,685","1,581","4,017","1,045","2,211","27,692","10,544","10,945","13,915","19,383","24,444","11,636","26,826","27,530","11,661","11,975","21,093","27,299","32,530"
2021년07월_계_0~9세,"27,394",619,323,983,35,43,97,22,27,40,50,"2,113",218,17,129,24,55,"1,518",422,313,541,924,"1,295",697,"3,259","2,024",630,637,"2,307","2,383","5,649"
2021년07월_계_10~19세,"34,733",634,446,514,104,46,185,44,50,69,132,"2,699",406,53,189,41,97,"2,448",715,645,"1,020","1,554","2,401","1,033","4,003","3,408","1,087","1,241","2,979","2,563","3,927"
2021년07월_계_20~29세,"44,879",780,423,"1,108",130,121,202,68,58,103,203,"2,313",431,72,325,99,136,"4,268","1,434","1,048","1,777","2,877","3,709","1,510","3,322","4,090","1,580","1,521","2,359","5,421","3,391"
2021년07월_계_30~39세,"40,998",898,400,"1,708",125,120,167,62,74,60,148,"2,383",354,55,230,45,107,"2,709","1,130",806,"1,229","1,980","2,490","1,367","3,587","2,998","1,147","1,072","2,392","4,198","6,957"
2021년07월_계_40~49세,"53,620","1,014",650,"1,190",183,137,270,96,146,141,251,"3,709",633,100,421,90,202,"3,890","1,519","1,324","1,826","2,732","3,553","1,679","5,276","4,579","1,572","1,741","4,071","4,098","6,527"
2021년07월_계_50~59세,"56,956","1,377",680,"1,287",360,340,492,262,202,245,571,"3,342",861,283,735,178,386,"4,508","1,717","1,850","2,560","3,500","4,891","2,049","4,092","5,120","2,031","2,307","3,231","3,975","3,524"
2021년07월_계_60~69세,"48,190","1,444",564,"1,126",492,492,522,439,370,321,734,"2,579",857,380,"1,016",257,545,"4,208","1,905","2,434","2,589","3,270","3,755","1,927","2,021","3,055","1,977","2,000","2,282","2,828","1,801"
2021년07월_계_70~79세,"25,767",817,308,481,405,289,358,311,296,246,582,"1,220",542,326,563,152,339,"2,710","1,120","1,682","1,598","1,800","1,603",976,862,"1,378","1,043",994,987,"1,255",524
2021년07월_계_80~89세,"12,870",475,185,254,306,260,263,238,229,190,462,619,328,258,355,133,305,"1,258",493,734,680,676,655,353,353,753,523,402,433,507,190
2021년07월_계_90~99세,"1,831",86,29,48,60,41,27,34,28,36,69,74,55,36,51,24,38,168,82,96,94,69,88,44,46,123,69,56,51,71,38
2021년07월_계_100세 이상,76,2,1,4,1,2,2,0,0,1,3,3,0,1,3,2,1,7,7,13,1,1,4,1,5,2,2,4,1,0,2
2021년07월_남_총인구수,"171,664","4,125","2,010","4,444","1,039",938,"1,265",789,734,730,"1,602","10,564","2,350",776,"1,967",504,"1,072","13,563","5,191","5,257","6,891","9,621","12,199","5,911","13,581","13,175","5,529","5,903","10,043","13,790","16,101"
2021년07월_남_연령구간인구수,"171,664","4,125","2,010","4,444","1,039",938,"1,265",789,734,730,"1,602","10,564","2,350",776,"1,967",504,"1,072","13,563","5,191","5,257","6,891","9,621","12,199","5,911","13,581","13,175","5,529","5,903","10,043","13,790","16,101"
2021년07월_남_0~9세,"14,182",340,179,493,19,24,51,16,13,19,29,"1,104",115,7,65,12,32,809,222,165,302,470,696,337,"1,759","1,016",332,329,"1,162","1,268","2,797"
