카테고리,세종특별자치시,세종특별자치시 세종특별자치시
2021년10월_계_총인구수,"368,276","368,276"
2021년10월_계_연령구간인구수,"368,276","368,276"
2021년10월_계_0~9세,"46,988","46,988"
2021년10월_계_10~19세,"45,193","45,193"
2021년10월_계_20~29세,"38,180","38,180"
2021년10월_계_30~39세,"61,258","61,258"
2021년10월_계_40~49세,"71,910","71,910"
2021년10월_계_50~59세,"48,087","48,087"
2021년10월_계_60~69세,"33,152","33,152"
2021년10월_계_70~79세,"14,694","14,694"
2021년10월_계_80~89세,"7,488","7,488"
2021년10월_계_90~99세,"1,287","1,287"
2021년10월_계_100세 이상,39,39
2021년10월_남_총인구수,"183,879","183,879"
2021년10월_남_연령구간인구수,"183,879","183,879"
2021년10월_남_0~9세,"23,955","23,955"
2021년10월_남_10~19세,"22,766","22,766"
2021년10월_남_20~29세,"19,567","19,567"
2021년10월_남_30~39세,"29,844","29,844"
2021년10월_남_40~49세,"36,446","36,446"
2021년10월_남_50~59세,"25,178","25,178"
2021년10월_남_60~69세,"16,447","16,447"
2021년10월_남_70~79세,"6,845","6,845"
2021년10월_남_80~89세,"2,556","2,556"
2021년10월_남_90~99세,266,266
2021년10월_남_100세 이상,9,9
2021년10월_여_총인구수,"184,397","184,397"
2021년10월_여_연령구간인구수,"184,397","184,397"
2021년10월_여_0~9세,"23,033","23,033"
2021년10월_여_10~19세,"22,427","22,427"
2021년10월_여_20~29세,"18,613","18,613"
2021년10월_여_30~39세,"31,414","31,414"
2021년10월_여_40~49세,"35,464","35,464"
2021년10월_여_50~59세,"22,909","22,909"
2021년10월_여_60~69세,"16,705","16,705"
2021년10월_여_70~79세,"7,849","7,849"
2021년10월_여_80~89세,"4,932","4,932"
2021년10월_여_90~99세,"1,021","1,021"
2021년10월_여_100세 이상,30,30
