,서울특별시,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구
2020년04월_계_총인구수,"9,726,787","150,936","126,126","229,369","298,249","350,016","345,793","395,072","442,174","312,691","330,707","530,302","477,973","312,809","374,426","457,132","588,281","405,271","232,396","372,225","394,988","498,978","429,729","543,240","672,862","455,042"
2020년04월_계_연령구간인구수,"9,726,787","150,936","126,126","229,369","298,249","350,016","345,793","395,072","442,174","312,691","330,707","530,302","477,973","312,809","374,426","457,132","588,281","405,271","232,396","372,225","394,988","498,978","429,729","543,240","672,862","455,042"
2020년04월_계_0~9세,"651,713","8,008","7,151","14,009","21,235","20,870","21,632","23,873","30,342","16,918","19,959","35,152","30,744","20,662","26,103","33,029","42,474","29,660","13,319","25,557","25,917","23,994","35,378","38,286","52,554","34,887"
2020년04월_계_10~19세,"806,853","11,479","7,225","16,102","21,009","27,020","24,944","27,815","38,710","23,034","26,768","55,535","39,795","24,532","29,337","51,790","46,391","30,900","15,373","24,590","29,012","30,207","45,622","59,654","60,428","39,581"
2020년04월_계_20~29세,"1,461,968","23,445","18,542","33,169","45,594","62,239","55,680","56,018","66,901","43,427","44,681","73,988","66,213","49,833","61,227","60,469","87,486","55,535","36,555","57,867","66,694","108,515","56,216","75,265","95,448","60,961"
2020년04월_계_30~39세,"1,499,396","20,235","20,384","38,064","50,127","57,371","51,100","58,561","61,363","40,093","42,446","66,731","68,708","45,332","65,335","59,234","101,236","63,911","35,505","67,056","63,322","88,036","65,808","84,685","113,443","71,310"
2020년04월_계_40~49세,"1,553,951","22,848","18,457","36,042","46,352","53,910","51,893","58,681","71,636","48,474","50,084","88,827","77,439","48,237","62,253","80,329","92,731","63,949","33,810","55,908","60,118","70,071","78,465","99,952","110,072","73,413"
2020년04월_계_50~59세,"1,535,950","25,727","20,990","36,669","48,151","55,278","54,191","70,332","69,943","53,412","58,164","88,537","76,944","49,621","54,393","76,825","88,164","63,584","40,962","56,469","58,976","69,087","62,907","80,028","103,770","72,826"
2020년04월_계_60~69세,"1,209,291","19,493","17,138","27,863","35,668","41,172","45,340","56,063","53,707","44,852","48,276","66,025","62,167","37,490","38,648","55,583","74,715","54,216","32,020","45,441","48,084","58,039","46,926","58,265","81,654","60,446"
2020년04월_계_70~79세,"692,568","12,579","10,516","17,178","20,496","22,195","28,072","30,748","33,494","29,767","27,348","36,962","38,455","24,346","24,444","27,609","38,207","31,027","17,681","26,656","29,388","36,596","26,915","33,308","39,089","29,492"
2020년04월_계_80~89세,"267,588","5,814","4,670","8,336","8,244","8,509","11,080","11,235","13,742","11,017","11,195","15,899","15,054","10,876","10,772","10,440","14,260","10,882","6,194","10,896","11,449","12,470","9,487","11,312","13,685","10,070"
2020년04월_계_90~99세,"41,039","1,045",856,"1,572","1,135","1,246","1,565","1,550","1,961","1,455","1,620","2,385","2,042","1,599","1,590","1,652","2,392","1,440",807,"1,511","1,725","1,652","1,789","2,201","2,436","1,813"
2020년04월_계_100세 이상,"6,470",263,197,365,238,206,296,196,375,242,166,261,412,281,324,172,225,167,170,274,303,311,216,284,283,243
2020년04월_남_총인구수,"4,737,843","73,563","61,770","110,604","145,833","169,213","171,621","195,784","213,743","152,594","161,581","256,344","230,057","150,069","176,856","224,563","284,543","200,239","117,935","184,446","191,207","250,442","205,452","259,936","325,127","224,321"
2020년04월_남_연령구간인구수,"4,737,843","73,563","61,770","110,604","145,833","169,213","171,621","195,784","213,743","152,594","161,581","256,344","230,057","150,069","176,856","224,563","284,543","200,239","117,935","184,446","191,207","250,442","205,452","259,936","325,127","224,321"
2020년04월_남_0~9세,"334,693","4,042","3,627","7,248","10,844","10,610","11,047","12,309","15,502","8,763","10,282","18,106","15,757","10,623","13,247","16,987","21,703","15,157","6,807","12,992","13,248","12,341","18,303","19,851","27,194","18,103"
2020년04월_남_10~19세,"413,804","5,790","3,624","8,188","10,521","13,752","12,618","14,193","19,669","11,842","13,798","28,760","20,304","12,233","14,818","26,996","23,645","15,934","7,796","12,867","14,834","15,523","23,264","31,126","30,862","20,847"
2020년04월_남_20~29세,"712,883","11,565","8,929","15,900","22,608","29,410","27,941","27,975","32,505","21,332","22,791","38,117","32,098","24,089","27,901","31,015","40,950","27,311","18,706","27,331","32,322","53,028","27,048","36,067","45,641","30,303"
2020년04월_남_30~39세,"750,315","10,080","10,209","18,990","24,644","28,347","26,482","30,305","30,563","21,110","21,737","33,259","34,204","22,526","30,929","29,109","51,377","32,638","19,686","34,583","32,039","48,473","30,186","38,783","54,457","35,599"
2020년04월_남_40~49세,"769,983","11,116","9,410","17,734","23,254","26,644","26,708","30,252","35,294","24,817","24,798","42,370","38,263","23,858","30,315","38,453","46,581","32,800","17,640","28,734","30,079","37,320","36,990","46,590","53,128","36,835"
