카테고리,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2020년02월_계_총인구수,"46,146","10,239","3,182","3,586","2,000","1,951","2,374","3,645","6,237","1,841","1,848","1,576","4,427","3,240"
2020년02월_계_연령구간인구수,"46,146","10,239","3,182","3,586","2,000","1,951","2,374","3,645","6,237","1,841","1,848","1,576","4,427","3,240"
2020년02월_계_0~9세,"2,064",629,97,112,62,53,89,121,393,32,84,76,176,140
2020년02월_계_10~19세,"3,070",918,236,203,97,82,123,139,503,83,89,156,252,189
2020년02월_계_20~29세,"3,802","1,068",255,223,136,137,169,320,515,114,112,103,298,352
2020년02월_계_30~39세,"3,058",878,143,168,100,115,127,224,492,80,133,87,259,252
2020년02월_계_40~49세,"5,458","1,472",385,388,208,181,241,365,862,172,183,151,437,413
2020년02월_계_50~59세,"8,769","1,891",740,724,373,378,434,710,"1,094",319,310,280,866,650
2020년02월_계_60~69세,"8,504","1,588",579,728,402,397,491,742,"1,041",366,362,370,909,529
2020년02월_계_70~79세,"6,433","1,122",481,589,317,303,355,584,746,347,301,212,657,419
2020년02월_계_80~89세,"4,290",593,225,378,270,260,289,377,505,280,239,120,492,262
2020년02월_계_90~99세,676,78,39,71,35,44,54,61,83,45,34,20,78,34
2020년02월_계_100세 이상,22,2,2,2,0,1,2,2,3,3,1,1,3,0
2020년02월_남_총인구수,"22,948","5,020","1,626","1,763",968,950,"1,166","1,845","3,098",897,891,821,"2,212","1,691"
2020년02월_남_연령구간인구수,"22,948","5,020","1,626","1,763",968,950,"1,166","1,845","3,098",897,891,821,"2,212","1,691"
2020년02월_남_0~9세,"1,080",316,52,70,36,25,51,61,192,20,35,48,98,76
2020년02월_남_10~19세,"1,628",456,128,116,55,46,57,68,269,35,53,101,138,106
2020년02월_남_20~29세,"2,246",600,143,139,81,77,101,209,313,72,62,59,170,220
2020년02월_남_30~39세,"1,684",465,82,89,50,65,81,143,250,47,71,48,138,155
2020년02월_남_40~49세,"3,054",770,206,214,119,103,138,214,476,106,107,90,260,251
2020년02월_남_50~59세,"4,749",957,425,391,200,195,249,405,587,177,179,147,473,364
2020년02월_남_60~69세,"4,355",805,301,370,207,210,255,357,527,188,192,188,483,272
2020년02월_남_70~79세,"2,708",456,198,247,126,139,144,249,314,161,116,107,286,165
2020년02월_남_80~89세,"1,304",180,82,119,81,77,81,131,157,76,66,30,150,74
2020년02월_남_90~99세,137,15,8,8,13,12,9,8,13,14,10,3,16,8
2020년02월_남_100세 이상,3,0,1,0,0,1,0,0,0,1,0,0,0,0
2020년02월_여_총인구수,"23,198","5,219","1,556","1,823","1,032","1,001","1,208","1,800","3,139",944,957,755,"2,215","1,549"
2020년02월_여_연령구간인구수,"23,198","5,219","1,556","1,823","1,032","1,001","1,208","1,800","3,139",944,957,755,"2,215","1,549"
2020년02월_여_0~9세,984,313,45,42,26,28,38,60,201,12,49,28,78,64
2020년02월_여_10~19세,"1,442",462,108,87,42,36,66,71,234,48,36,55,114,83
2020년02월_여_20~29세,"1,556",468,112,84,55,60,68,111,202,42,50,44,128,132
2020년02월_여_30~39세,"1,374",413,61,79,50,50,46,81,242,33,62,39,121,97
2020년02월_여_40~49세,"2,404",702,179,174,89,78,103,151,386,66,76,61,177,162
2020년02월_여_50~59세,"4,020",934,315,333,173,183,185,305,507,142,131,133,393,286
2020년02월_여_60~69세,"4,149",783,278,358,195,187,236,385,514,178,170,182,426,257
2020년02월_여_70~79세,"3,725",666,283,342,191,164,211,335,432,186,185,105,371,254
2020년02월_여_80~89세,"2,986",413,143,259,189,183,208,246,348,204,173,90,342,188
2020년02월_여_90~99세,539,63,31,63,22,32,45,53,70,31,24,17,62,26
2020년02월_여_100세 이상,19,2,1,2,0,0,2,2,3,2,1,1,3,0
