,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2020년05월_계_총인구수,"281,250","2,767","8,637","1,955","20,709","6,317","6,535","2,894","1,333",856,"2,078","4,713","3,276","4,521","4,095","6,396","3,900","5,588","11,961","7,100","19,226","19,775","12,067","10,571","10,512","33,084","36,810","21,650","8,227","2,493","1,204"
2020년05월_계_연령구간인구수,"281,250","2,767","8,637","1,955","20,709","6,317","6,535","2,894","1,333",856,"2,078","4,713","3,276","4,521","4,095","6,396","3,900","5,588","11,961","7,100","19,226","19,775","12,067","10,571","10,512","33,084","36,810","21,650","8,227","2,493","1,204"
2020년05월_계_0~9세,"21,636",58,637,36,"2,174",294,140,75,15,27,62,244,107,169,123,273,164,182,793,489,"1,369","1,472",749,836,"1,081","2,906","4,706","1,269","1,079",73,34
2020년05월_계_10~19세,"27,139",108,662,79,"2,104",324,317,137,42,40,83,291,217,315,239,348,263,269,964,660,"1,980","2,210","1,153","1,284",938,"4,080","4,496","2,193","1,122",148,73
2020년05월_계_20~29세,"33,818",196,745,134,"2,255",473,549,160,57,59,163,452,378,392,342,711,415,486,"1,329",761,"2,546","2,535","1,818","1,449","1,083","5,155","4,587","3,363",849,272,104
2020년05월_계_30~39세,"31,753",133,827,99,"2,735",459,383,129,58,36,142,464,316,370,302,598,336,477,"1,246",727,"2,119","2,186","1,314","1,236","1,410","4,073","5,704","2,363","1,256",184,71
2020년05월_계_40~49세,"42,462",262,"1,284",152,"3,210",741,653,262,95,86,228,569,364,587,491,797,464,642,"1,629",961,"2,869","3,251","1,848","1,774","1,579","5,726","6,448","3,399","1,650",304,137
2020년05월_계_50~59세,"48,846",498,"1,411",341,"3,557","1,061","1,259",470,193,148,475,737,510,751,684,"1,091",631,960,"2,193","1,187","3,480","3,406","2,255","1,881","1,560","5,916","5,919","4,554",993,490,235
2020년05월_계_60~69세,"39,503",611,"1,574",446,"2,450","1,211","1,339",650,290,162,455,968,600,958,860,"1,285",797,"1,239","2,051","1,314","2,885","2,652","1,611","1,335","1,508","3,188","3,091","2,632",676,450,215
2020년05월_계_70~79세,"23,973",554,994,386,"1,389","1,031","1,127",609,334,176,283,723,556,699,762,929,559,950,"1,293",741,"1,314","1,389",890,552,935,"1,388","1,211","1,223",436,348,192
2020년05월_계_80~89세,"10,462",294,445,245,728,616,648,355,203,104,155,217,207,247,252,317,235,341,414,222,586,583,381,186,357,555,551,560,153,185,120
2020년05월_계_90~99세,"1,554",51,57,36,101,101,117,43,45,17,29,43,19,25,35,41,34,35,41,35,77,91,47,37,53,93,95,93,11,29,23
2020년05월_계_100세 이상,104,2,1,1,6,6,3,4,1,1,3,5,2,8,5,6,2,7,8,3,1,0,1,1,8,4,2,1,2,10,0
