,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2021년02월_계_총인구수,"267,612","3,154","4,733","3,423","2,655","2,565","5,019","3,016","2,910","2,215","3,418","3,023","2,380","5,489","7,162","5,674","4,449","12,809","22,308","7,497","7,946","2,867","55,515","12,605","23,754","32,214","16,783","12,029"
2021년02월_계_연령구간인구수,"267,612","3,154","4,733","3,423","2,655","2,565","5,019","3,016","2,910","2,215","3,418","3,023","2,380","5,489","7,162","5,674","4,449","12,809","22,308","7,497","7,946","2,867","55,515","12,605","23,754","32,214","16,783","12,029"
2021년02월_계_0~9세,"20,672",81,581,183,62,75,147,70,105,49,94,117,117,185,359,153,236,"1,066","2,547",387,486,165,"6,699",645,"1,672","2,576","1,126",689
2021년02월_계_10~19세,"26,645",117,372,340,108,105,230,148,140,96,174,144,134,384,589,339,206,"1,125","2,081",493,682,250,"7,739","1,112","2,898","4,168","1,626",845
2021년02월_계_20~29세,"29,647",249,373,239,227,159,346,265,245,132,313,262,165,437,805,577,437,"1,386","2,538",718,"1,085",304,"6,645","1,578","2,926","4,172","1,858","1,206"
2021년02월_계_30~39세,"30,267",182,723,213,149,158,346,187,179,127,275,195,189,450,562,400,627,"1,675","3,750",747,943,244,"7,509","1,249","2,157","3,523","2,045","1,463"
2021년02월_계_40~49세,"43,375",308,723,470,231,249,519,289,270,223,484,361,274,703,943,597,595,"1,946","3,635","1,083","1,076",361,"10,998","1,799","3,877","6,067","3,169","2,125"
2021년02월_계_50~59세,"44,039",581,685,561,482,426,798,603,563,379,733,466,366,925,"1,098",946,674,"2,029","3,100","1,227","1,445",473,"8,018","2,385","4,162","5,547","3,092","2,275"
2021년02월_계_60~69세,"38,025",694,630,588,634,602,"1,148",680,651,511,734,615,491,"1,154","1,339","1,162",794,"1,824","2,631","1,407","1,327",514,"4,640","2,192","3,381","3,511","2,297","1,874"
2021년02월_계_70~79세,"23,021",546,383,464,430,413,873,478,458,402,423,542,460,837,"1,017",992,619,"1,229","1,422","1,019",636,353,"2,249","1,165","1,706","1,797","1,094","1,014"
2021년02월_계_80~89세,"10,195",332,220,309,267,305,509,258,251,253,161,272,156,350,398,445,222,469,515,358,224,175,875,414,848,752,384,473
2021년02월_계_90~99세,"1,600",59,42,56,60,65,96,34,46,40,23,44,22,52,47,59,36,57,85,54,41,25,135,65,124,96,80,57
