카테고리,울산광역시 울주군,울산광역시 울주군 온산읍,울산광역시 울주군 언양읍,울산광역시 울주군 온양읍,울산광역시 울주군 범서읍,울산광역시 울주군 청량읍,울산광역시 울주군 삼남읍,울산광역시 울주군 서생면,울산광역시 울주군 웅촌면,울산광역시 울주군 두동면,울산광역시 울주군 두서면,울산광역시 울주군 상북면,울산광역시 울주군 삼동면
2021년07월_계_총인구수,"221,915","20,353","28,267","28,685","70,042","19,156","22,314","8,342","7,698","4,205","3,111","7,956","1,786"
2021년07월_계_연령구간인구수,"221,915","20,353","28,267","28,685","70,042","19,156","22,314","8,342","7,698","4,205","3,111","7,956","1,786"
2021년07월_계_0~9세,"17,009","1,437","2,339","2,504","6,314","1,695","1,493",469,291,129,45,256,37
2021년07월_계_10~19세,"22,077","1,631","2,733","3,245","9,765","1,543","1,533",488,368,188,115,407,61
2021년07월_계_20~29세,"26,286","2,516","3,388","3,273","9,228","2,199","2,855",763,815,294,159,692,104
2021년07월_계_30~39세,"25,213","2,753","3,190","3,447","7,427","2,813","2,968",855,628,277,199,546,110
2021년07월_계_40~49세,"36,437","3,670","4,492","5,264","13,320","2,889","3,222","1,163",755,411,233,879,139
2021년07월_계_50~59세,"41,917","4,007","5,186","5,242","13,050","3,464","4,315","1,556","1,626",882,541,"1,683",365
2021년07월_계_60~69세,"31,287","2,660","4,117","3,431","7,026","2,766","3,518","1,682","1,741","1,099",864,"1,897",486
2021년07월_계_70~79세,"13,997","1,124","1,802","1,476","2,647","1,176","1,609",895,908,550,537,989,284
2021년07월_계_80~89세,"6,658",487,875,700,"1,120",521,673,417,491,319,360,522,173
2021년07월_계_90~99세,"1,012",63,139,102,144,89,126,54,74,54,58,83,26
2021년07월_계_100세 이상,22,5,6,1,1,1,2,0,1,2,0,2,1
2021년07월_남_총인구수,"114,680","11,682","14,156","14,923","35,266","9,901","11,524","4,493","4,003","2,172","1,558","4,056",946
2021년07월_남_연령구간인구수,"114,680","11,682","14,156","14,923","35,266","9,901","11,524","4,493","4,003","2,172","1,558","4,056",946
2021년07월_남_0~9세,"8,756",760,"1,155","1,294","3,242",866,795,250,148,64,22,142,18
2021년07월_남_10~19세,"11,471",863,"1,391","1,662","5,104",770,797,262,208,99,59,223,33
2021년07월_남_20~29세,"15,049","1,579","1,917","1,825","5,152","1,220","1,673",464,486,166,93,411,63
2021년07월_남_30~39세,"13,458","1,742","1,651","1,820","3,608","1,535","1,623",457,353,163,116,320,70
2021년07월_남_40~49세,"18,633","2,246","2,223","2,749","6,179","1,480","1,679",727,430,236,138,458,88
2021년07월_남_50~59세,"22,131","2,399","2,605","2,839","6,691","1,831","2,180",912,853,472,295,847,207
2021년07월_남_60~69세,"16,204","1,411","2,062","1,814","3,658","1,455","1,761",841,918,595,455,975,259
2021년07월_남_70~79세,"6,628",523,848,688,"1,244",556,763,416,429,274,249,499,139
2021년07월_남_80~89세,"2,161",152,277,214,361,172,227,156,158,95,120,164,65
2021년07월_남_90~99세,187,5,27,18,27,16,26,8,20,8,11,17,4
2021년07월_남_100세 이상,2,2,0,0,0,0,0,0,0,0,0,0,0
2021년07월_여_총인구수,"107,235","8,671","14,111","13,762","34,776","9,255","10,790","3,849","3,695","2,033","1,553","3,900",840
2021년07월_여_연령구간인구수,"107,235","8,671","14,111","13,762","34,776","9,255","10,790","3,849","3,695","2,033","1,553","3,900",840
2021년07월_여_0~9세,"8,253",677,"1,184","1,210","3,072",829,698,219,143,65,23,114,19
2021년07월_여_10~19세,"10,606",768,"1,342","1,583","4,661",773,736,226,160,89,56,184,28
2021년07월_여_20~29세,"11,237",937,"1,471","1,448","4,076",979,"1,182",299,329,128,66,281,41
2021년07월_여_30~39세,"11,755","1,011","1,539","1,627","3,819","1,278","1,345",398,275,114,83,226,40
2021년07월_여_40~49세,"17,804","1,424","2,269","2,515","7,141","1,409","1,543",436,325,175,95,421,51
2021년07월_여_50~59세,"19,786","1,608","2,581","2,403","6,359","1,633","2,135",644,773,410,246,836,158
2021년07월_여_60~69세,"15,083","1,249","2,055","1,617","3,368","1,311","1,757",841,823,504,409,922,227
2021년07월_여_70~79세,"7,369",601,954,788,"1,403",620,846,479,479,276,288,490,145
2021년07월_여_80~89세,"4,497",335,598,486,759,349,446,261,333,224,240,358,108
2021년07월_여_90~99세,825,58,112,84,117,73,100,46,54,46,47,66,22
2021년07월_여_100세 이상,20,3,6,1,1,1,2,0,1,2,0,2,1
