카테고리,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2021년05월_계_총인구수,"119,826","30,772","10,504","4,778","13,767","8,069","9,802","3,895","3,770","4,619","6,858","17,813","5,179"
2021년05월_계_연령구간인구수,"119,826","30,772","10,504","4,778","13,767","8,069","9,802","3,895","3,770","4,619","6,858","17,813","5,179"
2021년05월_계_0~9세,"7,184","2,172",921,172,731,474,620,125,104,137,229,"1,273",226
2021년05월_계_10~19세,"9,757","3,258",954,244,"1,083",570,858,226,154,190,366,"1,533",321
2021년05월_계_20~29세,"10,603","3,546",842,350,"1,231",749,610,247,222,276,481,"1,654",395
2021년05월_계_30~39세,"10,782","3,188","1,177",364,"1,208",773,824,280,192,290,409,"1,697",380
2021년05월_계_40~49세,"16,262","4,802","1,691",499,"1,815","1,069","1,494",418,355,379,689,"2,455",596
2021년05월_계_50~59세,"20,764","5,366","1,648",867,"2,422","1,409","1,723",680,662,923,"1,244","2,933",887
2021년05월_계_60~69세,"23,770","4,623","1,827","1,285","2,790","1,695","2,120",998,"1,040","1,192","1,735","3,212","1,253"
2021년05월_계_70~79세,"13,180","2,453",965,706,"1,649",874,"1,047",560,606,703,"1,000","1,897",720
2021년05월_계_80~89세,"6,469","1,193",418,246,712,395,423,318,391,444,589,987,353
2021년05월_계_90~99세,"1,012",163,58,43,115,60,80,42,42,81,113,169,46
2021년05월_계_100세 이상,43,8,3,2,11,1,3,1,2,4,3,3,2
2021년05월_남_총인구수,"60,147","15,419","5,211","2,403","6,881","4,087","4,867","1,986","1,926","2,312","3,490","8,946","2,619"
2021년05월_남_연령구간인구수,"60,147","15,419","5,211","2,403","6,881","4,087","4,867","1,986","1,926","2,312","3,490","8,946","2,619"
2021년05월_남_0~9세,"3,668","1,119",462,91,378,223,295,62,60,81,136,654,107
2021년05월_남_10~19세,"5,173","1,684",501,140,581,308,459,117,87,98,213,811,174
2021년05월_남_20~29세,"5,884","1,958",447,198,669,438,337,143,124,161,272,913,224
2021년05월_남_30~39세,"5,455","1,618",550,193,613,401,388,160,103,163,213,857,196
2021년05월_남_40~49세,"8,249","2,316",849,248,925,562,749,225,209,207,377,"1,264",318
2021년05월_남_50~59세,"10,680","2,763",840,437,"1,214",718,861,362,347,487,661,"1,514",476
2021년05월_남_60~69세,"11,845","2,313",891,612,"1,350",859,"1,029",515,530,592,917,"1,610",627
2021년05월_남_70~79세,"6,473","1,187",499,377,807,420,559,273,293,334,468,898,358
2021년05월_남_80~89세,"2,476",419,158,98,315,142,171,123,161,169,200,389,131
2021년05월_남_90~99세,234,42,14,8,23,16,19,6,11,19,32,36,8
2021년05월_남_100세 이상,10,0,0,1,6,0,0,0,1,1,1,0,0
2021년05월_여_총인구수,"59,679","15,353","5,293","2,375","6,886","3,982","4,935","1,909","1,844","2,307","3,368","8,867","2,560"
2021년05월_여_연령구간인구수,"59,679","15,353","5,293","2,375","6,886","3,982","4,935","1,909","1,844","2,307","3,368","8,867","2,560"
2021년05월_여_0~9세,"3,516","1,053",459,81,353,251,325,63,44,56,93,619,119
2021년05월_여_10~19세,"4,584","1,574",453,104,502,262,399,109,67,92,153,722,147
2021년05월_여_20~29세,"4,719","1,588",395,152,562,311,273,104,98,115,209,741,171
2021년05월_여_30~39세,"5,327","1,570",627,171,595,372,436,120,89,127,196,840,184
2021년05월_여_40~49세,"8,013","2,486",842,251,890,507,745,193,146,172,312,"1,191",278
2021년05월_여_50~59세,"10,084","2,603",808,430,"1,208",691,862,318,315,436,583,"1,419",411
2021년05월_여_60~69세,"11,925","2,310",936,673,"1,440",836,"1,091",483,510,600,818,"1,602",626
2021년05월_여_70~79세,"6,707","1,266",466,329,842,454,488,287,313,369,532,999,362
2021년05월_여_80~89세,"3,993",774,260,148,397,253,252,195,230,275,389,598,222
2021년05월_여_90~99세,778,121,44,35,92,44,61,36,31,62,81,133,38
2021년05월_여_100세 이상,33,8,3,1,5,1,3,1,1,3,2,3,2
