카테고리,전라남도 화순군,전라남도 화순군 화순읍,전라남도 화순군 한천면,전라남도 화순군 한천면영외출장소,전라남도 화순군 춘양면,전라남도 화순군 청풍면,전라남도 화순군 이양면,전라남도 화순군 능주면,전라남도 화순군 도곡면,전라남도 화순군 도암면,전라남도 화순군 이서면,전라남도 화순군 백아면,전라남도 화순군 동복면,전라남도 화순군 사평면,전라남도 화순군 동면
2020년02월_계_총인구수,"62,529","39,002",949,433,"1,841","1,047","1,849","3,271","2,844","1,443",988,"1,574","1,639","2,193","3,456"
2020년02월_계_연령구간인구수,"62,529","39,002",949,433,"1,841","1,047","1,849","3,271","2,844","1,443",988,"1,574","1,639","2,193","3,456"
2020년02월_계_0~9세,"3,612","3,004",13,13,46,25,39,117,79,33,18,35,36,52,102
2020년02월_계_10~19세,"5,987","4,936",49,13,83,27,65,216,135,51,38,61,69,76,168
2020년02월_계_20~29세,"6,795","5,070",61,13,123,56,99,309,224,75,87,83,119,163,313
2020년02월_계_30~39세,"4,911","3,618",54,24,92,36,100,246,186,60,50,56,67,127,195
2020년02월_계_40~49세,"8,621","6,489",101,38,138,70,168,336,285,112,84,131,137,177,355
2020년02월_계_50~59세,"11,202","6,755",164,69,340,199,337,595,565,262,202,306,286,422,700
2020년02월_계_60~69세,"8,819","4,220",188,94,338,189,345,632,584,305,194,300,320,437,673
2020년02월_계_70~79세,"7,500","3,147",200,108,352,217,376,502,417,324,180,364,339,440,534
2020년02월_계_80~89세,"4,442","1,547",106,52,295,203,276,275,314,195,120,205,226,256,372
2020년02월_계_90~99세,609,205,13,9,34,24,40,43,54,24,13,32,38,41,39
2020년02월_계_100세 이상,31,11,0,0,0,1,4,0,1,2,2,1,2,2,5
2020년02월_남_총인구수,"30,958","19,200",492,208,929,502,894,"1,625","1,404",759,507,780,778,"1,113","1,767"
2020년02월_남_연령구간인구수,"30,958","19,200",492,208,929,502,894,"1,625","1,404",759,507,780,778,"1,113","1,767"
2020년02월_남_0~9세,"1,845","1,537",6,7,30,11,18,65,30,17,7,23,15,29,50
2020년02월_남_10~19세,"3,126","2,577",30,8,39,14,30,102,76,31,21,29,34,43,92
2020년02월_남_20~29세,"3,680","2,709",34,5,59,31,49,181,125,53,51,56,69,91,167
2020년02월_남_30~39세,"2,504","1,756",42,14,55,13,55,140,109,37,30,26,44,72,111
2020년02월_남_40~49세,"4,519","3,183",62,24,93,55,106,190,179,77,55,89,81,112,213
2020년02월_남_50~59세,"6,127","3,496",100,45,219,123,216,328,304,160,110,196,167,253,410
2020년02월_남_60~69세,"4,576","2,075",96,46,196,109,184,327,316,172,114,161,169,240,371
2020년02월_남_70~79세,"3,060","1,289",89,38,147,89,153,202,183,133,70,134,129,177,227
2020년02월_남_80~89세,"1,371",524,33,17,84,53,71,83,73,70,43,56,64,83,117
2020년02월_남_90~99세,148,53,0,4,7,4,11,7,9,9,6,10,6,13,9
2020년02월_남_100세 이상,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2020년02월_여_총인구수,"31,571","19,802",457,225,912,545,955,"1,646","1,440",684,481,794,861,"1,080","1,689"
2020년02월_여_연령구간인구수,"31,571","19,802",457,225,912,545,955,"1,646","1,440",684,481,794,861,"1,080","1,689"
2020년02월_여_0~9세,"1,767","1,467",7,6,16,14,21,52,49,16,11,12,21,23,52
2020년02월_여_10~19세,"2,861","2,359",19,5,44,13,35,114,59,20,17,32,35,33,76
2020년02월_여_20~29세,"3,115","2,361",27,8,64,25,50,128,99,22,36,27,50,72,146
2020년02월_여_30~39세,"2,407","1,862",12,10,37,23,45,106,77,23,20,30,23,55,84
2020년02월_여_40~49세,"4,102","3,306",39,14,45,15,62,146,106,35,29,42,56,65,142
2020년02월_여_50~59세,"5,075","3,259",64,24,121,76,121,267,261,102,92,110,119,169,290
2020년02월_여_60~69세,"4,243","2,145",92,48,142,80,161,305,268,133,80,139,151,197,302
2020년02월_여_70~79세,"4,440","1,858",111,70,205,128,223,300,234,191,110,230,210,263,307
2020년02월_여_80~89세,"3,071","1,023",73,35,211,150,205,192,241,125,77,149,162,173,255
2020년02월_여_90~99세,461,152,13,5,27,20,29,36,45,15,7,22,32,28,30
2020년02월_여_100세 이상,29,10,0,0,0,1,3,0,1,2,2,1,2,2,5
