,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2020년09월_계_총인구수,"658,670","258,685","24,240","4,153","4,331","4,341","3,274","2,323","6,134","2,132","5,547","3,635","8,854","9,489","18,167","24,485","45,121","55,926","36,533","399,985","24,671","21,991","19,346","8,639","16,143","25,524","14,164","38,139","19,120","40,850","70,001","44,614","56,783"
2020년09월_계_연령구간인구수,"658,670","258,685","24,240","4,153","4,331","4,341","3,274","2,323","6,134","2,132","5,547","3,635","8,854","9,489","18,167","24,485","45,121","55,926","36,533","399,985","24,671","21,991","19,346","8,639","16,143","25,524","14,164","38,139","19,120","40,850","70,001","44,614","56,783"
2020년09월_계_0~9세,"63,008","20,830","1,760",147,115,135,87,56,259,28,170,93,430,296,"1,100","2,270","4,897","6,172","2,815","42,178","1,285","1,929","1,367",307,789,983,929,"3,541","1,488","5,826","10,556","3,797","9,381"
2020년09월_계_10~19세,"68,747","26,425","2,809",245,200,250,181,91,345,82,297,175,699,709,"1,451","3,285","5,895","7,004","2,707","42,322","2,330","2,412","1,891",568,"1,063","1,359","1,254","5,044","2,392","5,661","9,355","4,044","4,949"
2020년09월_계_20~29세,"96,272","35,437","2,780",388,369,382,241,197,785,133,548,497,"1,115","1,167","2,875","2,960","6,250","7,195","7,555","60,835","2,839","2,547","2,370",914,"2,421","6,462","2,496","6,020","2,710","5,163","8,821","9,820","8,252"
2020년09월_계_30~39세,"106,398","33,627","2,569",330,289,330,203,170,562,94,502,400,888,918,"2,510","2,720","6,943","8,597","5,602","72,771","2,243","2,986","2,643",732,"2,217","5,581","1,895","5,212","2,431","7,117","14,994","8,829","15,891"
2020년09월_계_40~49세,"111,977","43,137","4,568",447,460,516,344,239,742,181,687,467,"1,257","1,371","2,973","4,566","9,058","10,189","5,072","68,840","3,863","4,179","3,535","1,125","2,435","3,777","1,966","6,804","3,208","7,769","13,936","7,172","9,071"
2020년09월_계_50~59세,"102,997","44,033","4,384",802,902,882,655,453,"1,203",450,"1,100",691,"1,780","1,917","3,330","4,198","6,798","8,418","6,070","58,964","4,316","3,695","3,462","1,818","3,169","3,529","2,611","6,676","3,545","5,600","8,472","6,385","5,686"
2020년09월_계_60~69세,"62,069","30,538","2,814",903,980,926,740,503,"1,110",496,"1,179",709,"1,444","1,560","2,364","2,548","3,213","4,987","4,062","31,531","3,869","2,387","2,217","1,584","2,306","2,391","1,881","3,040","1,906","2,383","2,525","2,717","2,325"
2020년09월_계_70~79세,"29,945","15,474","1,521",509,568,515,481,331,632,369,702,391,805,991,"1,069","1,285","1,317","2,196","1,792","14,471","2,475","1,178","1,146",963,"1,194",962,749,"1,161",889,882,867,"1,215",790
2020년09월_계_80~89세,"14,897","7,923",913,336,381,346,295,255,417,254,312,182,372,496,419,565,652,986,742,"6,974","1,256",592,635,529,481,403,324,567,471,385,392,555,384
2020년09월_계_90~99세,"2,186","1,173",122,46,65,58,44,26,71,41,39,28,55,59,65,81,95,170,108,"1,013",164,84,76,84,59,71,58,69,78,62,80,75,53
2020년09월_계_100세 이상,174,88,0,0,2,1,3,2,8,4,11,2,9,5,11,7,3,12,8,86,31,2,4,15,9,6,1,5,2,2,3,5,1
2020년09월_남_총인구수,"336,024","131,081","12,403","2,245","2,189","2,237","1,711","1,262","3,247","1,144","2,920","1,910","4,591","4,885","9,285","12,232","23,005","27,982","17,833","204,943","12,813","11,499","10,515","4,626","8,517","13,662","6,987","18,731","9,265","20,465","35,080","23,019","29,764"
2020년09월_남_연령구간인구수,"336,024","131,081","12,403","2,245","2,189","2,237","1,711","1,262","3,247","1,144","2,920","1,910","4,591","4,885","9,285","12,232","23,005","27,982","17,833","204,943","12,813","11,499","10,515","4,626","8,517","13,662","6,987","18,731","9,265","20,465","35,080","23,019","29,764"
2020년09월_남_0~9세,"32,155","10,727",910,80,57,68,45,27,121,16,90,48,238,150,584,"1,144","2,555","3,157","1,437","21,428",658,950,715,151,412,500,489,"1,780",730,"2,948","5,396","1,936","4,763"
2020년09월_남_10~19세,"35,637","13,695","1,471",127,120,132,92,51,182,52,159,83,408,389,770,"1,684","3,076","3,577","1,322","21,942","1,240","1,233","1,005",313,511,702,638,"2,650","1,297","2,922","4,781","2,102","2,548"
2020년09월_남_20~29세,"50,561","18,804","1,539",244,204,227,136,119,519,80,294,258,623,662,"1,488","1,641","3,385","3,772","3,613","31,757","1,622","1,424","1,420",552,"1,330","3,265","1,273","3,148","1,422","2,706","4,395","5,007","4,193"
2020년09월_남_30~39세,"56,513","17,637","1,334",201,157,194,125,114,343,55,298,237,492,565,"1,386","1,281","3,647","4,327","2,881","38,876","1,238","1,599","1,583",465,"1,306","3,385","1,023","2,578","1,220","3,417","7,423","4,961","8,678"
2020년09월_남_40~49세,"57,816","22,235","2,375",273,254,277,213,164,436,126,392,278,663,714,"1,550","2,284","4,583","5,072","2,581","35,581","2,134","2,254","2,012",663,"1,337","2,135",978,"3,180","1,508","3,928","6,833","3,655","4,964"
2020년09월_남_50~59세,"52,890","22,511","2,358",445,479,486,372,271,618,261,637,380,924,988,"1,694","2,130","3,445","4,199","2,824","30,379","2,350","2,022","1,886","1,000","1,715","1,894","1,203","3,182","1,679","2,813","4,409","3,241","2,985"
2020년09월_남_60~69세,"31,315","15,356","1,413",497,521,469,396,265,584,272,587,381,712,758,"1,185","1,283","1,568","2,488","1,977","15,959","1,926","1,246","1,152",814,"1,171","1,220",919,"1,514",937,"1,201","1,301","1,362","1,196"
2020년09월_남_70~79세,"13,457","7,050",664,255,260,251,231,148,276,178,322,171,386,448,476,574,538,994,878,"6,407","1,122",537,496,443,541,427,335,499,335,405,397,540,330
2020년09월_남_80~89세,"5,130","2,774",308,111,120,122,94,98,150,96,124,61,131,195,136,189,182,357,300,"2,356",471,214,229,192,174,121,113,180,125,109,128,200,100
2020년09월_남_90~99세,504,269,31,12,17,11,6,5,17,7,13,13,12,14,13,18,25,36,19,235,43,20,17,31,17,13,16,17,11,15,16,12,7
2020년09월_남_100세 이상,46,23,0,0,0,0,1,0,1,1,4,0,2,2,3,4,1,3,1,23,9,0,0,2,3,0,0,3,1,1,1,3,0
2020년09월_여_총인구수,"322,646","127,604","11,837","1,908","2,142","2,104","1,563","1,061","2,887",988,"2,627","1,725","4,263","4,604","8,882","12,253","22,116","27,944","18,700","195,042","11,858","10,492","8,831","4,013","7,626","11,862","7,177","19,408","9,855","20,385","34,921","21,595","27,019"
2020년09월_여_연령구간인구수,"322,646","127,604","11,837","1,908","2,142","2,104","1,563","1,061","2,887",988,"2,627","1,725","4,263","4,604","8,882","12,253","22,116","27,944","18,700","195,042","11,858","10,492","8,831","4,013","7,626","11,862","7,177","19,408","9,855","20,385","34,921","21,595","27,019"
2020년09월_여_0~9세,"30,853","10,103",850,67,58,67,42,29,138,12,80,45,192,146,516,"1,126","2,342","3,015","1,378","20,750",627,979,652,156,377,483,440,"1,761",758,"2,878","5,160","1,861","4,618"
2020년09월_여_10~19세,"33,110","12,730","1,338",118,80,118,89,40,163,30,138,92,291,320,681,"1,601","2,819","3,427","1,385","20,380","1,090","1,179",886,255,552,657,616,"2,394","1,095","2,739","4,574","1,942","2,401"
2020년09월_여_20~29세,"45,711","16,633","1,241",144,165,155,105,78,266,53,254,239,492,505,"1,387","1,319","2,865","3,423","3,942","29,078","1,217","1,123",950,362,"1,091","3,197","1,223","2,872","1,288","2,457","4,426","4,813","4,059"
2020년09월_여_30~39세,"49,885","15,990","1,235",129,132,136,78,56,219,39,204,163,396,353,"1,124","1,439","3,296","4,270","2,721","33,895","1,005","1,387","1,060",267,911,"2,196",872,"2,634","1,211","3,700","7,571","3,868","7,213"
2020년09월_여_40~49세,"54,161","20,902","2,193",174,206,239,131,75,306,55,295,189,594,657,"1,423","2,282","4,475","5,117","2,491","33,259","1,729","1,925","1,523",462,"1,098","1,642",988,"3,624","1,700","3,841","7,103","3,517","4,107"
2020년09월_여_50~59세,"50,107","21,522","2,026",357,423,396,283,182,585,189,463,311,856,929,"1,636","2,068","3,353","4,219","3,246","28,585","1,966","1,673","1,576",818,"1,454","1,635","1,408","3,494","1,866","2,787","4,063","3,144","2,701"
2020년09월_여_60~69세,"30,754","15,182","1,401",406,459,457,344,238,526,224,592,328,732,802,"1,179","1,265","1,645","2,499","2,085","15,572","1,943","1,141","1,065",770,"1,135","1,171",962,"1,526",969,"1,182","1,224","1,355","1,129"
2020년09월_여_70~79세,"16,488","8,424",857,254,308,264,250,183,356,191,380,220,419,543,593,711,779,"1,202",914,"8,064","1,353",641,650,520,653,535,414,662,554,477,470,675,460
2020년09월_여_80~89세,"9,767","5,149",605,225,261,224,201,157,267,158,188,121,241,301,283,376,470,629,442,"4,618",785,378,406,337,307,282,211,387,346,276,264,355,284
2020년09월_여_90~99세,"1,682",904,91,34,48,47,38,21,54,34,26,15,43,45,52,63,70,134,89,778,121,64,59,53,42,58,42,52,67,47,64,63,46
2020년09월_여_100세 이상,128,65,0,0,2,1,2,2,7,3,7,2,7,3,8,3,2,9,7,63,22,2,4,13,6,6,1,2,1,1,2,2,1
