,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2021년09월_계_총인구수,"142,104","6,544","7,134","4,253","52,597","30,379","2,361","34,948","3,888"
2021년09월_계_연령구간인구수,"142,104","6,544","7,134","4,253","52,597","30,379","2,361","34,948","3,888"
2021년09월_계_0~9세,"19,871",178,474,82,"9,697","4,930",53,"4,338",119
2021년09월_계_10~19세,"12,659",267,469,126,"4,549","4,395",63,"2,651",139
2021년09월_계_20~29세,"12,715",605,853,329,"4,561","2,394",179,"3,493",301
2021년09월_계_30~39세,"27,103",568,878,342,"13,064","4,671",195,"7,029",356
2021년09월_계_40~49세,"25,451",653,914,332,"9,763","6,840",191,"6,321",437
2021년09월_계_50~59세,"17,058","1,183","1,068",810,"4,811","3,366",435,"4,603",782
2021년09월_계_60~69세,"16,880","1,660","1,370","1,315","4,136","2,570",617,"4,209","1,003"
2021년09월_계_70~79세,"7,084",969,716,615,"1,417",881,400,"1,611",475
2021년09월_계_80~89세,"2,797",400,335,255,510,278,191,598,230
2021년09월_계_90~99세,463,59,55,44,80,53,35,95,42
2021년09월_계_100세 이상,23,2,2,3,9,1,2,0,4
2021년09월_남_총인구수,"73,623","3,603","4,015","2,281","26,452","15,161","1,252","18,811","2,048"
2021년09월_남_연령구간인구수,"73,623","3,603","4,015","2,281","26,452","15,161","1,252","18,811","2,048"
2021년09월_남_0~9세,"10,300",86,258,44,"4,970","2,577",24,"2,275",66
2021년09월_남_10~19세,"6,451",142,253,66,"2,226","2,254",38,"1,405",67
2021년09월_남_20~29세,"6,939",356,566,214,"2,266","1,236",104,"2,007",190
2021년09월_남_30~39세,"13,811",337,515,206,"6,431","2,102",117,"3,883",220
2021년09월_남_40~49세,"14,141",411,562,211,"5,352","3,478",121,"3,747",259
2021년09월_남_50~59세,"8,847",676,616,439,"2,313","1,728",245,"2,420",410
2021년09월_남_60~69세,"8,536",923,744,714,"1,986","1,229",324,"2,106",510
2021년09월_남_70~79세,"3,542",507,366,299,719,443,207,760,241
2021년09월_남_80~89세,965,154,128,78,171,99,65,191,79
2021년09월_남_90~99세,85,11,6,9,15,14,7,17,6
2021년09월_남_100세 이상,6,0,1,1,3,1,0,0,0
2021년09월_여_총인구수,"68,481","2,941","3,119","1,972","26,145","15,218","1,109","16,137","1,840"
2021년09월_여_연령구간인구수,"68,481","2,941","3,119","1,972","26,145","15,218","1,109","16,137","1,840"
2021년09월_여_0~9세,"9,571",92,216,38,"4,727","2,353",29,"2,063",53
2021년09월_여_10~19세,"6,208",125,216,60,"2,323","2,141",25,"1,246",72
2021년09월_여_20~29세,"5,776",249,287,115,"2,295","1,158",75,"1,486",111
2021년09월_여_30~39세,"13,292",231,363,136,"6,633","2,569",78,"3,146",136
2021년09월_여_40~49세,"11,310",242,352,121,"4,411","3,362",70,"2,574",178
2021년09월_여_50~59세,"8,211",507,452,371,"2,498","1,638",190,"2,183",372
2021년09월_여_60~69세,"8,344",737,626,601,"2,150","1,341",293,"2,103",493
2021년09월_여_70~79세,"3,542",462,350,316,698,438,193,851,234
2021년09월_여_80~89세,"1,832",246,207,177,339,179,126,407,151
2021년09월_여_90~99세,378,48,49,35,65,39,28,78,36
2021년09월_여_100세 이상,17,2,1,2,6,0,2,0,4
