,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2021년03월_계_총인구수,"31,521","9,878",522,"3,890","8,153","4,972","2,578","1,528"
2021년03월_계_연령구간인구수,"31,521","9,878",522,"3,890","8,153","4,972","2,578","1,528"
2021년03월_계_0~9세,"2,455",925,19,315,593,373,186,44
2021년03월_계_10~19세,"2,278",836,33,252,618,320,138,81
2021년03월_계_20~29세,"4,063","1,251",29,508,"1,017",583,545,130
2021년03월_계_30~39세,"3,819","1,333",32,523,865,614,375,77
2021년03월_계_40~49세,"3,961","1,428",56,397,"1,050",628,242,160
2021년03월_계_50~59세,"5,144","1,511",122,582,"1,455",824,336,314
2021년03월_계_60~69세,"5,373","1,430",118,728,"1,410",907,387,393
2021년03월_계_70~79세,"2,639",710,76,324,675,420,229,205
2021년03월_계_80~89세,"1,532",384,33,220,409,258,125,103
2021년03월_계_90~99세,250,67,4,40,59,45,15,20
2021년03월_계_100세 이상,7,3,0,1,2,0,0,1
2021년03월_남_총인구수,"17,046","5,198",276,"2,099","4,361","2,726","1,552",834
2021년03월_남_연령구간인구수,"17,046","5,198",276,"2,099","4,361","2,726","1,552",834
2021년03월_남_0~9세,"1,246",460,10,154,297,202,101,22
2021년03월_남_10~19세,"1,195",450,16,127,322,161,72,47
2021년03월_남_20~29세,"2,707",769,16,348,653,391,440,90
2021년03월_남_30~39세,"2,190",723,21,311,473,368,244,50
2021년03월_남_40~49세,"2,200",767,33,222,585,352,150,91
2021년03월_남_50~59세,"2,752",792,67,309,787,430,195,172
2021년03월_남_60~69세,"2,885",742,59,388,773,516,192,215
2021년03월_남_70~79세,"1,263",341,41,157,308,202,111,103
2021년03월_남_80~89세,540,137,11,72,147,95,42,36
2021년03월_남_90~99세,64,15,2,11,14,9,5,8
2021년03월_남_100세 이상,4,2,0,0,2,0,0,0
2021년03월_여_총인구수,"14,475","4,680",246,"1,791","3,792","2,246","1,026",694
2021년03월_여_연령구간인구수,"14,475","4,680",246,"1,791","3,792","2,246","1,026",694
2021년03월_여_0~9세,"1,209",465,9,161,296,171,85,22
2021년03월_여_10~19세,"1,083",386,17,125,296,159,66,34
2021년03월_여_20~29세,"1,356",482,13,160,364,192,105,40
2021년03월_여_30~39세,"1,629",610,11,212,392,246,131,27
2021년03월_여_40~49세,"1,761",661,23,175,465,276,92,69
2021년03월_여_50~59세,"2,392",719,55,273,668,394,141,142
2021년03월_여_60~69세,"2,488",688,59,340,637,391,195,178
2021년03월_여_70~79세,"1,376",369,35,167,367,218,118,102
2021년03월_여_80~89세,992,247,22,148,262,163,83,67
2021년03월_여_90~99세,186,52,2,29,45,36,10,12
2021년03월_여_100세 이상,3,1,0,1,0,0,0,1
