,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2020년10월_계_총인구수,"376,924","21,534","27,506","34,232","20,862","37,581","18,371","32,968","17,280","22,418","17,463","16,933","10,166","11,218","17,758","20,354","14,861","12,367","23,052"
2020년10월_계_연령구간인구수,"376,924","21,534","27,506","34,232","20,862","37,581","18,371","32,968","17,280","22,418","17,463","16,933","10,166","11,218","17,758","20,354","14,861","12,367","23,052"
2020년10월_계_0~9세,"25,653","1,465","1,187","2,970","1,173","2,821","1,016","3,338","1,241","1,675",609,"1,188",494,830,987,"2,126",867,471,"1,195"
2020년10월_계_10~19세,"24,378","1,304",870,"2,924",999,"2,307",967,"2,947","1,019","1,622",888,"1,154",705,762,"1,087","1,767",928,616,"1,512"
2020년10월_계_20~29세,"58,616","2,820","6,525","3,894","3,604","7,374","2,774","3,808","2,664","3,684","3,370","2,177","1,380","1,426","3,067","2,824","2,173","1,856","3,196"
2020년10월_계_30~39세,"68,579","3,334","6,699","5,296","4,235","8,235","3,267","6,186","4,235","5,167","2,979","2,539","1,386","1,630","2,879","3,494","2,007","1,692","3,319"
2020년10월_계_40~49세,"56,168","3,177","3,453","5,527","2,952","5,244","2,780","5,942","2,787","3,387","2,439","2,531","1,468","1,651","2,434","3,342","2,121","1,695","3,238"
2020년10월_계_50~59세,"56,716","3,652","3,589","5,164","3,075","4,814","3,011","4,168","2,044","3,055","2,589","2,906","1,778","1,955","2,759","3,124","2,533","2,215","4,285"
2020년10월_계_60~69세,"46,504","3,172","2,962","4,097","2,639","3,757","2,331","3,521","1,696","2,173","2,272","2,446","1,596","1,659","2,520","2,110","2,190","1,844","3,519"
2020년10월_계_70~79세,"27,215","1,818","1,531","2,687","1,457","1,985","1,497","2,069","1,077","1,105","1,548","1,408",904,911,"1,371","1,053","1,443","1,408","1,943"
2020년10월_계_80~89세,"11,230",670,570,"1,440",633,875,623,830,437,473,658,508,389,329,567,448,515,508,757
2020년10월_계_90~99세,"1,585",107,96,209,80,136,88,133,71,71,90,68,51,49,74,53,69,56,84
2020년10월_계_100세 이상,280,15,24,24,15,33,17,26,9,6,21,8,15,16,13,13,15,6,4
2020년10월_남_총인구수,"186,417","11,028","14,802","16,068","10,247","17,627","9,212","16,189","8,528","11,145","8,872","8,358","5,084","5,423","8,666","10,140","7,386","6,066","11,576"
2020년10월_남_연령구간인구수,"186,417","11,028","14,802","16,068","10,247","17,627","9,212","16,189","8,528","11,145","8,872","8,358","5,084","5,423","8,666","10,140","7,386","6,066","11,576"
2020년10월_남_0~9세,"13,070",732,574,"1,484",584,"1,429",532,"1,720",679,850,304,623,243,413,488,"1,133",459,242,581
2020년10월_남_10~19세,"12,728",697,474,"1,446",499,"1,150",509,"1,518",513,868,456,596,386,375,628,945,534,309,825
2020년10월_남_20~29세,"27,546","1,508","2,841","1,815","1,640","3,028","1,308","1,815","1,163","1,677","1,665","1,073",728,717,"1,448","1,424","1,072",958,"1,666"
2020년10월_남_30~39세,"35,262","1,750","3,751","2,404","2,212","3,981","1,715","2,965","2,202","2,677","1,709","1,317",750,856,"1,482","1,718","1,058",913,"1,802"
2020년10월_남_40~49세,"28,839","1,676","2,056","2,614","1,533","2,586","1,473","3,013","1,475","1,700","1,330","1,302",757,823,"1,238","1,682","1,114",862,"1,605"
