카테고리,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2020년10월_계_총인구수,"233,601","6,031","9,939","11,529","8,274","8,694","16,955","16,318","13,331","17,960","27,372","2,385","10,119","29,849","19,783","33,970","1,092"
2020년10월_계_연령구간인구수,"233,601","6,031","9,939","11,529","8,274","8,694","16,955","16,318","13,331","17,960","27,372","2,385","10,119","29,849","19,783","33,970","1,092"
2020년10월_계_0~9세,"13,188",113,352,353,271,310,901,"1,188",547,941,"2,665",72,524,"1,259","1,360","2,253",79
2020년10월_계_10~19세,"17,901",292,506,582,363,473,"1,458","1,354",822,"1,216","2,497",109,699,"2,164","1,916","3,336",114
2020년10월_계_20~29세,"33,468",575,"1,155","1,251",852,906,"2,550","2,332","1,610","5,656","3,414",214,"1,130","4,627","2,588","4,528",80
2020년10월_계_30~39세,"25,579",518,"1,000","1,150",814,831,"1,818","2,031","1,497","2,012","3,804",198,975,"3,080","2,241","3,531",79
2020년10월_계_40~49세,"32,403",778,"1,212","1,367",999,"1,144","2,425","2,332","1,802","2,187","4,725",234,"1,274","3,790","2,994","4,965",175
2020년10월_계_50~59세,"40,956","1,186","2,027","2,350","1,638","1,494","3,015","2,836","2,345","2,290","3,802",493,"1,807","5,677","3,644","6,177",175
2020년10월_계_60~69세,"38,473","1,363","2,146","2,413","1,905","1,785","2,645","2,417","2,636","1,972","3,332",535,"1,929","5,038","2,893","5,244",220
2020년10월_계_70~79세,"21,636",825,"1,106","1,468","1,052","1,239","1,432","1,178","1,511","1,140","2,019",351,"1,203","2,922","1,474","2,610",106
2020년10월_계_80~89세,"8,638",336,378,531,329,465,622,563,492,480,853,158,508,"1,136",590,"1,145",52
2020년10월_계_90~99세,"1,161",34,43,53,47,44,82,82,66,56,163,17,66,150,76,172,10
2020년10월_계_100세 이상,198,11,14,11,4,3,7,5,3,10,98,4,4,6,7,9,2
2020년10월_남_총인구수,"114,052","3,059","4,958","5,769","4,376","4,199","8,117","7,792","6,409","9,219","13,168","1,263","4,959","14,617","9,384","16,230",533
