,경상북도 영주시,경상북도 영주시 풍기읍,경상북도 영주시 이산면,경상북도 영주시 평은면,경상북도 영주시 문수면,경상북도 영주시 장수면,경상북도 영주시 안정면,경상북도 영주시 봉현면,경상북도 영주시 순흥면,경상북도 영주시 단산면,경상북도 영주시 부석면,경상북도 영주시 상망동,경상북도 영주시 하망동,경상북도 영주시 영주1동,경상북도 영주시 영주2동,경상북도 영주시 휴천1동,경상북도 영주시 휴천2동,경상북도 영주시 휴천3동,경상북도 영주시 가흥1동,경상북도 영주시 가흥2동
2021년10월_계_총인구수,"101,929","10,580","2,315","1,435","1,931","2,176","2,966","2,703","2,010","1,843","3,013","7,593","6,085","4,024","4,986","6,597","10,012","7,801","15,829","8,030"
2021년10월_계_연령구간인구수,"101,929","10,580","2,315","1,435","1,931","2,176","2,966","2,703","2,010","1,843","3,013","7,593","6,085","4,024","4,986","6,597","10,012","7,801","15,829","8,030"
2021년10월_계_0~9세,"5,772",447,54,25,52,51,78,68,35,21,50,437,333,157,206,454,493,403,"1,901",507
2021년10월_계_10~19세,"8,597",725,88,50,89,100,121,126,68,56,110,883,577,279,337,845,698,676,"1,993",776
2021년10월_계_20~29세,"9,534",921,169,81,129,163,175,155,116,97,133,727,577,319,372,715,"1,157",886,"1,749",893
2021년10월_계_30~39세,"8,099",714,110,42,104,107,140,123,79,76,121,546,442,268,335,482,809,599,"2,233",769
2021년10월_계_40~49세,"13,432","1,168",177,91,156,167,245,253,139,135,195,"1,183",842,463,559,"1,091","1,222",995,"3,108","1,243"
2021년10월_계_50~59세,"17,336","1,773",446,252,313,352,473,459,351,320,516,"1,370","1,102",669,843,"1,222","1,783","1,540","2,181","1,371"
2021년10월_계_60~69세,"19,173","2,394",588,355,478,534,766,752,595,484,877,"1,178","1,059",870,"1,109",889,"1,923","1,461","1,543","1,318"
2021년10월_계_70~79세,"11,784","1,435",347,277,313,368,517,450,342,328,558,775,720,609,774,565,"1,226",782,701,697
2021년10월_계_80~89세,"7,051",847,295,220,236,274,377,273,239,279,385,419,387,342,400,299,619,395,369,396
2021년10월_계_90~99세,"1,096",144,41,40,60,55,73,38,43,46,67,71,41,43,49,34,80,63,50,58
2021년10월_계_100세 이상,55,12,0,2,1,5,1,6,3,1,1,4,5,5,2,1,2,1,1,2
2021년10월_남_총인구수,"50,550","5,252","1,191",730,994,"1,100","1,494","1,378","1,004",915,"1,502","3,785","2,895","1,967","2,404","3,270","4,944","3,874","7,981","3,870"
2021년10월_남_연령구간인구수,"50,550","5,252","1,191",730,994,"1,100","1,494","1,378","1,004",915,"1,502","3,785","2,895","1,967","2,404","3,270","4,944","3,874","7,981","3,870"
2021년10월_남_0~9세,"3,013",226,24,18,28,26,41,34,18,10,30,232,169,90,120,229,238,215,"1,002",263
2021년10월_남_10~19세,"4,482",387,46,21,48,49,66,65,38,32,57,465,292,137,183,437,369,362,"1,020",408
2021년10월_남_20~29세,"5,548",566,108,60,81,102,110,100,73,67,78,435,324,191,213,432,653,535,949,471
2021년10월_남_30~39세,"4,353",386,58,24,66,67,90,69,47,47,70,293,235,144,169,251,465,315,"1,151",406
2021년10월_남_40~49세,"6,907",633,102,61,96,99,152,156,81,84,130,571,409,242,288,510,638,484,"1,570",601
2021년10월_남_50~59세,"8,941",899,261,136,171,190,253,234,179,169,277,732,565,372,431,625,872,758,"1,143",674
2021년10월_남_60~69세,"9,240","1,185",310,188,267,282,392,387,312,265,443,553,473,395,491,411,869,673,729,615
2021년10월_남_70~79세,"5,323",640,168,134,144,169,251,227,155,147,268,338,285,255,338,261,568,376,293,306
2021년10월_남_80~89세,"2,501",298,107,77,81,106,121,92,93,86,133,162,132,124,159,103,253,140,115,119
2021년10월_남_90~99세,233,29,7,11,12,10,18,12,7,7,16,4,10,17,12,11,19,16,8,7
2021년10월_남_100세 이상,9,3,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,1,0
2021년10월_여_총인구수,"51,379","5,328","1,124",705,937,"1,076","1,472","1,325","1,006",928,"1,511","3,808","3,190","2,057","2,582","3,327","5,068","3,927","7,848","4,160"
2021년10월_여_연령구간인구수,"51,379","5,328","1,124",705,937,"1,076","1,472","1,325","1,006",928,"1,511","3,808","3,190","2,057","2,582","3,327","5,068","3,927","7,848","4,160"
2021년10월_여_0~9세,"2,759",221,30,7,24,25,37,34,17,11,20,205,164,67,86,225,255,188,899,244
2021년10월_여_10~19세,"4,115",338,42,29,41,51,55,61,30,24,53,418,285,142,154,408,329,314,973,368
2021년10월_여_20~29세,"3,986",355,61,21,48,61,65,55,43,30,55,292,253,128,159,283,504,351,800,422
2021년10월_여_30~39세,"3,746",328,52,18,38,40,50,54,32,29,51,253,207,124,166,231,344,284,"1,082",363
2021년10월_여_40~49세,"6,525",535,75,30,60,68,93,97,58,51,65,612,433,221,271,581,584,511,"1,538",642
2021년10월_여_50~59세,"8,395",874,185,116,142,162,220,225,172,151,239,638,537,297,412,597,911,782,"1,038",697
2021년10월_여_60~69세,"9,933","1,209",278,167,211,252,374,365,283,219,434,625,586,475,618,478,"1,054",788,814,703
2021년10월_여_70~79세,"6,461",795,179,143,169,199,266,223,187,181,290,437,435,354,436,304,658,406,408,391
2021년10월_여_80~89세,"4,550",549,188,143,155,168,256,181,146,193,252,257,255,218,241,196,366,255,254,277
2021년10월_여_90~99세,863,115,34,29,48,45,55,26,36,39,51,67,31,26,37,23,61,47,42,51
2021년10월_여_100세 이상,46,9,0,2,1,5,1,4,2,0,1,4,4,5,2,1,2,1,0,2
