,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2020년07월_남_연령구간인구수,"54,186","2,774","2,170","1,444","1,059","1,428",892,937,"1,043","1,290","1,712","1,405",845,"1,208",632,"1,084","8,931","1,495","9,972","1,681","5,155","3,018","2,037","1,974"
2020년07월_남_0~9세,"3,384",136,88,27,37,39,28,30,23,45,49,26,24,51,17,32,778,71,837,87,536,243,108,72
2020년07월_남_10~19세,"5,232",234,157,87,45,50,42,58,48,56,74,42,35,92,28,44,"1,087",162,"1,400",147,756,277,181,130
2020년07월_남_20~29세,"5,875",220,229,130,81,116,68,83,79,99,140,82,52,95,48,66,"1,219",177,"1,285",207,640,314,235,210
2020년07월_남_30~39세,"4,843",237,156,83,65,133,55,59,65,87,98,111,68,73,34,64,"1,053",112,966,143,534,329,158,160
2020년07월_남_40~49세,"7,971",379,264,150,123,180,103,112,120,143,228,149,97,153,65,137,"1,651",254,"1,602",208,821,516,260,256
2020년07월_남_50~59세,"10,009",520,475,341,216,258,158,206,206,272,341,273,159,237,136,226,"1,525",296,"1,716",273,847,503,435,390
2020년07월_남_60~69세,"8,177",475,396,295,196,310,191,180,213,263,332,308,173,226,160,233,915,212,"1,163",285,548,409,348,346
2020년07월_남_70~79세,"5,766",376,264,207,190,219,169,139,173,204,264,275,145,171,96,180,521,143,719,212,339,307,204,249
2020년07월_남_80~89세,"2,648",173,132,115,99,112,73,62,104,109,159,126,80,104,44,93,161,62,256,101,124,109,99,151
2020년07월_남_90~99세,260,24,9,9,7,9,5,8,12,12,26,13,12,6,4,9,15,5,22,16,9,10,9,9
2020년07월_남_100세 이상,21,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,6,1,6,2,1,1,0,1
2020년07월_여_총인구수,"55,169","2,901","2,131","1,464","1,035","1,410",923,919,"1,059","1,312","1,762","1,415",855,"1,166",622,"1,083","8,743","1,524","10,689","1,807","5,274","3,013","2,176","1,886"
2020년07월_여_연령구간인구수,"55,169","2,901","2,131","1,464","1,035","1,410",923,919,"1,059","1,312","1,762","1,415",855,"1,166",622,"1,083","8,743","1,524","10,689","1,807","5,274","3,013","2,176","1,886"
2020년07월_여_0~9세,"3,240",132,95,31,27,34,22,28,17,39,38,28,28,52,18,33,743,85,845,88,465,222,101,69
2020년07월_여_10~19세,"4,600",159,128,79,33,60,40,49,39,61,75,30,31,59,21,50,968,140,"1,356",133,560,253,168,108
2020년07월_여_20~29세,"4,845",176,177,79,47,46,44,65,44,72,110,63,39,65,34,58,"1,005",164,"1,187",155,560,290,188,177
2020년07월_여_30~39세,"4,288",176,141,62,47,79,33,37,41,61,55,63,39,40,17,37,939,119,"1,014",124,593,309,143,119
2020년07월_여_40~49세,"7,148",289,216,105,69,82,55,69,59,94,134,88,53,108,33,85,"1,569",223,"1,838",181,913,432,260,193
2020년07월_여_50~59세,"8,655",432,389,234,152,190,120,166,140,186,259,191,132,152,111,146,"1,408",254,"1,662",301,863,485,381,301
2020년07월_여_60~69세,"8,334",522,350,254,196,296,187,164,197,246,362,339,161,218,119,203,960,186,"1,285",332,615,451,378,313
2020년07월_여_70~79세,"7,589",550,316,303,224,318,205,166,247,280,353,301,185,255,153,246,693,200,885,302,433,362,299,313
2020년07월_여_80~89세,"5,497",409,269,265,211,263,177,147,238,238,338,265,154,189,95,196,386,135,514,137,235,168,225,243
2020년07월_여_90~99세,887,48,45,52,28,39,38,27,36,32,37,43,32,26,21,28,61,16,92,41,31,39,30,45
2020년07월_여_100세 이상,86,8,5,0,1,3,2,1,1,3,1,4,1,2,0,1,11,2,11,13,6,2,3,5
