,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2021년04월_계_총인구수,"577,580","41,997","24,205","20,575","31,083","52,045","18,176","21,492","20,921","34,508","24,824","24,799","34,065","14,199","15,278","36,644","43,243","29,694","43,520","23,237","23,075"
2021년04월_계_연령구간인구수,"577,580","41,997","24,205","20,575","31,083","52,045","18,176","21,492","20,921","34,508","24,824","24,799","34,065","14,199","15,278","36,644","43,243","29,694","43,520","23,237","23,075"
2021년04월_계_0~9세,"38,575","4,058","1,283","1,258","1,664","2,624","1,167","1,243","1,127","2,148","1,213","1,266","1,663",485,685,"3,238","3,637","3,305","4,020","1,179","1,312"
2021년04월_계_10~19세,"44,196","4,527","1,311","1,576","1,984","2,442","1,403","1,642","1,366","2,385","1,631","1,584","1,876",463,557,"4,874","5,461","2,024","4,198","1,429","1,463"
2021년04월_계_20~29세,"86,839","5,660","5,040","3,180","4,023","9,512","2,601","3,082","2,969","6,011","4,332","3,877","8,296","1,634","1,775","4,603","5,274","3,937","5,222","3,336","2,475"
2021년04월_계_30~39세,"98,566","7,361","6,073","3,469","4,647","10,450","2,878","3,097","3,300","6,374","4,191","4,075","8,426","2,351","3,050","4,202","5,383","5,583","6,292","3,692","3,672"
2021년04월_계_40~49세,"90,391","7,617","3,240","3,031","3,868","7,472","3,046","3,250","3,247","5,503","3,610","3,961","4,590","1,476","1,908","7,133","8,465","4,849","7,519","3,204","3,402"
2021년04월_계_50~59세,"85,053","5,955","3,042","3,324","5,226","7,363","2,837","3,252","3,341","4,867","3,895","3,679","4,170","2,098","2,226","5,675","6,546","4,019","6,422","3,608","3,508"
2021년04월_계_60~69세,"77,586","4,291","2,290","2,856","5,356","7,050","2,469","3,462","3,219","4,315","3,666","3,594","3,275","3,243","2,728","3,892","5,024","3,447","5,785","3,708","3,916"
2021년04월_계_70~79세,"38,784","1,737","1,125","1,338","2,546","3,762","1,330","1,767","1,665","2,084","1,631","2,067","1,177","1,543","1,562","2,120","2,566","1,742","2,802","2,065","2,155"
2021년04월_계_80~89세,"15,043",696,664,458,"1,460","1,201",385,596,600,696,564,613,503,768,668,771,759,682,"1,092",888,979
2021년04월_계_90~99세,"2,457",92,130,85,298,159,60,94,86,124,89,80,85,133,117,130,123,101,163,124,184
2021년04월_계_100세 이상,90,3,7,0,11,10,0,7,1,1,2,3,4,5,2,6,5,5,5,4,9
2021년04월_남_총인구수,"278,466","20,344","11,325","10,064","14,754","25,312","8,866","10,338","10,239","16,798","12,092","11,907","15,654","6,687","7,109","17,362","20,643","15,038","21,230","11,502","11,202"
2021년04월_남_연령구간인구수,"278,466","20,344","11,325","10,064","14,754","25,312","8,866","10,338","10,239","16,798","12,092","11,907","15,654","6,687","7,109","17,362","20,643","15,038","21,230","11,502","11,202"
2021년04월_남_0~9세,"19,675","2,093",664,659,853,"1,320",593,677,571,"1,108",621,634,874,241,350,"1,674","1,784","1,693","1,983",609,674
2021년04월_남_10~19세,"22,546","2,312",759,877,"1,025","1,244",698,828,713,"1,286",911,799,944,244,277,"2,332","2,657","1,019","2,119",743,759
2021년04월_남_20~29세,"40,065","2,610","1,996","1,581","2,034","4,300","1,308","1,462","1,513","2,765","2,031","1,876","2,809",734,859,"2,275","2,492","1,988","2,525","1,628","1,279"
2021년04월_남_30~39세,"49,848","3,457","2,953","1,763","2,401","5,564","1,511","1,555","1,734","3,398","2,122","2,127","4,181","1,188","1,512","1,977","2,562","2,877","3,088","1,981","1,897"
2021년04월_남_40~49세,"45,418","3,736","1,612","1,481","1,858","3,898","1,551","1,566","1,683","2,832","1,835","2,015","2,404",747,"1,004","3,379","3,954","2,614","3,808","1,702","1,739"
2021년04월_남_50~59세,"40,800","2,924","1,458","1,525","2,390","3,479","1,351","1,541","1,590","2,291","1,829","1,673","2,005",972,"1,043","2,733","3,279","2,056","3,154","1,820","1,687"
2021년04월_남_60~69세,"35,953","2,116","1,086","1,330","2,499","3,165","1,062","1,602","1,429","1,879","1,730","1,544","1,650","1,606","1,202","1,729","2,329","1,667","2,751","1,754","1,823"
2021년04월_남_70~79세,"18,163",818,504,661,"1,146","1,839",628,873,757,942,804,978,577,701,637,957,"1,253",837,"1,360",923,968
2021년04월_남_80~89세,"5,422",256,246,170,459,465,154,211,230,272,192,242,185,224,204,285,305,271,403,314,334
2021년04월_남_90~99세,548,22,43,17,85,34,10,21,19,25,17,18,24,27,20,21,27,14,38,26,40
2021년04월_남_100세 이상,28,0,4,0,4,4,0,2,0,0,0,1,1,3,1,0,1,2,1,2,2
2021년04월_여_총인구수,"299,114","21,653","12,880","10,511","16,329","26,733","9,310","11,154","10,682","17,710","12,732","12,892","18,411","7,512","8,169","19,282","22,600","14,656","22,290","11,735","11,873"
2021년04월_여_연령구간인구수,"299,114","21,653","12,880","10,511","16,329","26,733","9,310","11,154","10,682","17,710","12,732","12,892","18,411","7,512","8,169","19,282","22,600","14,656","22,290","11,735","11,873"
2021년04월_여_0~9세,"18,900","1,965",619,599,811,"1,304",574,566,556,"1,040",592,632,789,244,335,"1,564","1,853","1,612","2,037",570,638
2021년04월_여_10~19세,"21,650","2,215",552,699,959,"1,198",705,814,653,"1,099",720,785,932,219,280,"2,542","2,804","1,005","2,079",686,704
2021년04월_여_20~29세,"46,774","3,050","3,044","1,599","1,989","5,212","1,293","1,620","1,456","3,246","2,301","2,001","5,487",900,916,"2,328","2,782","1,949","2,697","1,708","1,196"
2021년04월_여_30~39세,"48,718","3,904","3,120","1,706","2,246","4,886","1,367","1,542","1,566","2,976","2,069","1,948","4,245","1,163","1,538","2,225","2,821","2,706","3,204","1,711","1,775"
2021년04월_여_40~49세,"44,973","3,881","1,628","1,550","2,010","3,574","1,495","1,684","1,564","2,671","1,775","1,946","2,186",729,904,"3,754","4,511","2,235","3,711","1,502","1,663"
2021년04월_여_50~59세,"44,253","3,031","1,584","1,799","2,836","3,884","1,486","1,711","1,751","2,576","2,066","2,006","2,165","1,126","1,183","2,942","3,267","1,963","3,268","1,788","1,821"
2021년04월_여_60~69세,"41,633","2,175","1,204","1,526","2,857","3,885","1,407","1,860","1,790","2,436","1,936","2,050","1,625","1,637","1,526","2,163","2,695","1,780","3,034","1,954","2,093"
2021년04월_여_70~79세,"20,621",919,621,677,"1,400","1,923",702,894,908,"1,142",827,"1,089",600,842,925,"1,163","1,313",905,"1,442","1,142","1,187"
2021년04월_여_80~89세,"9,621",440,418,288,"1,001",736,231,385,370,424,372,371,318,544,464,486,454,411,689,574,645
2021년04월_여_90~99세,"1,909",70,87,68,213,125,50,73,67,99,72,62,61,106,97,109,96,87,125,98,144
2021년04월_여_100세 이상,62,3,3,0,7,6,0,5,1,1,2,2,3,2,1,6,4,3,4,2,7
