,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2020년05월_계_총인구수,"499,431","24,880","15,866","30,550","29,645","17,084","34,033","34,442","15,637","26,633","18,646","23,220","18,517","23,797","22,956","21,783","16,051","17,576","23,688","24,716","31,736","27,975"
2020년05월_계_연령구간인구수,"499,431","24,880","15,866","30,550","29,645","17,084","34,033","34,442","15,637","26,633","18,646","23,220","18,517","23,797","22,956","21,783","16,051","17,576","23,688","24,716","31,736","27,975"
2020년05월_계_0~9세,"23,869","1,306","1,393","2,159","1,255",784,"1,273","2,293",458,"1,255","1,093",739,668,885,863,392,"1,270",737,767,988,"1,887","1,404"
2020년05월_계_10~19세,"30,010","1,532","1,190","3,029","1,453",905,"1,746","2,651",688,"1,691",863,923,912,"1,141","1,239",524,"1,507",857,"1,036","1,682","2,445","1,996"
2020년05월_계_20~29세,"109,054","4,697","1,951","3,944","7,545","5,472","10,761","5,562","4,504","5,841","3,936","6,514","4,398","5,740","5,695","8,321","1,724","4,001","6,253","3,085","4,942","4,168"
2020년05월_계_30~39세,"88,167","4,191","2,649","4,034","6,174","3,512","6,497","5,616","3,059","5,104","3,811","4,688","3,264","4,702","3,961","5,632","1,990","3,348","4,809","2,865","4,446","3,815"
2020년05월_계_40~49세,"69,911","3,490","2,571","5,206","3,717","2,041","3,971","5,376","1,784","3,763","2,384","2,854","2,391","3,282","3,122","2,454","3,056","2,285","3,580","3,585","4,870","4,129"
2020년05월_계_50~59세,"69,028","3,487","2,340","4,829","3,541","1,678","3,750","4,996","1,899","3,559","2,623","2,890","2,491","3,137","3,275","1,726","2,631","2,422","3,150","4,472","5,124","5,008"
2020년05월_계_60~69세,"58,123","3,283","1,953","3,795","3,153","1,359","3,192","4,229","1,621","2,897","2,184","2,506","2,212","2,702","2,520","1,446","2,067","2,167","2,209","4,114","4,540","3,974"
2020년05월_계_70~79세,"36,752","2,102","1,212","2,475","2,068",948,"2,087","2,707","1,164","1,833","1,308","1,515","1,558","1,561","1,653",943,"1,298","1,223","1,311","2,692","2,564","2,530"
2020년05월_계_80~89세,"12,540",687,520,918,633,330,649,887,409,605,380,529,533,550,549,287,429,464,502,"1,035",813,831
2020년05월_계_90~99세,"1,663",96,64,131,89,45,87,108,42,76,61,53,78,78,64,43,66,62,59,170,85,106
2020년05월_계_100세 이상,314,9,23,30,17,10,20,17,9,9,3,9,12,19,15,15,13,10,12,28,20,14
2020년05월_남_총인구수,"250,628","12,165","7,761","14,795","14,393","8,607","16,370","16,890","7,491","13,027","8,975","11,921","9,267","13,083","11,470","11,294","7,904","8,923","14,295","12,379","15,553","14,065"
2020년05월_남_연령구간인구수,"250,628","12,165","7,761","14,795","14,393","8,607","16,370","16,890","7,491","13,027","8,975","11,921","9,267","13,083","11,470","11,294","7,904","8,923","14,295","12,379","15,553","14,065"
2020년05월_남_0~9세,"12,260",668,727,"1,127",635,409,617,"1,223",257,652,571,390,319,448,457,199,639,372,386,523,946,695
2020년05월_남_10~19세,"15,388",800,620,"1,607",728,426,854,"1,342",327,873,399,493,462,597,685,256,770,440,532,884,"1,208","1,085"
2020년05월_남_20~29세,"53,275","2,251","1,025","1,954","3,375","2,635","4,739","2,685","1,899","2,749","1,762","3,306","2,225","3,214","2,666","4,021",899,"1,816","3,777","1,659","2,452","2,166"
2020년05월_남_30~39세,"48,579","2,267","1,330","2,009","3,307","1,954","3,429","2,882","1,661","2,707","2,015","2,698","1,855","2,897","2,218","3,193",977,"1,880","3,258","1,609","2,316","2,117"
2020년05월_남_40~49세,"37,228","1,767","1,307","2,570","1,942","1,086","2,084","2,799",956,"1,899","1,217","1,550","1,284","1,972","1,595","1,413","1,545","1,244","2,416","1,920","2,499","2,163"
2020년05월_남_50~59세,"34,389","1,644","1,141","2,355","1,706",865,"1,872","2,402",953,"1,744","1,208","1,376","1,207","1,676","1,640",938,"1,317","1,285","1,948","2,232","2,454","2,426"
2020년05월_남_60~69세,"27,006","1,514",881,"1,727","1,453",649,"1,481","1,926",749,"1,308",982,"1,141",983,"1,284","1,181",681,954,"1,065","1,139","1,908","2,096","1,904"
2020년05월_남_70~79세,"16,882",963,516,"1,064",954,438,973,"1,231",514,805,626,720,702,741,762,453,619,595,600,"1,190","1,247","1,169"
2020년05월_남_80~89세,"5,157",268,191,341,267,130,286,377,161,267,185,233,211,236,247,130,160,207,225,406,309,320
2020년05월_남_90~99세,397,22,20,37,20,13,28,17,13,21,10,13,15,17,14,9,18,18,11,43,21,17
2020년05월_남_100세 이상,67,1,3,4,6,2,7,6,1,2,0,1,4,1,5,1,6,1,3,5,5,3
2020년05월_여_총인구수,"248,803","12,715","8,105","15,755","15,252","8,477","17,663","17,552","8,146","13,606","9,671","11,299","9,250","10,714","11,486","10,489","8,147","8,653","9,393","12,337","16,183","13,910"
2020년05월_여_연령구간인구수,"248,803","12,715","8,105","15,755","15,252","8,477","17,663","17,552","8,146","13,606","9,671","11,299","9,250","10,714","11,486","10,489","8,147","8,653","9,393","12,337","16,183","13,910"
2020년05월_여_0~9세,"11,609",638,666,"1,032",620,375,656,"1,070",201,603,522,349,349,437,406,193,631,365,381,465,941,709
2020년05월_여_10~19세,"14,622",732,570,"1,422",725,479,892,"1,309",361,818,464,430,450,544,554,268,737,417,504,798,"1,237",911
2020년05월_여_20~29세,"55,779","2,446",926,"1,990","4,170","2,837","6,022","2,877","2,605","3,092","2,174","3,208","2,173","2,526","3,029","4,300",825,"2,185","2,476","1,426","2,490","2,002"
2020년05월_여_30~39세,"39,588","1,924","1,319","2,025","2,867","1,558","3,068","2,734","1,398","2,397","1,796","1,990","1,409","1,805","1,743","2,439","1,013","1,468","1,551","1,256","2,130","1,698"
