카테고리,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2020년05월_계_총인구수,"43,582","13,831","6,201","3,706","3,108","1,988","1,184","2,460","3,126","4,558","3,420"
2020년05월_계_연령구간인구수,"43,582","13,831","6,201","3,706","3,108","1,988","1,184","2,460","3,126","4,558","3,420"
2020년05월_계_0~9세,"1,959",966,207,113,83,50,33,79,105,190,133
2020년05월_계_10~19세,"2,388","1,318",208,115,109,43,38,98,89,235,135
2020년05월_계_20~29세,"3,642","1,523",491,246,173,134,64,185,205,347,274
2020년05월_계_30~39세,"3,389","1,426",489,263,177,111,52,139,189,310,233
2020년05월_계_40~49세,"4,861","2,067",611,337,258,167,104,244,274,480,319
2020년05월_계_50~59세,"8,694","2,495","1,423",818,607,423,232,448,642,912,694
2020년05월_계_60~69세,"8,985","2,036","1,418",914,740,489,278,566,787,986,771
2020년05월_계_70~79세,"5,753","1,225",854,527,505,316,211,421,510,662,522
2020년05월_계_80~89세,"3,432",682,433,331,385,229,154,247,271,399,301
2020년05월_계_90~99세,453,88,61,41,66,25,17,33,51,34,37
2020년05월_계_100세 이상,26,5,6,1,5,1,1,0,3,3,1
2020년05월_남_총인구수,"22,532","7,032","3,385","2,019","1,524",991,611,"1,243","1,601","2,333","1,793"
2020년05월_남_연령구간인구수,"22,532","7,032","3,385","2,019","1,524",991,611,"1,243","1,601","2,333","1,793"
2020년05월_남_0~9세,987,480,113,52,44,24,19,35,48,100,72
2020년05월_남_10~19세,"1,350",750,123,76,52,20,21,53,49,134,72
2020년05월_남_20~29세,"2,131",859,307,150,101,83,45,101,124,200,161
2020년05월_남_30~39세,"1,856",736,289,166,102,73,33,78,95,163,121
2020년05월_남_40~49세,"2,918","1,102",425,224,151,109,66,158,192,293,198
2020년05월_남_50~59세,"4,764","1,315",791,482,316,220,135,255,345,508,397
2020년05월_남_60~69세,"4,651","1,013",761,516,391,241,136,278,414,500,401
2020년05월_남_70~79세,"2,649",536,423,243,236,136,105,181,240,298,251
2020년05월_남_80~89세,"1,113",220,133,101,113,83,48,94,82,128,111
2020년05월_남_90~99세,107,20,18,9,17,2,2,10,11,9,9
2020년05월_남_100세 이상,6,1,2,0,1,0,1,0,1,0,0
2020년05월_여_총인구수,"21,050","6,799","2,816","1,687","1,584",997,573,"1,217","1,525","2,225","1,627"
2020년05월_여_연령구간인구수,"21,050","6,799","2,816","1,687","1,584",997,573,"1,217","1,525","2,225","1,627"
2020년05월_여_0~9세,972,486,94,61,39,26,14,44,57,90,61
2020년05월_여_10~19세,"1,038",568,85,39,57,23,17,45,40,101,63
2020년05월_여_20~29세,"1,511",664,184,96,72,51,19,84,81,147,113
2020년05월_여_30~39세,"1,533",690,200,97,75,38,19,61,94,147,112
2020년05월_여_40~49세,"1,943",965,186,113,107,58,38,86,82,187,121
2020년05월_여_50~59세,"3,930","1,180",632,336,291,203,97,193,297,404,297
2020년05월_여_60~69세,"4,334","1,023",657,398,349,248,142,288,373,486,370
2020년05월_여_70~79세,"3,104",689,431,284,269,180,106,240,270,364,271
2020년05월_여_80~89세,"2,319",462,300,230,272,146,106,153,189,271,190
2020년05월_여_90~99세,346,68,43,32,49,23,15,23,40,25,28
2020년05월_여_100세 이상,20,4,4,1,4,1,0,0,2,3,1
