,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2021년06월_계_총인구수,"55,784","14,619","2,294","2,630","1,696","19,787","2,538","2,389","1,500","2,678","3,123","1,170","1,360"
2021년06월_계_연령구간인구수,"55,784","14,619","2,294","2,630","1,696","19,787","2,538","2,389","1,500","2,678","3,123","1,170","1,360"
2021년06월_계_0~9세,"4,554",767,62,47,58,"3,252",154,48,16,44,49,23,34
2021년06월_계_10~19세,"4,426","1,164",112,79,55,"2,457",112,84,37,81,116,53,76
2021년06월_계_20~29세,"4,094","1,315",87,137,51,"1,759",213,104,53,91,171,45,68
2021년06월_계_30~39세,"5,416","1,117",75,114,85,"3,365",209,97,41,109,117,37,50
2021년06월_계_40~49세,"7,169","1,848",170,151,114,"3,762",239,195,89,186,227,82,106
2021년06월_계_50~59세,"7,948","2,424",337,408,257,"2,371",321,347,205,385,479,207,207
2021년06월_계_60~69세,"9,699","2,908",518,705,425,"1,524",465,584,407,710,759,369,325
2021년06월_계_70~79세,"6,723","1,829",479,502,334,733,411,498,320,555,611,182,269
2021년06월_계_80~89세,"5,051","1,090",409,422,279,488,356,379,300,461,530,145,192
2021년06월_계_90~99세,682,154,44,64,38,74,56,49,31,53,63,27,29
2021년06월_계_100세 이상,22,3,1,1,0,2,2,4,1,3,1,0,4
2021년06월_남_총인구수,"27,398","7,218","1,156","1,311",835,"9,685","1,255","1,155",723,"1,320","1,492",576,672
2021년06월_남_연령구간인구수,"27,398","7,218","1,156","1,311",835,"9,685","1,255","1,155",723,"1,320","1,492",576,672
2021년06월_남_0~9세,"2,299",384,35,24,28,"1,644",81,24,5,23,24,11,16
2021년06월_남_10~19세,"2,349",645,70,42,34,"1,263",59,45,21,44,56,34,36
2021년06월_남_20~29세,"2,296",769,50,92,27,912,133,58,32,53,105,22,43
2021년06월_남_30~39세,"2,718",584,41,72,42,"1,575",119,57,25,72,82,17,32
2021년06월_남_40~49세,"3,878",993,110,106,79,"1,861",156,128,60,133,139,51,62
2021년06월_남_50~59세,"4,167","1,202",202,219,159,"1,173",190,191,126,225,257,101,122
2021년06월_남_60~69세,"4,847","1,386",279,376,229,752,217,283,213,364,380,203,165
2021년06월_남_70~79세,"3,012",833,213,217,139,341,182,221,136,253,267,92,118
2021년06월_남_80~89세,"1,704",396,146,146,87,155,106,137,102,146,172,39,72
2021년06월_남_90~99세,127,26,10,16,11,9,12,11,3,7,10,6,6
2021년06월_남_100세 이상,1,0,0,1,0,0,0,0,0,0,0,0,0
2021년06월_여_총인구수,"28,386","7,401","1,138","1,319",861,"10,102","1,283","1,234",777,"1,358","1,631",594,688
2021년06월_여_연령구간인구수,"28,386","7,401","1,138","1,319",861,"10,102","1,283","1,234",777,"1,358","1,631",594,688
2021년06월_여_0~9세,"2,255",383,27,23,30,"1,608",73,24,11,21,25,12,18
2021년06월_여_10~19세,"2,077",519,42,37,21,"1,194",53,39,16,37,60,19,40
2021년06월_여_20~29세,"1,798",546,37,45,24,847,80,46,21,38,66,23,25
2021년06월_여_30~39세,"2,698",533,34,42,43,"1,790",90,40,16,37,35,20,18
2021년06월_여_40~49세,"3,291",855,60,45,35,"1,901",83,67,29,53,88,31,44
2021년06월_여_50~59세,"3,781","1,222",135,189,98,"1,198",131,156,79,160,222,106,85
2021년06월_여_60~69세,"4,852","1,522",239,329,196,772,248,301,194,346,379,166,160
2021년06월_여_70~79세,"3,711",996,266,285,195,392,229,277,184,302,344,90,151
2021년06월_여_80~89세,"3,347",694,263,276,192,333,250,242,198,315,358,106,120
2021년06월_여_90~99세,555,128,34,48,27,65,44,38,28,46,53,21,23
2021년06월_여_100세 이상,21,3,1,0,0,2,2,4,1,3,1,0,4
