,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2020년08월_계_총인구수,"25,122","5,228","1,868","2,502","2,090","2,524","2,607","1,794","6,509"
2020년08월_계_연령구간인구수,"25,122","5,228","1,868","2,502","2,090","2,524","2,607","1,794","6,509"
2020년08월_계_0~9세,994,293,50,67,78,61,77,50,318
2020년08월_계_10~19세,"1,243",363,58,93,101,102,92,53,381
2020년08월_계_20~29세,"1,743",480,98,135,137,126,122,93,552
2020년08월_계_30~39세,"1,727",477,129,113,108,125,114,107,554
2020년08월_계_40~49세,"2,422",628,151,158,204,201,199,133,748
2020년08월_계_50~59세,"4,766","1,013",366,502,414,485,492,288,"1,206"
2020년08월_계_60~69세,"5,415",901,463,636,433,672,623,438,"1,249"
2020년08월_계_70~79세,"4,066",635,340,480,351,454,521,341,944
2020년08월_계_80~89세,"2,425",381,191,284,235,263,316,248,507
2020년08월_계_90~99세,300,48,22,32,27,34,49,41,47
2020년08월_계_100세 이상,21,9,0,2,2,1,2,2,3
2020년08월_남_총인구수,"12,558","2,608",927,"1,230","1,051","1,249","1,245",892,"3,356"
2020년08월_남_연령구간인구수,"12,558","2,608",927,"1,230","1,051","1,249","1,245",892,"3,356"
2020년08월_남_0~9세,514,158,24,34,41,36,39,24,158
2020년08월_남_10~19세,661,180,37,54,52,55,53,21,209
2020년08월_남_20~29세,"1,059",288,56,80,87,65,72,59,352
2020년08월_남_30~39세,"1,017",259,84,68,66,76,64,73,327
2020년08월_남_40~49세,"1,402",344,97,84,123,117,114,82,441
2020년08월_남_50~59세,"2,515",531,183,266,219,246,251,159,660
2020년08월_남_60~69세,"2,700",443,241,308,219,331,313,241,604
2020년08월_남_70~79세,"1,770",269,145,213,149,209,218,151,416
2020년08월_남_80~89세,853,127,56,116,88,107,110,73,176
2020년08월_남_90~99세,62,7,4,6,7,7,11,8,12
2020년08월_남_100세 이상,5,2,0,1,0,0,0,1,1
2020년08월_여_총인구수,"12,564","2,620",941,"1,272","1,039","1,275","1,362",902,"3,153"
2020년08월_여_연령구간인구수,"12,564","2,620",941,"1,272","1,039","1,275","1,362",902,"3,153"
2020년08월_여_0~9세,480,135,26,33,37,25,38,26,160
2020년08월_여_10~19세,582,183,21,39,49,47,39,32,172
2020년08월_여_20~29세,684,192,42,55,50,61,50,34,200
2020년08월_여_30~39세,710,218,45,45,42,49,50,34,227
2020년08월_여_40~49세,"1,020",284,54,74,81,84,85,51,307
2020년08월_여_50~59세,"2,251",482,183,236,195,239,241,129,546
2020년08월_여_60~69세,"2,715",458,222,328,214,341,310,197,645
2020년08월_여_70~79세,"2,296",366,195,267,202,245,303,190,528
2020년08월_여_80~89세,"1,572",254,135,168,147,156,206,175,331
2020년08월_여_90~99세,238,41,18,26,20,27,38,33,35
2020년08월_여_100세 이상,16,7,0,1,2,1,2,1,2
